	Abylopsis_tetragona	Acanthoeca_sp	Acropora_digitifera	Agalma_elegans	Aiptasia_pallida	Amphimedon_queenslandica	Aphrocallistes_vastus	Beroe_abyssicola	Beroe_forskalii	Beroe_ovata	Beroe_sp_Antarctica	Beroe_sp_Queensland_Australia	Bolinopsis_ashleyi	Bolinopsis_infundibulum	Bolocera_tuediae	Callianira_Antarctica	Capitella_teleta	Cestum_veneris	Chondrilla_nucula	Cliona_varians	Coeloplana_astericola	Corticium_candelabrum	Craseo_lathetica	Crella_elegans	Ctenophora_sp_Florida_USA	Cydippida_sp	Cydippida_sp_Maryland_USA	Daphnia_pulex	Drosophila_melanogaster	Dryodora_glandiformis	Eunicella_verrucosa	Euplokamis_dunlapae	Eurhamphaea_vexilligera	Hemithris_psittacea	Homo_sapiens	Hormathia_digitata	Hormiphora_californica	Hormiphora_palmata	Hyalonema_populiferum	Hydra_oligactis	Hydra_viridissima	Hydra_vulgaris	Ircinia_fasciculata	Kirkpatrickia_variolosa	Latrunculia_apicalis	Lobata_sp_Punta_Arenas_Argentina	Lobatolampea_tetragona	Mertensiidae_sp_Antarctica	Mertensiidae_sp_Washington_USA	Mnemiopsis_leidyi	Monosiga_brevicolis	Monosiga_ovata	Mycale_phylophylla	Nanomia_bijuga	Nematostella_vectensis	Ocyropsis_crystallina	Ocyropsis_sp_Bimini_Bahamas	Ocyropsis_sp_Florida_USA	Oscarella_carmela	Periphyla_periphyla	Petrosia_ficiformis	Physalia_physalia	Pleurobrachia_bachei	Pleurobrachia_pileus	Pleurobrachia_sp_South_Carolina_USA	Pseudospongosorites_suberitoides	Rossella_fibulata	Salpingoeca_pyxidium	Salpingoeca_rosetta	Spongilla_lacustris	Strongylocentrotus_purpatus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Trichoplax_adhaerens	Vallicula_sp
Abylopsis_tetragona		0.0496274398639346	0.17925406981453	0.108913096298696	0.0355956912610351	0.0353729650927351	0.0358791609297805	0.214222078237629	0.251397100510245	0.289118814286871	0.28486676925569	0.246254150805864	0.262047460921681	0.296873734510407	0.241617396938528	0.238964930752409	0.0245403741799627	0.278751923544181	0.159249210334494	0.0972503442131692	0.210273750708674	0.186766016036284	0.174111120110148	0.193731270754029	0.287600226775735	0.26281687859399	0.173523932939176	0.0377622094435895	0.0175548716287357	0.207277071353365	0.089394184822224	0.237162873572528	0.250587187170973	0.110208957641532	0.0020855268486272	0.230683566858346	0.124645662914068	0.271341216489836	0.215943144083583	0.243419454118409	0.236312464566291	0.0842107394508788	0.20521179233822	0.110856888312951	0.0831173564428606	0.293310115817608	0.283631651413299	0.249473556329473	0.250911152506682	0.182959423341702	0.0532315542236981	0.264112739936827	0.149145541427067	0.178261925973921	0.0628290272940795	0.169150400907103	0.242974001781809	0.263059852595772	0.0112577954158905	0.198125050619584	0.152425690451122	0.203348991657893	0.216186118085365	0.150562889770795	0.285433708593181	0.269579654976917	0.0789867984125699	0.226755487162874	0.012756135093545	0.199015955292784	0.107819713290678	0.0283267190410626	0.0969263788774601	0.063335223131125	0.0403944277962258	0.220336923949137
Acanthoeca_sp	0.0496274398639346		0.0724062525309792	0.0339961124159715	0.0126751437596177	0.0212804729893901	0.00431278853162712	0.102433789584514	0.0816190167652061	0.100570988904187	0.103425933425124	0.0907710374989876	0.0974528225479874	0.107455252288005	0.101137928241678	0.102980481088524	0.0244593828460355	0.104418077265733	0.0684579250020248	0.0475216651818255	0.086620231635215	0.0909127723333603	0.0670203288248157	0.0751599578845064	0.106787073783105	0.0966226613752328	0.0816797602656516	0.0165424799546449	0.00271320968656354	0.0748157447153155	0.0697132906778975	0.100206527901515	0.102170567749251	0.0476431521827164	0.00184255284684539	0.0946586215274966	0.037154774439135	0.101299910909533	0.0951850651980238	0.0856483356280878	0.0878148538106423	0.0277395318700899	0.0902040981614967	0.0444844901595529	0.045922086336762	0.109075078966551	0.101320158743014	0.105329229772414	0.101927593747469	0.0830566129424152	0.0256337571879809	0.0918441726735239	0.0542236980643071	0.0556410464080343	0.0373977484409168	0.0509637968737345	0.0921073945087876	0.0978780270511055	0.00528468453875435	0.0816595124321698	0.0726087308657974	0.058779460597716	0.0691058556734429	0.0788045679112335	0.103992872762614	0.102190815582733	0.0254515266866445	0.0943346561917875	0.0184862719688993	0.077306228233579	0.0609864744472341	0.0128573742609541	0.044808455495262	0.00498096703652709	0.0330444642423261	0.0943549040252693
Acropora_digitifera	0.17925406981453	0.0724062525309792		0.155624848141249	0.0315663723981534	0.0661294241516158	0.029055641046408	0.442637887746011	0.483153802543128	0.546651008342107	0.535129991090953	0.496112415971491	0.501923544180773	0.557119138252207	0.440410626063011	0.501761561512918	0.0349882562565805	0.53130315056289	0.287397748440917	0.194703166761157	0.446687454442375	0.362476714991496	0.281647363732081	0.355774682109014	0.54723819551308	0.527699036203126	0.364299020004859	0.042034502308253	0.0157325666153722	0.431218109662266	0.141410869037013	0.484247185551146	0.519397424475581	0.14706001457844	0.0030169271887908	0.361120110148214	0.287195270106099	0.4942091196242	0.359581274803596	0.368024621365514	0.330363651089333	0.0845347047865878	0.378836964444804	0.146351340406576	0.135781971329068	0.550720822871953	0.547258443346562	0.497711994816555	0.518547015469345	0.446586215274966	0.0552158419049162	0.373491536405605	0.195533327933911	0.231513728031101	0.0932210253502875	0.407588887988985	0.470296428282174	0.537013039604762	0.0135660484328177	0.343929699522151	0.276099457358063	0.292722928646635	0.432554466672066	0.368085364865959	0.506965254717745	0.427209038632866	0.109743257471451	0.382501822305013	0.0263424313598445	0.279663076050863	0.144691018061067	0.0353729650927351	0.125435328419859	0.0957520045355147	0.0629910099619341	0.446201506438811
Agalma_elegans	0.108913096298696	0.0339961124159715	0.155624848141249		0.0474609216813801	0.0519559407143436	0.0355754434275533	0.201627925811938	0.227990605005264	0.262553656758727	0.268263545800599	0.239268648254637	0.243277719284037	0.264355713938609	0.224993925649955	0.237588078075646	0.023183769336681	0.26883048513809	0.172106584595448	0.134708836154531	0.231291001862801	0.200149833967765	0.184214789017575	0.222807159633919	0.264780918441727	0.2528954401879	0.164189681704058	0.0291568802138171	0.0167247104559812	0.214971248076456	0.0707864258524338	0.225621608487892	0.23050133635701	0.0913379768364785	0.00323965335709079	0.216165870251883	0.141147647201749	0.256033854377582	0.186442050700575	0.202964282821738	0.19786182878432	0.0572811209200616	0.219020814772819	0.125050619583705	0.0997205798979509	0.275532518020572	0.27662590102859	0.236393455900219	0.251518587511136	0.222645176966065	0.0228800518344537	0.207641532356038	0.145561674900786	0.14795091925164	0.0852838746254151	0.18571312869523	0.235077346723901	0.260346642909209	0.00694500688426338	0.187656920709484	0.14861909775654	0.172066088928485	0.221612537458492	0.174313598444966	0.250364461002673	0.249007856159391	0.0869239491374423	0.209949785372965	0.0193366809751357	0.143253421883858	0.0919656596744148	0.0450716773305256	0.105774682109014	0.0874706406414514	0.031282902729408	0.222888150967846
Aiptasia_pallida	0.0355956912610351	0.0126751437596177	0.0315663723981534	0.0474609216813801		0.0144772009394995	0.029055641046408	0.0365068437677169	0.0434923463189439	0.0603182959423342	0.0603182959423342	0.0468129910099619	0.0622418401231068	0.0584149995950433	0.0587389649307524	0.0401717016279258	0.0127358872600632	0.063780675467725	0.0281849842066899	0.0241151696768446	0.0540009718960071	0.0578683080910343	0.0474204260144165	0.0590831780999433	0.0577265732566615	0.0611079614481251	0.0381469182797441	0.0171701627925812	0.0154288491131449	0.0493034745282255	0.0157933101158176	0.033935368915526	0.046468777840771	0.0111768040819632	0.00168057017899085	0.0589616910990524	0.0473394346804892	0.0623835749574796	0.0498501660322345	0.057787316757107	0.0540414675629708	0.0318903377338625	0.0525633757187981	0.0419130153073621	0.0398274884587349	0.0623633271239977	0.0621810966226614	0.0580707864258524	0.0585972300963797	0.0399692232931076	0.0113792824167814	0.0499919008666073	0.0456183688345347	0.0357981695958532	0.0340973515833806	0.0182432979671175	0.0389770794524986	0.0552968332388434	0.00372560136065441	0.0513080100429254	0.0422774763100348	0.0357981695958532	0.0483923220215437	0.0356361869279987	0.05035636186928	0.061229448449016	0.0424597068113712	0.033611403579817	0.0112375475824087	0.0368915526038714	0.026727140195999	0.0426216894792257	0.043816311654653	0.0459625820037256	0.0121891957560541	0.0349680084230987
Amphimedon_queenslandica	0.0353729650927351	0.0212804729893901	0.0661294241516158	0.0519559407143436	0.0144772009394995		0.0066210415485543	0.0906900461650603	0.0879768364784968	0.11140357981696	0.116627520855268	0.0887260063173241	0.100591236737669	0.106463108447396	0.106301125779542	0.113387867498178	0.0115817607515996	0.103324694257714	0.0910140115007694	0.0780351502389244	0.0863772576334332	0.0757066493885154	0.0709281606868065	0.0972503442131692	0.116627520855268	0.106746578116142	0.0597108609378796	0.00479873653519073	0.0033611403579817	0.0699765125131611	0.0533935368915526	0.108487891795578	0.0872074188061877	0.0505385923706163	0.00216651818255447	0.107131286952296	0.0391795577873168	0.104883777435814	0.0930792905159148	0.105511460273751	0.0886855106503604	0.0203085769822629	0.104559812100105	0.0574228557544343	0.0457398558354256	0.110573418644205	0.119522961043168	0.101482141410869	0.103952377095651	0.0734996355389973	0.0118044869198996	0.0994168623957237	0.0598525957722524	0.0455373775006074	0.0309791852271807	0.0433101158176075	0.085405361626306	0.110897383979914	0.00708674171863611	0.102919737588078	0.0749169838827246	0.0680732161658703	0.083623552279906	0.0702397343484247	0.111464323317405	0.114481250506196	0.0223536081639265	0.0951850651980238	0.0137077832671904	0.0711508868551065	0.034603547420426	0.0150643881104722	0.0347250344213169	0.0323155422369806	0.0187292459706811	0.095164817364542
Aphrocallistes_vastus	0.0358791609297805	0.00431278853162712	0.029055641046408	0.0355754434275533	0.029055641046408	0.0066210415485543		0.0437555681542075	0.0482708350206528	0.0600550741070705	0.0588402040981615	0.0598728436057342	0.0454968818336438	0.058779460597716	0.0429861504818984	0.0256540050214627	0.0134850570988904	0.0550943549040253	0.0221308819956265	0.0201060986474447	0.0427229286466348	0.040374179962744	0.0379444399449259	0.0536365108933344	0.0560257552441889	0.0540819632299344	0.0286709322102535	0.020187089981372	0.0160160362841176	0.0481695958532437	0.00961772090386329	0.0306754677249534	0.0353122215922896	0.00479873653519073	0.00190329634729084	0.0417712804729894	0.0386126184498259	0.0591641694338706	0.0384506357819713	0.0485948003563619	0.0511865230420345	0.042479954644853	0.0347655300882806	0.0318498420668988	0.0318903377338625	0.0530088280553981	0.0516927188790799	0.0523204017170163	0.0572001295861343	0.0403336842957804	0.0185875111363084	0.0337733862476715	0.032497772738317	0.0344618125860533	0.0237102130072082	0.030837450392808	0.0357576739288896	0.0562079857455252	0.0033611403579817	0.0283469668745444	0.039260549121244	0.0325180205717988	0.0527658540536163	0.036486595934235	0.046468777840771	0.0464282821738074	0.0465700170081801	0.0218069166599174	0.00977970357171783	0.0375192354418077	0.0237912043411355	0.0260387138576172	0.0483315785210982	0.0449299424961529	0.005102454037418	0.0398679841256986
Beroe_abyssicola	0.214222078237629	0.102433789584514	0.442637887746011	0.201627925811938	0.0365068437677169	0.0906900461650603	0.0437555681542075		0.723515833805783	0.76214870008909	0.765347857779218	0.716874544423747	0.650502146270349	0.765185875111363	0.578602089576415	0.715902648416619	0.0463472908398801	0.73272859804001	0.346663157042196	0.232019923868146	0.644772009394995	0.484429416052482	0.298716287357253	0.465295213412165	0.767433384627845	0.740584757430955	0.608548635296023	0.0464485300072892	0.0134850570988904	0.633392726978213	0.141532356037904	0.662043411354985	0.733740989714101	0.140034016360249	0.00374584919413623	0.443690775087066	0.520349072649227	0.705373775006074	0.41354175103264	0.447760589616911	0.378573742609541	0.102818498420669	0.495646715801409	0.147181501579331	0.128553494776059	0.753057422855754	0.752510731351745	0.726613752328501	0.736899651737264	0.657771118490322	0.0901028589940876	0.433161901676521	0.200149833967765	0.285028751923544	0.0841702437839151	0.598586701222969	0.699258929294565	0.734368672552037	0.0190937069733539	0.382724548473313	0.33856402364947	0.30236089738398	0.644549283226695	0.592006155341378	0.718899327771928	0.542662185146189	0.126467967927432	0.506398315380254	0.044140276990362	0.322244269863125	0.189195756054102	0.0450919251640075	0.180448691989957	0.0544464242326071	0.0735603790394428	0.665040090710294
Beroe_forskalii	0.251397100510245	0.0816190167652061	0.483153802543128	0.227990605005264	0.0434923463189439	0.0879768364784968	0.0482708350206528	0.723515833805783		0.833643800113388	0.821049647687697	0.782295294403499	0.710536972543938	0.826010366890743	0.609156070300478	0.762047460921681	0.0481291001862801	0.790434923463189	0.370980805053859	0.246476876974164	0.673868146108366	0.507876407224427	0.347938770551551	0.512290434923463	0.827346723900543	0.801550984044707	0.614238276504414	0.0452336599983802	0.0104681299100996	0.698104802786102	0.157143435652385	0.715173726411274	0.780898193893253	0.19518911476472	0.00372560136065441	0.486676925568964	0.537478739774844	0.771179233821981	0.453996922329311	0.503685105693691	0.445513080100429	0.107758969790232	0.538369644448044	0.167206608892848	0.169737588078076	0.806916659917389	0.807341864420507	0.772130881995627	0.780938689560217	0.69229367457682	0.0844334656191787	0.491070705434519	0.229752166518183	0.300781566372398	0.0907912853324694	0.667510326395076	0.766259010285899	0.796286547339435	0.0189519721389811	0.427553251802057	0.360249453308496	0.340123106827569	0.682351988337248	0.626953915930995	0.787863448610999	0.597088361545315	0.153336842957804	0.548331578521098	0.0432291244836802	0.384263383817931	0.198590750789666	0.0343200777516806	0.193549040252693	0.0988904187251964	0.0680732161658703	0.719972462946465
Beroe_ovata	0.289118814286871	0.100570988904187	0.546651008342107	0.262553656758727	0.0603182959423342	0.11140357981696	0.0600550741070705	0.76214870008909	0.833643800113388		0.902263707783267	0.846298696039524	0.803899732728598	0.928626386976593	0.71446505223941	0.85093544990686	0.0533327933911072	0.871203531222159	0.445958532437029	0.294707216327853	0.746031424637564	0.573540131205961	0.406880213817122	0.590224345994979	0.922956993601685	0.865027942010205	0.63859642018304	0.0602575524418887	0.0215234469911719	0.743804162954564	0.171195432088767	0.796691504009071	0.846804891876569	0.215092735077347	0.00380659269458168	0.585283874625415	0.559974082773143	0.845772252368997	0.536567587268162	0.595164817364542	0.537175022272617	0.131651413298777	0.609763505304932	0.242386814610837	0.199724629464647	0.902223212116304	0.908844253664858	0.838564023649469	0.850510245403742	0.744512837126427	0.093281768850733	0.585992548797279	0.305053859237062	0.369522961043168	0.116141572851705	0.699380416295456	0.812707540293189	0.889831538025431	0.0223941038308901	0.525815987689317	0.429517291649793	0.412691342026403	0.746233902972382	0.658702518830485	0.868551065036041	0.701263464809265	0.192982100915202	0.623005588402041	0.0477646391836074	0.457904754191302	0.228820766178019	0.0515509840447072	0.219061310439783	0.129100186280068	0.0884425366485786	0.777091601198672
