	Abylopsis_tetragona	Acanthoeca_sp	Acropora_digitifera	Agalma_elegans	Aiptasia_pallida	Amphimedon_queenslandica	Aphrocallistes_vastus	Beroe_abyssicola	Beroe_forskalii	Beroe_ovata	Beroe_sp_Antarctica	Beroe_sp_Queensland_Australia	Bolinopsis_ashleyi	Bolinopsis_infundibulum	Bolocera_tuediae	Callianira_Antarctica	Capitella_teleta	Cestum_veneris	Chondrilla_nucula	Cliona_varians	Coeloplana_astericola	Corticium_candelabrum	Craseo_lathetica	Crella_elegans	Ctenophora_sp_Florida_USA	Cydippida_sp	Cydippida_sp_Maryland_USA	Daphnia_pulex	Drosophila_melanogaster	Dryodora_glandiformis	Eunicella_verrucosa	Euplokamis_dunlapae	Eurhamphaea_vexilligera	Hemithris_psittacea	Homo_sapiens	Hormathia_digitata	Hormiphora_californica	Hormiphora_palmata	Hyalonema_populiferum	Hydra_oligactis	Hydra_viridissima	Hydra_vulgaris	Ircinia_fasciculata	Kirkpatrickia_variolosa	Latrunculia_apicalis	Lobata_sp_Punta_Arenas_Argentina	Lobatolampea_tetragona	Mertensiidae_sp_Antarctica	Mertensiidae_sp_Washington_USA	Mnemiopsis_leidyi	Monosiga_brevicolis	Monosiga_ovata	Mycale_phylophylla	Nanomia_bijuga	Nematostella_vectensis	Ocyropsis_crystallina	Ocyropsis_sp_Bimini_Bahamas	Ocyropsis_sp_Florida_USA	Oscarella_carmela	Periphyla_periphyla	Petrosia_ficiformis	Physalia_physalia	Pleurobrachia_bachei	Pleurobrachia_pileus	Pleurobrachia_sp_South_Carolina_USA	Pseudospongosorites_suberitoides	Rossella_fibulata	Salpingoeca_pyxidium	Salpingoeca_rosetta	Spongilla_lacustris	Strongylocentrotus_purpatus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Trichoplax_adhaerens	Vallicula_sp
Abylopsis_tetragona		0.636875354337086	0.304709646067871	0.523811452174617	0.664918603709403	0.607698226289787	0.671762371426257	0.129505142949704	0.107637482789342	0.0351704867579169	0.0416700413055803	0.087065683971815	0.116668016522232	0.033611403579817	0.184579250020248	0.0571393860856888	0.66633595205313	0.0600348262735887	0.381590669798332	0.475621608487892	0.132400583137604	0.280351502389244	0.439438730055884	0.271320968656354	0.0282254798736535	0.0575443427553252	0.224912934316028	0.675771442455657	0.694338705758484	0.139649307524095	0.596642909208715	0.111565562484814	0.0855066007937151	0.578966550579088	0.696788693609784	0.312343079290516	0.250769417672309	0.0874908884749332	0.341985907507897	0.316939337490888	0.36352960233255	0.647242245079776	0.266542479954645	0.542763424313598	0.569531060176561	0.042257228476553	0.0373370049404714	0.068538916335952	0.0697132906778975	0.112334980157123	0.651919494614076	0.342654086012797	0.520551550984045	0.484571150886855	0.629606382117114	0.152344699117194	0.108629626629951	0.0340568559164169	0.687231716206366	0.332874382441079	0.406455009314003	0.467967927431765	0.143435652385195	0.168279744067385	0.0752814448853973	0.228820766178019	0.572628978699279	0.266522232121163	0.658763262330931	0.425852433789585	0.56171539645258	0.664473151372803	0.553879484895116	0.616303555519559	0.642220782376286	0.118551065036041
Acanthoeca_sp	0.636875354337086		0.387887746011177	0.63892038551875	0.832023973434842	0.783631651413299	0.830221916254961	0.207742771523447	0.127885316271159	0.0366485786020896	0.0502551227018709	0.121608487891796	0.142099295375395	0.0342188385842715	0.234125698550255	0.11118085364866	0.85628087794606	0.0757268972219972	0.480825301692719	0.615918846683405	0.198772981291002	0.374524175913177	0.522373855997408	0.342775573013688	0.0374382441078805	0.0813760427634243	0.323094678869361	0.844577630193569	0.869522961043168	0.197213898112902	0.766987932291245	0.164635134040658	0.12711589859885	0.706426662347129	0.886571636834859	0.366344051186523	0.353304446424233	0.107475500121487	0.411253745849194	0.349194136227424	0.405057908803758	0.780796954725844	0.341560703004778	0.666416943387058	0.722361707297319	0.0480481088523528	0.0450514294970438	0.11442050700575	0.110755649145541	0.202458086984693	0.814347614805216	0.360411435976351	0.615655624848141	0.551976188547825	0.794201020490807	0.224184012310683	0.147788936583786	0.058900947598607	0.871284522556086	0.406434761480522	0.516663966955536	0.513424313598445	0.18638130720013	0.28654733943468	0.0838665262816879	0.251457844010691	0.709119624200211	0.324127318376934	0.854519316433142	0.494168623957237	0.704908074835993	0.839029723819551	0.691787478739775	0.747975216651818	0.824896736049243	0.18259496233903
Acropora_digitifera	0.304709646067871	0.387887746011177		0.298756783024216	0.389122863853568	0.366688264355714	0.393172430549931	0.0861545314651332	0.0676277638292703	0.0209362598201992	0.0201668421478902	0.0651575281444885	0.0847776787883696	0.0220903863286628	0.111606058151778	0.0481695958532437	0.405017413136794	0.040819632299344	0.2379727869118	0.301308010042925	0.097047865878351	0.184295780351502	0.275208552684863	0.161597959018385	0.0160970276180449	0.0506600793715072	0.143921600388758	0.408277314327367	0.420749979752166	0.0918239248400421	0.37689317243055	0.0868834534704787	0.0825504171053697	0.344051186523042	0.425953672956994	0.17101320158743	0.141552603871386	0.0385923706163441	0.213857617234956	0.169778083745039	0.185814367862639	0.375799789422532	0.168401231068276	0.306491455414271	0.350429254069815	0.0279015145379444	0.0291973758807808	0.0450109338300802	0.0655827326476067	0.104195351097433	0.382137361302341	0.180266461488621	0.295172916497935	0.266056531951081	0.388231959180368	0.119016765206123	0.0641856321373613	0.0362436219324532	0.417773548230339	0.206912610350692	0.258362355227991	0.285575443427553	0.0880375799789423	0.114035798169596	0.0250465700170082	0.114683728841014	0.331619016765206	0.150502146270349	0.400583137604276	0.23473313355471	0.326820280230015	0.399752976431522	0.310622013444561	0.376953915930995	0.39305094354904	0.072649226532761
Agalma_elegans	0.523811452174617	0.63892038551875	0.298756783024216		0.694460192759375	0.641957560541022	0.689135012553657	0.134587349153641	0.101907345913987	0.026281687859399	0.0427431764801166	0.0977565400502146	0.115574633514214	0.0187697416376448	0.185632137361302	0.0734388920385519	0.682655705839475	0.0677897464971248	0.412124402688912	0.530756459058881	0.171094192921357	0.311411678950352	0.467218757592938	0.31807321616587	0.0230825301692719	0.0652992629788613	0.233255041710537	0.684842471855512	0.711184903215356	0.165019842876812	0.595711508868551	0.117700656029805	0.0830971086093788	0.577771928403661	0.715619178747874	0.315501741313679	0.284947760589617	0.0898598849923058	0.330161172754515	0.294160524823844	0.342755325180206	0.637988985178586	0.298027861018871	0.574633514213979	0.603810642261278	0.0421559893091439	0.0480076131853892	0.0731351745363246	0.0879970843119786	0.169697092411112	0.639244350854459	0.303859237061634	0.53464404308739	0.471936502794201	0.669737588078076	0.186583785534948	0.118409330201668	0.04902000485948	0.700595286304365	0.340082611160606	0.420324775249048	0.454361383331984	0.166538430387948	0.209706811371183	0.0578885559245161	0.225925325990119	0.598242488053778	0.267392888960881	0.683020166842148	0.387766259010286	0.563537701465943	0.698894468291893	0.580404146756297	0.658115331659512	0.650785615939095	0.138778650684377
Aiptasia_pallida	0.664918603709403	0.832023973434842	0.389122863853568	0.694460192759375		0.818903377338625	0.897039766744958	0.183890823681866	0.131833643800113	0.0384708836154531	0.0492224831942982	0.119725439377987	0.148963310925731	0.0272535838665263	0.233801733214546	0.0904470721632785	0.886632380335304	0.0771644933992063	0.482627358872601	0.634587349153641	0.208228719527011	0.383554709646068	0.544848951162226	0.368773791204341	0.0304527415566534	0.0879363408115332	0.32163683485867	0.887280311006722	0.924313598444966	0.213776625901029	0.755142949704382	0.140438973029886	0.113489106665587	0.712035312221592	0.928484652142221	0.372722118733296	0.405564104640803	0.110634162144651	0.407993844658622	0.36340811533166	0.413359520531303	0.827022758564834	0.345994978537296	0.705920466510083	0.758342107394509	0.0434113549850166	0.0479873653519073	0.109237061634405	0.109500283469669	0.201445695310602	0.842168138009233	0.360634162144651	0.649125293593586	0.574208309710861	0.832975621608488	0.233538511379282	0.136733619502713	0.0583947517615615	0.911800437353203	0.418158257066494	0.52840771037499	0.532518020571799	0.207742771523447	0.285453956426662	0.0723050133635701	0.252571474852191	0.768202802300154	0.30547906374018	0.889345590021868	0.495828946302746	0.712723738559974	0.91086903701304	0.732870332874382	0.831031829594233	0.846116465538187	0.165283064712076
Amphimedon_queenslandica	0.607698226289787	0.783631651413299	0.366688264355714	0.641957560541022	0.818903377338625		0.817607515995788	0.181076374827893	0.11932048270835	0.0325585162387624	0.0485340568559164	0.104640803434033	0.130315056288977	0.018304041467563	0.224366242812019	0.106665586782214	0.828480602575524	0.0597108609378796	0.488458734915364	0.631509678464404	0.183607354013121	0.344395399692233	0.5113590345833	0.349943306066251	0.0323560379039443	0.0765773062282336	0.28620312626549	0.817911233498016	0.855248238438487	0.177452012634648	0.735745525228801	0.157993844658622	0.0972300963796874	0.694399449258929	0.871972948894468	0.363894063335223	0.340406576496315	0.0961367133716692	0.394225317890986	0.354134607596987	0.391005912367377	0.758443346561918	0.340993763667288	0.664432655705839	0.707256823519883	0.0346237952539078	0.0483315785210982	0.0956507653681056	0.0978577792176237	0.177978456305175	0.785595691261035	0.353061472422451	0.606361869279987	0.526949866364299	0.772859804000972	0.201607677978456	0.126164250425205	0.0569976512513161	0.858163926459869	0.41277233336033	0.504049566696363	0.5077954158905	0.185976350530493	0.263059852595772	0.076415323560379	0.248825625658055	0.691099052401393	0.310055074107071	0.834818174455333	0.473090629302665	0.663602494533085	0.82631408439297	0.66678140438973	0.760387138576172	0.795658864501498	0.168482222402203
Aphrocallistes_vastus	0.671762371426257	0.830221916254961	0.393172430549931	0.689135012553657	0.897039766744958	0.817607515995788		0.197699846116466	0.143172430549931	0.0447679598282984	0.0543046893982344	0.139345590021868	0.138778650684377	0.0341783429173078	0.224609216813801	0.0824896736049243	0.89394184822224	0.0750384708836155	0.483133554709646	0.63713857617235	0.203510974325747	0.372620879565886	0.541933263140844	0.369887422045841	0.0353122215922896	0.0874706406414514	0.318721146837288	0.896857536243622	0.931461083664048	0.219203045274156	0.755527658540536	0.143739369887422	0.108892848465214	0.712217542722929	0.93526767635863	0.362092006155341	0.403397586458249	0.11397505466915	0.403154612456467	0.360775896979023	0.417064874058476	0.844172673523933	0.334757430954888	0.702417591317729	0.756965254717745	0.0406171539645258	0.0440592856564348	0.110046974973678	0.114663481007532	0.208370454361383	0.855936664776869	0.350975945573824	0.642564995545477	0.57943225074917	0.829148781080424	0.252692961853082	0.140074512027213	0.0658662023163522	0.917996274398639	0.401757511946222	0.531951081234308	0.535798169595853	0.218676601603628	0.292864663481008	0.07497772738317	0.244330606625091	0.778873410545072	0.300234874868389	0.894448044059286	0.503016927188791	0.716348100753219	0.90084635943954	0.743945897788937	0.83655948813477	0.84559002186766	0.176743338462784
Beroe_abyssicola	0.129505142949704	0.207742771523447	0.0861545314651332	0.134587349153641	0.183890823681866	0.181076374827893	0.197699846116466		0.0978172835506601	0.0262614400259172	0.0402121972948894	0.0757471450554791	0.023183769336681	0.0199846116465538	0.0396250101239167	0.0521381712156799	0.206203936178829	0.0320725682351988	0.087065683971815	0.12845225560865	0.084959909289706	0.0960759698712238	0.0821049647687697	0.0609459787802705	0.0261197051915445	0.0533732890580708	0.177998704138657	0.202518830485138	0.20832995869442	0.0838260306147242	0.166842147890176	0.0545071677330526	0.0867214708026241	0.126852676763586	0.216510083421074	0.0434113549850166	0.164533894873249	0.0395845144569531	0.0576455819227343	0.0393415404551713	0.0238519478415809	0.183911071515348	0.0750384708836155	0.0971491050457601	0.133028265975541	0.0200656029804811	0.0242771523446991	0.0637401798007613	0.073762857374261	0.105207742771523	0.206851866850247	0.0297643152182716	0.089616910990524	0.10939904430226	0.16900866607273	0.0998420668988418	0.0829756216084879	0.0234267433384628	0.21312869522961	0.0355349477605896	0.110654409978132	0.0850409006236333	0.0898598849923058	0.12778407710375	0.0268081315299263	0.019964363813072	0.138171215679922	0.0642261278043249	0.208208471693529	0.0671418158257066	0.161152506681785	0.199299424961529	0.155462865473394	0.125475824086823	0.193447801085284	0.0813152992629789
Beroe_forskalii	0.107637482789342	0.127885316271159	0.0676277638292703	0.101907345913987	0.131833643800113	0.11932048270835	0.143172430549931	0.0978172835506601		0.038713857617235	0.0368713047703896	0.0821252126022516	0.02417591317729	0.0217664209929538	0.0111363084149996	0.0392403012877622	0.148943063092249	0.0307362112253989	0.0523406495504981	0.0838665262816879	0.055013363570098	0.0604802786101887	0.0722847655300883	0.0488985178585891	0.0269903620312627	0.0552968332388434	0.124645662914068	0.142261278043249	0.146270349072649	0.0894954239896331	0.123410545071677	0.0485948003563619	0.0748359925487973	0.122965092735077	0.157447153154612	0.0273548230339354	0.122620879565886	0.0463472908398801	0.0390580707864259	0.0362233740989714	0.0317486028994898	0.129808860451932	0.0587187170972706	0.0581315299262979	0.115169676844578	0.0148821576091358	0.0200656029804811	0.0502146270349073	0.0587592127642342	0.0806876164250425	0.142139791042358	0.0286304365432899	0.0601765611079614	0.066109176318134	0.116587025188305	0.109723009637969	0.0909330201668422	0.0263019356928809	0.153944277962258	0.0213209686563538	0.0732971572041791	0.0637604276342431	0.0686199076698793	0.103689155260387	0.0367295699360168	0.0153478577792176	0.105997408277314	0.0471167085121892	0.148254636753867	0.0701182473475338	0.111504818984369	0.129484895116223	0.109520531303151	0.110877136146432	0.128917955778732	0.0772049890661699
Beroe_ovata	0.0351704867579169	0.0366485786020896	0.0209362598201992	0.026281687859399	0.0384708836154531	0.0325585162387624	0.0447679598282984	0.0262614400259172	0.038713857617235		0.0078966550579088	0.035939904430226	0.00734996355389973	0.014193731270754	0.00625658054588159	0.0179395804648903	0.0439580464890257	0.00131610917631813	0.0171296671256176	0.0219081558273265	0.0169879322912448	0.0159552927836721	0.0210374989876083	0.0166437191220539	0.0124119219243541	0.0085850813962906	0.038815096784644	0.0470964606787074	0.047136956345671	0.0250060743500445	0.0272738317000081	0.0199238681461084	0.0305539807240625	0.0326800032396534	0.0473394346804892	0.0157730622823358	0.0349275127561351	0.0107515995788451	0.0114400259172269	0.0175143759617721	0.0132218352636268	0.0435125941524257	0.0199238681461084	0.0231230258362355	0.0349680084230987	0	0.0113792824167814	0.00645905888069977	0.0181420587997084	0.0227180691665992	0.0407993844658622	0.0133635700979995	0.02528954401879	0.0246618611808536	0.0317486028994898	0.0314043897302989	0.0271928403660808	0.00965821657082692	0.0471976998461165	0.00939499473556329	0.0323762857374261	0.0261399530250263	0.0223131124969628	0.0252490483518264	0.00722847655300883	0.00933425123511784	0.0354539564266623	0.0116020085850814	0.0426014416457439	0.0335709079128533	0.0315461245646716	0.0365270916011987	0.02484409168219	0.0308981938932534	0.0390985664533895	0.0241354175103264
