Basefrequencies
File	Taxon	p(A)	p(V)	p(L)	p(I)	p(P)	p(M)	p(F)	p(W)	p(G)	p(S)	p(T)	p(C)	p(N)	p(Q)	p(Y)	p(D)	p(E)	p(K)	p(R)	p(H)	p(Hydrophobic)	p(Hydrophilic)	p(Polar)	p(Nonpolar)	p(Positive)	p(Neutral)	p(Negative)	p(gap)	p(Ambiguity) [X]	RCFV Value (taxon specific)	Absolute Deviation (A)	Absolute Deviation (V)	Absolute Deviation (L)	Absolute Deviation (I)	Absolute Deviation (P)	Absolute Deviation (M)	Absolute Deviation (F)	Absolute Deviation (W)	Absolute Deviation (G)	Absolute Deviation (S)	Absolute Deviation (T)	Absolute Deviation (C)	Absolute Deviation (N)	Absolute Deviation (Q)	Absolute Deviation (Y)	Absolute Deviation (D)	Absolute Deviation (E)	Absolute Deviation (K)	Absolute Deviation (R)	Absolute Deviation (H)	Absolute Deviation (Hydrophobic)	Absolute Deviation (Hydrophilic)	Absolute Deviation (Polar)	Absolute Deviation (Nonpolar)	Absolute Deviation (Positive)	Absolute Deviation (Neutral)	Absolute Deviation (Negative)	Absolute Deviation (Gap)	Absolute Deviation (Ambiguity) [X]	p_uninformative sites
Metazoa_Choano_RCFV_strict.phy	Dryodora_glandiformis	0.0691	0.0219	0.0489	0.0540	0.0382	0.0387	0.0577	0.0119	0.0658	0.0632	0.0272	0.0533	0.0715	0.0273	0.0577	0.0663	0.1121	0.0398	0.0412	0.0343	0.3535	0.6465	0.5262	0.4738	0.1209	0.7595	0.1195	0.7662	0.0000	0.0006	0.0003	0.0025	0.0049	0.0025	0.0017	0.0031	0.0009	0.0011	0.0033	0.0057	0.0006	0.0000	0.0003	0.0011	0.0033	0.0011	0.0061	0.0004	0.0016	0.0026	0.0014	0.0014	0.0059	0.0059	0.0052	0.0070	0.0019	0.2381	0.0000	0.7662
Metazoa_Choano_RCFV_strict.phy	Sympagella_nux	0.0627	0.0198	0.0515	0.0520	0.0390	0.0354	0.0577	0.0109	0.0697	0.0646	0.0238	0.0511	0.0671	0.0258	0.0653	0.0674	0.1140	0.0419	0.0434	0.0368	0.3569	0.6431	0.5244	0.4756	0.1223	0.7592	0.1185	0.1456	0.0000	0.0006	0.0061	0.0004	0.0023	0.0005	0.0009	0.0002	0.0009	0.0001	0.0072	0.0043	0.0028	0.0022	0.0047	0.0004	0.0043	0.0000	0.0080	0.0017	0.0006	0.0001	0.0020	0.0020	0.0041	0.0041	0.0038	0.0067	0.0029	0.3825	0.0000	0.1456
Metazoa_Choano_RCFV_strict.phy	Hyalonema_populiferum	0.0622	0.0198	0.0557	0.0512	0.0461	0.0337	0.0514	0.0099	0.0669	0.0749	0.0260	0.0520	0.0631	0.0254	0.0782	0.0619	0.1039	0.0403	0.0423	0.0351	0.3576	0.6424	0.5237	0.4763	0.1263	0.7598	0.1139	0.5726	0.0000	0.0010	0.0066	0.0004	0.0019	0.0003	0.0062	0.0019	0.0054	0.0009	0.0044	0.0060	0.0006	0.0013	0.0087	0.0008	0.0172	0.0055	0.0021	0.0001	0.0005	0.0018	0.0027	0.0027	0.0034	0.0034	0.0002	0.0073	0.0075	0.0445	0.0000	0.5726
Metazoa_Choano_RCFV_strict.phy	Salpingoeca_pyxidium	0.0856	0.0163	0.0635	0.0544	0.0353	0.0283	0.0624	0.0093	0.0607	0.0598	0.0245	0.0551	0.0780	0.0267	0.0601	0.0631	0.0985	0.0353	0.0424	0.0407	0.3610	0.6390	0.4975	0.5025	0.1223	0.7595	0.1182	0.6588	0.0000	0.0012	0.0168	0.0031	0.0097	0.0029	0.0046	0.0073	0.0056	0.0015	0.0018	0.0091	0.0021	0.0018	0.0062	0.0005	0.0009	0.0043	0.0075	0.0049	0.0004	0.0038	0.0061	0.0061	0.0228	0.0228	0.0038	0.0070	0.0032	0.1307	0.0000	0.6588
Metazoa_Choano_RCFV_strict.phy	Abylopsis_tetragona	0.0676	0.0191	0.0552	0.0519	0.0411	0.0356	0.0509	0.0107	0.0593	0.0751	0.0263	0.0573	0.0724	0.0261	0.0607	0.0707	0.1025	0.0389	0.0424	0.0362	0.3464	0.6536	0.5260	0.4740	0.1260	0.7459	0.1281	0.3014	0.0000	0.0005	0.0012	0.0003	0.0014	0.0004	0.0012	0.0000	0.0059	0.0001	0.0032	0.0062	0.0003	0.0040	0.0006	0.0001	0.0003	0.0033	0.0035	0.0013	0.0004	0.0007	0.0085	0.0085	0.0057	0.0057	0.0001	0.0066	0.0067	0.2267	0.0000	0.3014
Metazoa_Choano_RCFV_strict.phy	Crella_elegans	0.0700	0.0173	0.0571	0.0515	0.0332	0.0331	0.0594	0.0106	0.0648	0.0697	0.0285	0.0509	0.0733	0.0271	0.0571	0.0697	0.1067	0.0404	0.0405	0.0391	0.3525	0.6475	0.5171	0.4829	0.1291	0.7503	0.1206	0.6210	0.0000	0.0005	0.0012	0.0021	0.0033	0.0000	0.0067	0.0025	0.0026	0.0002	0.0023	0.0008	0.0019	0.0024	0.0015	0.0009	0.0039	0.0023	0.0007	0.0002	0.0023	0.0022	0.0024	0.0024	0.0032	0.0032	0.0030	0.0022	0.0008	0.0929	0.0000	0.6210
Metazoa_Choano_RCFV_strict.phy	Capitella_teleta	0.0713	0.0195	0.0517	0.0501	0.0390	0.0339	0.0569	0.0118	0.0601	0.0684	0.0281	0.0550	0.0703	0.0273	0.0585	0.0670	0.1068	0.0426	0.0436	0.0382	0.3584	0.6416	0.5197	0.4803	0.1253	0.7528	0.1220	0.0568	0.0000	0.0004	0.0025	0.0001	0.0021	0.0014	0.0009	0.0017	0.0001	0.0010	0.0024	0.0005	0.0015	0.0017	0.0015	0.0011	0.0025	0.0004	0.0008	0.0024	0.0008	0.0013	0.0035	0.0035	0.0006	0.0006	0.0008	0.0003	0.0006	0.4713	0.0000	0.0568
Metazoa_Choano_RCFV_strict.phy	Hemithris_psittacea	0.0679	0.0189	0.0535	0.0529	0.0393	0.0349	0.0562	0.0114	0.0618	0.0730	0.0271	0.0558	0.0713	0.0271	0.0599	0.0669	0.0999	0.0413	0.0430	0.0378	0.3471	0.6529	0.5281	0.4719	0.1292	0.7481	0.1227	0.2299	0.0000	0.0003	0.0009	0.0005	0.0003	0.0014	0.0006	0.0007	0.0006	0.0006	0.0007	0.0041	0.0005	0.0025	0.0005	0.0009	0.0011	0.0005	0.0061	0.0011	0.0002	0.0009	0.0078	0.0078	0.0078	0.0078	0.0031	0.0044	0.0013	0.2982	0.0000	0.2299
Metazoa_Choano_RCFV_strict.phy	Oscarella_carmela	0.0719	0.0187	0.0537	0.0475	0.0352	0.0336	0.0602	0.0115	0.0630	0.0686	0.0252	0.0551	0.0739	0.0269	0.0566	0.0682	0.1068	0.0406	0.0446	0.0383	0.3548	0.6452	0.5177	0.4823	0.1288	0.7479	0.1233	0.0226	0.0000	0.0005	0.0031	0.0007	0.0001	0.0040	0.0047	0.0020	0.0034	0.0007	0.0005	0.0003	0.0014	0.0018	0.0021	0.0007	0.0044	0.0008	0.0008	0.0004	0.0018	0.0014	0.0001	0.0001	0.0026	0.0026	0.0027	0.0046	0.0019	0.5055	0.0000	0.0226
Metazoa_Choano_RCFV_strict.phy	Pseudospongosorites_suberitoides	0.0718	0.0158	0.0594	0.0534	0.0353	0.0293	0.0580	0.0113	0.0587	0.0760	0.0256	0.0538	0.0747	0.0264	0.0579	0.0716	0.1017	0.0419	0.0401	0.0374	0.3457	0.6543	0.5202	0.4798	0.1339	0.7406	0.1255	0.7394	0.0000	0.0008	0.0030	0.0036	0.0056	0.0019	0.0046	0.0063	0.0012	0.0005	0.0038	0.0071	0.0010	0.0005	0.0029	0.0002	0.0031	0.0042	0.0043	0.0017	0.0027	0.0005	0.0092	0.0092	0.0001	0.0001	0.0078	0.0119	0.0041	0.2113	0.0000	0.7394
Metazoa_Choano_RCFV_strict.phy	Lobatolampea_tetragona	0.0650	0.0239	0.0595	0.0603	0.0379	0.0364	0.0662	0.0099	0.0676	0.0625	0.0257	0.0540	0.0798	0.0261	0.0614	0.0551	0.0978	0.0375	0.0397	0.0338	0.3333	0.6667	0.5274	0.4726	0.1286	0.7622	0.1092	0.9449	0.0000	0.0011	0.0038	0.0045	0.0057	0.0088	0.0020	0.0008	0.0094	0.0009	0.0051	0.0064	0.0009	0.0007	0.0080	0.0001	0.0004	0.0123	0.0082	0.0027	0.0031	0.0031	0.0216	0.0216	0.0071	0.0071	0.0025	0.0097	0.0122	0.4168	0.0000	0.9449
Metazoa_Choano_RCFV_strict.phy	Drosophila_melanogaster	0.0737	0.0196	0.0521	0.0490	0.0396	0.0361	0.0590	0.0117	0.0598	0.0660	0.0266	0.0520	0.0686	0.0266	0.0608	0.0671	0.1093	0.0433	0.0420	0.0373	0.3614	0.6386	0.5179	0.4821	0.1249	0.7560	0.1190	0.0218	0.0000	0.0004	0.0049	0.0002	0.0017	0.0025	0.0003	0.0005	0.0022	0.0009	0.0027	0.0029	0.0000	0.0013	0.0032	0.0004	0.0002	0.0003	0.0033	0.0031	0.0008	0.0004	0.0065	0.0065	0.0024	0.0024	0.0012	0.0035	0.0024	0.5063	0.0000	0.0218
