gene_id	tree_supported	tr1_log-likelihood	tr2_log-likelihood	tr3_log-likelihood
V2META10033-1-42-Calc_Hmm10-BMGE05	tr2	-17637.565885	-17628.749635	-17635.952731
V2META10033-2-1-42-Calc_Hmm10-BMGE05	tr2	-27236.953273	-27229.432262	-27238.08678
V2META10053-2-1-42-Calc_Hmm10-BMGE05	tr2	-18995.767878	-18993.678024	-18995.027684
V2META10054-1-1-42-Calc_Hmm10-BMGE05	tr1	-29291.752142	-29292.163877	-29300.389807
V2META10054-1-2-2-42-Calc_Hmm10-BMGE05	tr2	-17342.154237	-17336.236903	-17340.286061
V2META10062-1-1-42-Calc_Hmm10-BMGE05	tr1	-12468.907572	-12471.106697	-12471.507259
V2META10062-2-1-42-Calc_Hmm10-BMGE05	tr2	-12922.138784	-12911.301448	-12920.77594
V2META10062-2-2-2-2-1-42-Calc_Hmm10-BMGE05	tr1	-10969.287326	-10971.464998	-10970.943735
V2META10079-1-1-1-42-Calc_Hmm10-BMGE05	tr1	-19943.285468	-19947.614312	-19948.59729
V2META10079-1-2-2-2-2-2-42-Calc_Hmm10-BMGE05	tr1	-21412.0956	-21415.384581	-21414.984164
V2META10079-2-42-Calc_Hmm10-BMGE05	tr3	-19013.452782	-19013.3767	-19012.145939
V2META10102-1-2-2-2-42-Calc_Hmm10-BMGE05	tr1	-10214.377526	-10216.501146	-10216.676958
V2META10102-2-2-2-42-Calc_Hmm10-BMGE05	tr2	-7825.414864	-7819.70627300001	-7824.099077
V2META10136-1-1-42-Calc_Hmm10-BMGE05	tr2	-13541.417977	-13540.512392	-13541.215063
V2META10141-1-42-Calc_Hmm10-BMGE05	tr2	-16692.551527	-16687.355351	-16692.962649
V2META10144-2-1-42-Calc_Hmm10-BMGE05	tr2	-23268.498925	-23267.627846	-23267.637848
V2META10144-2-2-1-42-Calc_Hmm10-BMGE05	tr2	-19815.483736	-19809.153007	-19816.63118
V2META10144-2-2-2-2-42-Calc_Hmm10-BMGE05	tr3	-23893.877417	-23892.298118	-23892.220842
V2META10155-1-42-Calc_Hmm10-BMGE05	tr2	-15160.235146	-15153.14146	-15159.838183
V2META10161-1-2-42-Calc_Hmm10-BMGE05	tr2	-16684.370913	-16677.909777	-16684.722813
V2META10174-2-42-Calc_Hmm10-BMGE05	tr1	-33628.902513	-33636.343342	-33638.519152
V2META10184-1-2-2-42-Calc_Hmm10-BMGE05	tr2	-21325.578777	-21319.484467	-21325.628573
V2META10187-1-42-Calc_Hmm10-BMGE05	tr2	-30639.296735	-30637.908004	-30637.982935
V2META10192-1-1-42-Calc_Hmm10-BMGE05	tr2	-12897.812936	-12892.252247	-12897.56029
V2META10192-2-1-42-Calc_Hmm10-BMGE05	tr2	-28014.099108	-28012.827692	-28018.353866
V2META10192-2-2-1-42-Calc_Hmm10-BMGE05	tr2	-12567.414637	-12566.795103	-12568.280057
V2META10197-2-1-2-42-Calc_Hmm10-BMGE05	tr2	-19018.437744	-19015.937176	-19016.411129
V2META10197-2-2-2-2-42-Calc_Hmm10-BMGE05	tr2	-20685.59097	-20674.436296	-20684.308038
V2META10203-1-1-42-Calc_Hmm10-BMGE05	tr2	-8067.961363	-8065.87575	-8068.066832
V2META10203-2-2-1-42-Calc_Hmm10-BMGE05	tr1	-10639.5481	-10641.513146	-10640.195944
V2META10224-1-2-2-42-Calc_Hmm10-BMGE05	tr1	-3289.586212	-3289.618425	-3290.171605
V2META10237-2-42-Calc_Hmm10-BMGE05	tr2	-23891.435269	-23878.93104	-23891.724172
V2META10242-1-42-Calc_Hmm10-BMGE05	tr2	-12899.765351	-12895.319954	-12899.503842
V2META10252-2-1-42-Calc_Hmm10-BMGE05	tr2	-46535.769505	-46534.344353	-46537.398607
V2META10253-42-Calc_Hmm10-BMGE05	tr2	-4012.245345	-4011.231333	-4011.824153
V2META10259-2-1-42-Calc_Hmm10-BMGE05	tr2	-16981.124581	-16969.878544	-16978.493664
V2META10259-2-2-2-42-Calc_Hmm10-BMGE05	tr3	-5986.592172	-5987.420057	-5985.313172
V2META10262-1-42-Calc_Hmm10-BMGE05	tr2	-16113.514102	-16113.399511	-16113.631234
V2META10274-1-42-Calc_Hmm10-BMGE05	tr3	-28889.413827	-28883.931153	-28882.645808
V2META10274-2-1-2-42-Calc_Hmm10-BMGE05	tr2	-46814.280982	-46803.387591	-46818.279707
V2META10276-1-2-2-42-Calc_Hmm10-BMGE05	tr2	-14171.264949	-14165.118626	-14170.903232
V2META10298-1-42-Calc_Hmm10-BMGE05	tr1	-6141.579376	-6142.866351	-6142.420532
V2META10306-2-1-42-Calc_Hmm10-BMGE05	tr3	-21399.779394	-21402.036377	-21398.413054
V2META10324-1-42-Calc_Hmm10-BMGE05	tr2	-22789.03938	-22783.469357	-22791.163903
V2META10325-1-42-Calc_Hmm10-BMGE05	tr1	-25516.949143	-25521.49399	-25517.373815
V2META10325-2-1-1-42-Calc_Hmm10-BMGE05	tr3	-10968.650316	-10971.120717	-10965.578016
V2META10325-2-1-2-42-Calc_Hmm10-BMGE05	tr2	-30661.738886	-30660.676272	-30661.1175
V2META10325-2-2-2-2-42-Calc_Hmm10-BMGE05	tr2	-31591.31391	-31589.101597	-31593.320211
V2META10342-1-1-42-Calc_Hmm10-BMGE05	tr1	-15616.800886	-15620.031873	-15621.548316
V2META10342-1-2-2-2-42-Calc_Hmm10-BMGE05	tr2	-16565.345174	-16563.165708	-16563.763277
V2META10342-2-42-Calc_Hmm10-BMGE05	tr2	-14254.168066	-14244.07436	-14251.928576
V2META10343-1-42-Calc_Hmm10-BMGE05	tr3	-8782.731202	-8783.72634	-8782.611894
V2META10347-1-42-Calc_Hmm10-BMGE05	tr2	-14343.016421	-14340.913681	-14345.952364
V2META10362-1-1-42-Calc_Hmm10-BMGE05	tr2	-16496.971881	-16493.971458	-16497.583586
V2META10380-1-1-2-42-Calc_Hmm10-BMGE05	tr2	-30531.69974	-30520.444032	-30528.560932
V2META10380-2-42-Calc_Hmm10-BMGE05	tr2	-14419.091495	-14415.809703	-14417.910786
V2META10402-2-2-42-Calc_Hmm10-BMGE05	tr2	-28001.651905	-27998.451363	-28004.253603
V2META10423-1-1-42-Calc_Hmm10-BMGE05	tr2	-11926.896798	-11926.583313	-11929.328413
V2META10425-1-1-42-Calc_Hmm10-BMGE05	tr2	-10410.86695	-10407.987248	-10414.419612
V2META10427-2-1-42-Calc_Hmm10-BMGE05	tr2	-16981.626864	-16977.560962	-16986.023863
V2META10445-1-42-Calc_Hmm10-BMGE05	tr2	-14612.868727	-14604.475035	-14611.0519
V2META10445-2-42-Calc_Hmm10-BMGE05	tr2	-29358.210097	-29355.570388	-29361.208587
V2META10457-1-42-Calc_Hmm10-BMGE05	tr3	-3911.323535	-3912.211986	-3909.69809
V2META10457-2-1-42-Calc_Hmm10-BMGE05	tr3	-9339.11757900001	-9339.333671	-9338.831262
V2META10459-1-42-Calc_Hmm10-BMGE05	tr2	-13667.172096	-13658.731803	-13665.848678
