gene_id	tree_supported	tr1_log-likelihood	tr2_log-likelihood	tr3_log-likelihood
Gene_0007	tr2	-8089.414245	-8087.653689	-8089.253823
Gene_0016	tr1	-32953.769997	-32953.859261	-32956.990185
Gene_0020	tr2	-26253.099127	-26245.052355	-26250.668151
Gene_0037	tr2	-21761.707753	-21753.04599	-21760.385451
Gene_0044	tr2	-3100.180899	-3097.92543	-3100.650078
Gene_0051	tr1	-19551.079199	-19553.528548	-19557.908632
Gene_0053	tr2	-1838.380263	-1838.318374	-1838.779661
Gene_0058	tr2	-3319.902307	-3319.454745	-3319.705953
Gene_0062	tr2	-6756.925534	-6753.08178499999	-6756.85006
Gene_0063	tr3	-6829.372917	-6829.317928	-6829.310731
Gene_0064	tr2	-6518.153423	-6516.569248	-6518.779271
Gene_0066	tr1	-10099.912201	-10104.466616	-10102.026126
Gene_0068	tr2	-14096.028217	-14093.122545	-14096.638488
Gene_0070	tr2	-6342.213908	-6339.959786	-6342.191717
Gene_0073	tr2	-17731.298166	-17722.690383	-17731.418153
Gene_0076	tr1	-12346.585203	-12348.52265	-12347.120021
Gene_0084	tr1	-9310.055491	-9310.119455	-9310.084534
Gene_0086	tr2	-12312.235682	-12307.26719	-12313.851748
Gene_0090	tr2	-7245.861571	-7244.861737	-7246.277914
Gene_0092	tr2	-11160.08525	-11158.396412	-11159.555005
Gene_0094	tr1	-16880.076692	-16881.279178	-16881.150116
Gene_0098	tr3	-19155.892795	-19161.416334	-19155.353614
Gene_0101	tr3	-23975.20999	-23979.524885	-23973.945148
Gene_0105	tr2	-9746.978869	-9746.909712	-9748.708
Gene_0120	tr3	-8716.975997	-8718.50283	-8716.964508
Gene_0121	tr2	-16761.957123	-16755.531858	-16762.995001
Gene_0123	tr2	-9922.79519	-9918.354918	-9924.528517
Gene_0128	tr2	-1733.22975	-1732.702086	-1733.239259
Gene_0129	tr3	-4443.063163	-4442.89932	-4441.951257
Gene_0135	tr2	-15368.048927	-15361.908394	-15368.840654
Gene_0140	tr1	-9339.493655	-9341.87534999999	-9340.975882
Gene_0141	tr2	-3049.710157	-3048.938496	-3050.020227
Gene_0143	tr2	-12529.763528	-12529.51408	-12530.081095
Gene_0144	tr2	-5954.224862	-5953.921602	-5954.090054
Gene_0146	tr1	-6514.499197	-6516.368137	-6516.581735
Gene_0152	tr3	-6027.893778	-6028.824666	-6027.384153
Gene_0156	tr2	-12139.947109	-12135.817145	-12140.689683
Gene_0158	tr2	-7531.496355	-7530.803051	-7531.71545
Gene_0171	tr2	-8782.12008	-8781.357093	-8782.635635
Gene_0177	tr3	-18867.764767	-18866.735355	-18866.484304
Gene_0178	tr3	-16240.423341	-16239.138977	-16237.387372
Gene_0180	tr2	-11581.343403	-11580.309244	-11583.772087
Gene_0181	tr3	-14284.857157	-14286.576661	-14284.181077
Gene_0208	tr2	-10340.576875	-10335.396992	-10341.311342
Gene_0251	tr2	-21489.611941	-21481.148577	-21488.029132
Gene_0253	tr2	-8910.824311	-8909.45801	-8911.022529
Gene_0257	tr1	-18550.680436	-18550.690874	-18551.101951
Gene_0268	tr3	-9100.171631	-9103.134119	-9099.0341
Gene_0272	tr1	-10480.139884	-10480.244135	-10480.692455
Gene_0277	tr1	-3218.283995	-3218.300904	-3218.803979
Gene_0278	tr2	-23894.207339	-23892.044234	-23893.66253
Gene_0281	tr2	-11725.111162	-11722.758894	-11727.166925
Gene_0289	tr3	-23310.080403	-23310.705795	-23310.077517
