	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned.phy	Gene_0007	Gene_0016	Gene_0017	Gene_0020	Gene_0030	Gene_0035	Gene_0037	Gene_0041	Gene_0044	Gene_0045	Gene_0051	Gene_0053	Gene_0058	Gene_0059	Gene_0062	Gene_0063	Gene_0064	Gene_0066	Gene_0068	Gene_0070	Gene_0073	Gene_0076	Gene_0084	Gene_0086	Gene_0088	Gene_0090	Gene_0092	Gene_0094	Gene_0098	Gene_0101	Gene_0105	Gene_0120	Gene_0121	Gene_0123	Gene_0128	Gene_0129	Gene_0131	Gene_0135	Gene_0140	Gene_0141	Gene_0143	Gene_0144	Gene_0146	Gene_0152	Gene_0156	Gene_0157	Gene_0158	Gene_0169	Gene_0171	Gene_0177	Gene_0178	Gene_0180	Gene_0181	Gene_0208	Gene_0251	Gene_0253	Gene_0257	Gene_0268	Gene_0270	Gene_0272	Gene_0277	Gene_0278	Gene_0281	Gene_0289	Gene_0305	Gene_0311	Gene_0314	Gene_0315	Gene_0319	Gene_0327	Gene_0328	Gene_0340	Gene_0346	Gene_0348	Gene_0352	Gene_0363	Gene_0366	Gene_0372	Gene_0379	Gene_0380	Gene_0384	Gene_0390	Gene_0394	Gene_0395	Gene_0401	Gene_0407	Gene_0408	Gene_0411	Gene_0412	Gene_0414	Gene_0415	Gene_0443	Gene_0446	Gene_0448	Gene_0450	Gene_0455	Gene_0457	Gene_0470	Gene_0484	Gene_0487	Gene_0498	Gene_0503	Gene_0511	Gene_0513	Gene_0519	Gene_0524	Gene_0529	Gene_0536	Gene_0541	Gene_0542	Gene_0548	Gene_0557	Gene_0563	Gene_0565	Gene_0568	Gene_0576	Gene_0601	Gene_0604	Gene_0608	Gene_0614	Gene_0615	Gene_0622	Gene_0623	Gene_0624	Gene_0625	Gene_0626	Gene_0628	Gene_0629	Gene_0631	Gene_0639	Gene_0641	Gene_0644	Gene_0645	Gene_0651	Gene_0652	Gene_0654	Gene_0657	Gene_0658	Gene_0661	Gene_0664	Gene_0667	Gene_0668	Gene_0674	Gene_0677	Gene_0678	Gene_0681	Gene_0687	Gene_0690	Gene_0691	Gene_0695	Gene_0696	Gene_0703	Gene_0709	Gene_0727	Gene_0741	Gene_0745	Gene_0766	Gene_0773	Gene_0775	Gene_0786	Gene_0787	Gene_0793	Gene_0802	Gene_0806	Gene_0807	Gene_0808	Gene_0813	Gene_0819	Gene_0822	Gene_0834	Gene_0835	Gene_0843	Gene_0848	Gene_0857	Gene_0863	Gene_0873	Gene_0874	Gene_0891	Gene_0894	Gene_0895	Gene_0896	Gene_0904	Gene_0909	Gene_0910	Gene_0911	Gene_0912	Gene_0917	Gene_0920	Gene_0921	Gene_0925	Gene_0927	Gene_0930	Gene_0933	Gene_0941	Gene_0942	Gene_0945	Gene_0947	Gene_0950	Gene_0951	Gene_0958	Gene_0963	Gene_0964	Gene_0966	Gene_0969	Gene_0974	Gene_0975	Gene_0983	Gene_0989	Gene_1021	Gene_1033
Danio_rerio	0.1055	0.0571	0.0408	0.1085	0.1898	0.2379	0.1385		0.0609		0.1012	0.1839		0.0154	0.2268	0.0754	0.0161	0.0333	0.0710	0.2033	0.0507	0.0483	0.1546	0.0679	0.1659	0.0696	0.0317	0.0341	0.1878	0.5293	0.2328	0.0843	0.0906	0.1489	0.0551	0.0105	0.0012	0.2539	0.1151	0.1274	0.0030	0.0741	0.0700	0.0461	0.0097	0.1410	0.2000	0.0188	0.0652	0.0451	0.2201	0.1384	0.1165	0.1515	0.0851	0.1820	0.0898	0.1825	0.1985	0.1462	0.1521	0.0144	0.2102	0.1073	0.2251	0.0521	0.1075	0.1745	0.1553	0.1066	0.1582	0.0841	0.0515	0.1096	0.2151	0.1289	0.3349	0.3466	0.1534	0.1953	0.1127	0.0988	0.1516	0.3181	0.1506	0.1908	0.0446	0.2385	0.0499	0.0674	0.0860	0.0967	0.0680	0.0783	0.1658	0.1273	0.1710	0.0323	0.0762	0.1637	0.1634	0.2227	0.1344	0.0226	0.1457	0.1300	0.2964	0.0906	0.1146	0.0775	0.0206	0.2039	0.1583	0.3282	0.2442	0.1772	0.2390	0.0499	0.1531	0.1285	0.3898	0.1386	0.0651	0.1514	0.0367		0.0020	0.0618	0.1228	0.1668	0.0578	0.0542	0.1715	0.0433	0.0988	0.1548	0.0186	0.0506	0.0424	0.2424	0.0324	0.1415	0.0906	0.2268	0.0847	0.0571	0.1015	0.2590	0.0238	0.0485	0.2029	0.0617	0.0836	0.0894	0.0879	0.1366	0.2381	0.2459	0.2641	0.2630	0.0945	0.0145	0.0166	0.0969	0.0378	0.0125	0.1242	0.1449	0.0985	0.0978	0.1567	0.0986	0.0176	0.0266	0.2208	0.1349	0.1786	0.2767	0.0554	0.2194	0.3413	0.3741	0.2886	0.2630	0.0902	0.0903	0.0038	0.1239	0.0514	0.2066	0.0775	0.1315	0.1827	0.0061	0.0593	0.1778	0.0913	0.0383	0.0250	0.1401	0.1099	0.1871	0.0664	0.0912	0.1167	0.1410	0.0405	0.1681	0.2240	0.1951	0.3314
Petrosia_ficiformis	0.0503	0.0571	0.1250		0.2598	0.4138	0.7200		0.1039	0.0285		0.1818	0.0210			0.0316	0.2945	0.0210	0.0291			0.1352	0.4444		0.1659	0.0696	0.0317		0.5232	0.2042			0.0906		0.0987	0.0105		0.1904	0.1151	0.3398		0.0741	0.1220	0.2767	0.0097		0.1853	0.0188	0.0208	0.3204	0.5027			0.1515	0.0559	0.2146			0.2276	0.3888		0.0144			0.4351	0.0521	0.1184			0.0003	0.1582	0.0841	0.2987	0.1096	0.2212				0.5298	0.1572	0.0347		0.6652	0.2714		0.2393	0.3957	0.1878	0.0339	0.4105		0.0967			0.1099	0.6028	0.3807				0.5011			0.4280		0.0810	0.6138	0.0906	0.4190	0.0831		0.1857	0.3448		0.2163	0.0200	0.3554		0.2781		0.1223	0.1517	0.2662	0.1514		0.3683		0.1130	0.1596		0.0465				0.3682	0.1548		0.0506	0.0424	0.2411				0.0577	0.2230	0.0571	0.1015				0.1938	0.2400	0.5152	0.0894	0.2828	0.1441	0.2429	0.2421		0.0653	0.0945	0.0145			0.2479	0.3375			0.0985	0.2397	0.1567	0.0986	0.0176		0.3870	0.1384		0.1673		0.3345	0.4645	0.1655	0.0795	0.0182		0.0955			0.0514	0.1569	0.0775	0.2349	0.0597	0.1178	0.2096	0.1778					0.1173	0.5066	0.0664	0.0912		0.0468	0.0753	0.4801	0.2204		
Lithobius_forficatus	0.0250	0.0571	0.1197	0.1085	0.5826	0.4885	0.1385	0.3269	0.0722		0.3407	0.2020	0.0210	0.0154	0.2070	0.0754	0.0161	0.0333	0.0390		0.0439		0.1390	0.0679		0.0696	0.0317	0.0341	0.4524	0.4365	0.2328	0.0895	0.0250	0.0448	0.0551		0.0012	0.5398	0.1151	0.1274		0.0678	0.0700	0.1350	0.0097	0.1500	0.3000	0.0252	0.3645	0.0451		0.1384	0.1165	0.1515	0.0851	0.1096	0.0595	0.1825		0.1494	0.1407	0.0209		0.1073	0.2251	0.0521	0.1184	0.1745	0.1553	0.2140	0.0903	0.0841	0.0515	0.3677	0.2131	0.1289	0.5095	0.3786	0.1534	0.1989	0.1329	0.0298	0.2568	0.0471	0.1906	0.1942	0.0760	0.2385	0.0499	0.0674	0.0806	0.0967	0.0680	0.1070	0.0260		0.3655	0.2079	0.0592		0.1634	0.3333	0.2247	0.0226	0.5886	0.1415	0.2964	0.3317	0.1146	0.0831	0.0206	0.1857	0.1583	0.3282	0.2442	0.1786	0.3443	0.1376		0.1180	0.1587	0.2301	0.0651	0.1514	0.0367		0.0261	0.0618	0.1321	0.1668	0.0578	0.0542	0.1715	0.0433	0.0937	0.1493	0.0186	0.0506	0.0424	0.2424	0.0324		0.0336	0.4678	0.0847	0.0100	0.0950	0.5318	0.0238	0.0485	0.1938	0.1295	0.0836	0.0894	0.3862	0.4953		0.2459	0.2618	0.5004	0.0174	0.0145	0.0166	0.1185	0.0378	0.0125	0.1242	0.3345	0.0985	0.0978	0.1567	0.0943	0.0098	0.0266		0.1384		0.4423	0.0812	0.2194	0.3413	0.4012	0.0777	0.0703	0.0902	0.0955		0.1239	0.0514	0.2066	0.0775	0.0364	0.4665	0.0251	0.2096		0.1245	0.1053	0.0626	0.1401	0.5543	0.1691	0.0664	0.1077	0.1167		0.0300	0.2113			
Aphrocallistes_vastus	0.0800	0.0571	0.1237	0.1111	0.1898	0.2263	0.1372	0.3250	0.0187	0.0161	0.1012		0.0057	0.0154	0.2169	0.0754	0.0161	0.0333	0.0710	0.1864	0.0507	0.1520	0.1546	0.0679	0.1659	0.0696	0.0317		0.1907	0.1862	0.2328		0.0250	0.1368	0.0551	0.0105	0.0012	0.2539	0.1151		0.0030	0.0741	0.0620	0.0461	0.0097	0.1007	0.1963		0.0261	0.0451	0.2263		0.1203	0.6631	0.0723	0.1820	0.0443	0.1825	0.0565	0.1462	0.1178	0.0144	0.1759	0.0978	0.3890	0.0521	0.1075		0.1219	0.0913	0.1582	0.0693	0.0473	0.1096	0.2212	0.1289		0.3106		0.1989		0.0988	0.1401	0.3181	0.1606	0.1873	0.0760	0.2385	0.0339		0.0860		0.0680	0.0818	0.0994		0.1256	0.0541		0.1605	0.1467	0.2083	0.1210	0.0226	0.1188	0.1271	0.2902	0.0707	0.1130	0.0831	0.0159	0.1857	0.1476	0.3282	0.2456	0.1786	0.2297	0.0577		0.1180	0.1453	0.1340	0.0712	0.1514	0.0204	0.2938	0.0261	0.0151	0.0627		0.0383	0.0410		0.0433	0.0988	0.0844	0.1130	0.0769	0.0424	0.2398	0.0324	0.1415	0.0906	0.2059	0.0551	0.0632	0.0917	0.2590	0.0309	0.0347	0.1961	0.1261	0.0836	0.0894	0.0879		0.1276	0.2459	0.1300			0.0145	0.0166	0.0200	0.0378	0.0125	0.1242	0.1793	0.0985	0.0291	0.1364	0.0943	0.0098	0.0266	0.2208	0.1384	0.1786	0.2630	0.0786	0.2194		0.3183	0.2886	0.2630	0.0785	0.0955	0.0185		0.0514	0.2066	0.0775		0.1486	0.0061	0.1965	0.1745	0.3044	0.0273	0.0427	0.1401	0.1210	0.1871	0.0664	0.0912		0.0858	0.0648	0.1523	0.2240	0.1976	
Craseoa_lathetica	0.0959	0.0997		0.1111	0.4737		0.4631		0.0609	0.0161	0.0848		0.0057	0.0154	0.4267	0.0754	0.0161	0.0333	0.0710	0.0245	0.4020	0.1319	0.4704	0.0679	0.1659	0.0696	0.0317	0.0341		0.5084	0.2751	0.2595	0.0906	0.1489	0.0423	0.0105	0.0012	0.2539	0.1151	0.4857	0.0030	0.0741	0.0700	0.0461	0.0097	0.0832	0.2706		0.2239	0.0451			0.0605	0.5670	0.2525		0.0822		0.0264		0.1349	0.0209	0.1179	0.1073	0.2251	0.0521	0.1184	0.1386	0.0989	0.0384	0.1540		0.0515	0.0414	0.6091		0.3859	0.3466	0.1534	0.3838	0.3411		0.1478	0.3119	0.4494	0.5430	0.0383	0.4749	0.0499	0.0674	0.0860	0.3526	0.1666	0.0119	0.4251	0.0830		0.0551	0.0251	0.1214	0.1567			0.2778	0.1427	0.1357	0.2964	0.0807	0.3251	0.2765	0.0206	0.0786		0.3149	0.3332	0.1003	0.0890	0.0577		0.1074	0.5270	0.1386	0.0651		0.0367	0.5778	0.0261	0.0618	0.1321	0.1668	0.0326	0.0542	0.1451	0.0002	0.2971	0.1222	0.0274	0.0310	0.2405	0.3772		0.1783	0.0423	0.0469	0.0847			0.3748	0.3001		0.4298	0.2840	0.0836	0.0894	0.0879	0.0269	0.0767	0.5060	0.2757	0.1199	0.0943	0.0145	0.2251	0.0815			0.0004	0.1310	0.4441	0.1709	0.0565	0.2362	0.0098	0.0266	0.2208	0.1349	0.1786	0.2767	0.1100	0.4888	0.4558		0.0499		0.0541	0.0955		0.2976	0.0514	0.4083	0.0775	0.4716	0.1827	0.0701		0.2309	0.0913	0.3705	0.0325	0.5734	0.2517		0.0664	0.0912		0.1355	0.0405	0.4801	0.1272	0.1458	0.1680
Tethya_wilhelma	0.0833	0.0404							0.3482	0.0285			0.0210	0.0154		0.0560	0.0161				0.0439						0.0621								0.5411	0.0105	0.0012			0.1274	0.0030	0.5321		0.0461	0.0201			0.0188	0.0652	0.0382		0.4688	0.4297						0.1092		0.3336	0.0209				0.0521							0.2396			0.5972											0.1693						0.0680															0.4632		0.1866	0.0206														0.2398		0.0261				0.1230			0.3188			0.0186		0.0424							0.0571			0.0238														0.0166		0.0378	0.0125				0.0666			0.0176	0.0266											0.0902	0.5223	0.0038	0.5487		0.4083	0.0775						0.3691		0.0325				0.0664	0.3729							
Sympagella_nux	0.0471	0.0571	0.1250	0.1111	0.3565	0.2279	0.1372	0.3230	0.0495	0.0038	0.0965		0.0210	0.0154	0.2136	0.0754	0.0161	0.0333	0.0605	0.2033	0.0507	0.1486	0.1546	0.0679	0.1503	0.0696	0.0317		0.1730	0.1832	0.2328		0.0250	0.1392	0.0551	0.0105	0.0012	0.2539	0.1111		0.0152	0.0741	0.0620	0.0461	0.0201	0.0872			0.0261	0.0244	0.2232		0.1165	0.1283	0.0723	0.1820	0.0595	0.0954	0.0387	0.1144	0.1121	0.0144	0.1064	0.2927	0.1900	0.0521	0.1075		0.0219	0.0990	0.1537	0.0656	0.0473		0.2212	0.1289		0.3243	0.1501	0.1989		0.0988	0.1363	0.3150	0.1706	0.1839	0.0760	0.2385	0.0178		0.0860		0.0680	0.0643	0.0924		0.1231	0.0541	0.1738	0.1637	0.1467	0.2155	0.1277	0.0226	0.1248	0.1415	0.2902	0.0707	0.1130	0.0831	0.0206	0.1834	0.2652	0.2026	0.2456	0.1255	0.2371	0.0577	0.0553	0.1180	0.1453	0.1386		0.1514	0.0204	0.2938	0.0020	0.0151	0.0627		0.0157	0.0410	0.1123	0.0519	0.1347	0.1385	0.1042	0.0506	0.0424	0.2411	0.0324	0.1415	0.0779	0.0009		0.0571	0.0917	0.0928	0.0238	0.0347	0.1961	0.1261	0.0836	0.0894	0.0879	0.0065	0.4544	0.2440	0.2232			0.0145	0.0166	0.0251	0.0378	0.0125	0.1242	0.0414	0.0985	0.0791	0.1364	0.0943	0.0098	0.0266	0.2208	0.1384	0.1786	0.3382	0.0812	0.2194	0.5080	0.3202	0.2886	0.1152	0.0785	0.0955	0.0185		0.0514	0.2066	0.0775		0.1486	0.0251	0.1965	0.1711	0.0913	0.0273	0.0325	0.1401	0.0767	0.1871	0.0664	0.0912		0.0692	0.0089	0.1681	0.6708		0.1161
Mortierella_verticillata	0.0850	0.0571	0.1250		0.1803	0.2097	0.1372	0.3269	0.0438	0.0038	0.0407	0.1626	0.0057	0.0154	0.1575	0.0754	0.0161	0.0089	0.0657	0.2033	0.0439	0.1286	0.1546	0.0679	0.1659	0.0434	0.0317	0.0341	0.1878	0.1952	0.2275	0.0895	0.0496		0.0551	0.0105	0.0012	0.2440	0.1151	0.1274	0.0030	0.0741	0.0620	0.0461	0.0097		0.1890	0.0188	0.0105	0.0451	0.2263	0.1328	0.1165	0.1482	0.0851	0.1820	0.0443	0.1793		0.2232	0.1121		0.1047	0.0597	0.2202	0.0521	0.0419	0.1745	0.1303	0.1066	0.1401	0.0841	0.0473	0.1096	0.2212	0.1121	0.2127	0.3404	0.1534	0.1917	0.1358	0.1057	0.1516	0.3119	0.1856	0.0030	0.0383	0.2355	0.0285	0.0601	0.0860	0.0899	0.0680	0.0678	0.1623	0.1317	0.1735	0.0541	0.0762	0.2597	0.1168	0.2227	0.1377	0.0226	0.1278	0.1386	0.2716	0.0747	0.1083	0.0831	0.0206	0.1971	0.1552	0.3119	0.2456	0.1716	0.2353	0.0577	0.1495	0.0969	0.1624	0.1386	0.0528	0.1297	0.0285	0.2758	0.0080	0.0618	0.1275	0.1668	0.0100	0.0410	0.1715	0.0433	0.0988	0.1276	0.0186	0.0408	0.0424	0.1522	0.0013	0.1370	0.0906	0.1808	0.0551	0.0571	0.0689	0.2590	0.0309	0.0403	0.1825	0.1261	0.0778	0.0894	0.0879	0.1366	0.2429	0.2459	0.1052	0.4278	0.0945	0.0307	0.0166	0.0867	0.0336	0.0125	0.0688	0.1310	0.0985	0.0729	0.1567	0.0900	0.0098	0.0313	0.2137	0.1384	0.1786	0.2787	0.0812	0.2173	0.3413	0.3723	0.2695	0.3602	0.0182	0.0903	0.0185	0.0970	0.0052	0.2066	0.0775	0.1315	0.0916	0.0061	0.1965	0.1645	0.0913	0.0383	0.0400	0.1256	0.1468	0.1721	0.0664	0.0691	0.1167	0.1410	0.0405	0.1681	0.1973	0.1907	0.3314
Aurelia_aurita	0.0239	0.0571		0.5633			0.1385		0.0722	0.0161			0.1657		0.5884	0.1071	0.0161	0.0333	0.3950	0.1864	0.0439	0.1286	0.4964	0.0679	0.1659		0.0317	0.1418							0.0423		0.0012	0.4782		0.1274		0.0572	0.0700	0.0461	0.0097	0.3253				0.0451			0.5682		0.0808	0.4904	0.0466	0.1825	0.0032			0.0144	0.0167	0.1784		0.0521	0.1184		0.1428		0.0771	0.0841	0.0515	0.1096					0.5265	0.1953	0.1532		0.1516	0.3181		0.1232	0.0446		0.0446		0.0860						0.3756	0.0541								0.1438		0.0906		0.5854	0.0206	0.2152	0.7194		0.2456										0.0367		0.0261	0.0618				0.0542	0.0593	0.0433		0.1333	0.0011	0.0506	0.0424	0.5837	0.0099	0.0829			0.0847				0.0238				0.0836	0.0894		0.1441			0.2641		0.0945	0.0145			0.0378	0.0125			0.0985				0.0021	0.0266			0.5253	0.4855	0.0812								0.0038		0.0514		0.0775		0.1599	0.0251	0.5241	0.0515	0.0913	0.0383			0.1320	0.2994	0.0664			0.1189					
Agalma_elegans	0.0551	0.0571		0.1008	0.2434	0.4122	0.1019	0.3879	0.0552	0.0161	0.1012		0.0077	0.0154	0.1179	0.0754	0.0161	0.0333	0.0710	0.2033	0.0439	0.0985	0.1546	0.0679	0.1659	0.1821	0.0317	0.0341		0.2209	0.6407	0.0635	0.0906	0.1489	0.4193	0.0105		0.2539	0.1151	0.1274	0.0030	0.0741	0.0700	0.0461	0.0201	0.5226			0.0652	0.0382	0.2263	0.2237	0.0605	0.1515	0.4534	0.0268	0.1526	0.1825	0.1689		0.1622	0.0209	0.2155	0.1073	0.0018	0.0521	0.4390	0.5770	0.1031	0.1066	0.1582	0.4436	0.0135	0.1096	0.2172	0.4812	0.2623	0.2315	0.1534	0.1989	0.0982		0.1270	0.3766	0.1906	0.1566	0.0446	0.5257	0.0499	0.0674	0.3525	0.0190	0.0680	0.0678	0.0085	0.0719		0.0541	0.0762	0.6115	0.1567			0.0226	0.1397	0.0112	0.1463	0.0906	0.0513	0.0831	0.1492	0.3542	0.5007	0.0142	0.6609		0.5869	0.0577	0.0661	0.0969	0.0617	0.1386	0.2171		0.0367	0.2938	0.0261	0.2039	0.1321	0.1668	0.0100	0.0542	0.1451	0.0433	0.1039	0.1548	0.0274	0.0310	0.0424	0.5484	0.0324	0.1415	0.0336	0.2142	0.0847		0.0917	0.0652	0.0238	0.0485	0.2029	0.1349	0.0836	0.0894	0.0879	0.1441	0.2429		0.3598	0.2630	0.2272	0.0145	0.0166	0.0518	0.0378	0.0125	0.1242		0.0985	0.0978	0.1567	0.0943	0.0176	0.0266	0.5142	0.1349	0.1500	0.2767	0.5881	0.2194	0.3413	0.3741	0.2886	0.2601	0.0782	0.0955		0.0477	0.0052	0.1631		0.0094	0.1827	0.0251	0.2070	0.1745	0.1821	0.0383	0.0325	0.1401		0.1871	0.0664	0.0857		0.0692	0.0121	0.1641	0.1402	0.0084	0.2741
