	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Gene_0007	Gene_0016	Gene_0017	Gene_0020	Gene_0035	Gene_0037	Gene_0041	Gene_0044	Gene_0045	Gene_0053	Gene_0058	Gene_0059	Gene_0062	Gene_0063	Gene_0064	Gene_0066	Gene_0068	Gene_0070	Gene_0073	Gene_0076	Gene_0084	Gene_0086	Gene_0088	Gene_0090	Gene_0098	Gene_0105	Gene_0120	Gene_0123	Gene_0128	Gene_0129	Gene_0131	Gene_0135	Gene_0140	Gene_0141	Gene_0143	Gene_0144	Gene_0146	Gene_0152	Gene_0156	Gene_0158	Gene_0169	Gene_0171	Gene_0177	Gene_0180	Gene_0181	Gene_0208	Gene_0251	Gene_0253	Gene_0257	Gene_0268	Gene_0272	Gene_0277	Gene_0278	Gene_0281	Gene_0289	Gene_0305	Gene_0311	Gene_0314	Gene_0315	Gene_0319	Gene_0327	Gene_0328	Gene_0340	Gene_0346	Gene_0348	Gene_0372	Gene_0379	Gene_0380	Gene_0384	Gene_0390	Gene_0394	Gene_0395	Gene_0401	Gene_0407	Gene_0411	Gene_0412	Gene_0414	Gene_0415	Gene_0443	Gene_0446	Gene_0450	Gene_0455	Gene_0470	Gene_0487	Gene_0511	Gene_0513	Gene_0519	Gene_0524	Gene_0529	Gene_0536	Gene_0541	Gene_0542	Gene_0557	Gene_0563	Gene_0565	Gene_0568	Gene_0576	Gene_0601	Gene_0608	Gene_0614	Gene_0622	Gene_0623	Gene_0624	Gene_0625	Gene_0626	Gene_0629	Gene_0639	Gene_0641	Gene_0644	Gene_0645	Gene_0651	Gene_0652	Gene_0654	Gene_0657	Gene_0658	Gene_0664	Gene_0667	Gene_0668	Gene_0674	Gene_0678	Gene_0681	Gene_0687	Gene_0690	Gene_0691	Gene_0695	Gene_0696	Gene_0703	Gene_0709	Gene_0727	Gene_0741	Gene_0745	Gene_0766	Gene_0773	Gene_0786	Gene_0787	Gene_0793	Gene_0802	Gene_0806	Gene_0807	Gene_0808	Gene_0813	Gene_0819	Gene_0822	Gene_0834	Gene_0835	Gene_0843	Gene_0857	Gene_0873	Gene_0874	Gene_0894	Gene_0895	Gene_0896	Gene_0904	Gene_0909	Gene_0910	Gene_0912	Gene_0917	Gene_0920	Gene_0921	Gene_0925	Gene_0927	Gene_0930	Gene_0933	Gene_0941	Gene_0942	Gene_0945	Gene_0947	Gene_0950	Gene_0951	Gene_0958	Gene_0963	Gene_0964	Gene_0966	Gene_0969	Gene_0974	Gene_0975	Gene_0983	Gene_0989
Hydra_oligactis	0.0090	0.0571		0.1111	0.3347		0.0205	0.0495	0.0161	0.0872		0.0154	0.5290		0.0161		0.0710				0.1546	0.0621	0.1659	0.3095				0.0250			0.0012		0.3315			0.0741	0.2660		0.0056			0.0652	0.0382		0.1165				0.0900			0.5622	0.0209			0.2579				0.0469	0.1066			0.0515		0.5606					0.0621	0.1710	0.3644		0.1756	0.0499		0.1467							0.4313	0.0226				0.0906			0.0206			0.4378	0.5920			0.1074	0.1486			0.0367	0.5171		0.1133	0.0601				0.0988		0.1480	0.0310	0.0424			0.0803	0.2808	0.0831				0.0485			0.0836	0.1638			0.3334		0.2618	0.1223	0.0145			0.0378	0.0125	0.4067			0.0791																0.3024			0.1741	0.3654							0.5285	0.3444		0.5442		0.1410			0.6316
Tubulanus_polymorphus	0.0022	0.0571	0.1250	0.1085	0.1912	0.1385	0.2036			0.1012	0.0210	0.0154	0.3805	0.0872	0.0161	0.0333	0.0710	0.0326	0.0462	0.0855	0.1546	0.0679	0.1659	0.0696	0.0317	0.2042	0.0405	0.0906	0.0802		0.0012	0.2539	0.1151	0.1238		0.0741	0.0700	0.1809	0.0056	0.1956	0.0295	0.0652	0.0451	0.4474	0.1203	0.1085	0.0851	0.4490	0.3570	0.1825	0.0694	0.1521		0.2102	0.1073	0.2531	0.0521	0.1251	0.1745	0.1553	0.1066		0.0756	0.0540	0.1077	0.2050	0.1367	0.0442	0.0751	0.1038	0.1516	0.2302	0.0056	0.3989	0.0812	0.0178	0.0738	0.0940	0.0832	0.0680	0.0783	0.1096	0.1670	0.0766	0.1634	0.0226	0.1427	0.1127	0.3476	0.0906	0.1146	0.0607	0.0206	0.1552	0.1054	0.3416	0.1059	0.1986	0.0577	0.0653	0.1587	0.0651	0.1514	0.0367		0.0221	0.1321	0.1151		0.1715	0.0509	0.0988	0.1973	0.0186	0.0506	0.4642	0.0069	0.0780	0.0423	0.2464	0.0632	0.1108		0.0185	0.0458	0.1825	0.1295	0.0022	0.0894	0.0879	0.1563	0.2922	0.1765	0.2641	0.1363	0.0145	0.0140	0.0880	0.0378	0.0125	0.3383	0.1069	0.0932	0.0978		0.0533	0.0176		0.1786	0.5170	0.2194	0.0080	0.3036	0.2860	0.2729	0.0650		0.1239	0.0626	0.2007	0.0775	0.0115	0.2268	0.0061	0.2096			0.0383	0.0626	0.3744		0.1871	0.0664	0.0912	0.1167	0.3839	0.0300	0.2825	0.2187
Euplokamis_dunlapae	0.0641	0.0571	0.1250	0.2998	0.1858			0.0698	0.0161	0.3081	0.0057		0.5818		0.0161	0.0272	0.0500		0.0327	0.3798		0.3122	0.6310	0.0696	0.0317	0.1473	0.0509			0.0105	0.0012	0.6449	0.2683	0.1901		0.6134	0.0700		0.0264			0.1926	0.3204	0.3415	0.5720		0.5987		0.0597	0.0369	0.0280	0.5793	0.0144	0.2964			0.0354	0.4323	0.1745	0.0511	0.2369			0.0473	0.1001			0.5421	0.0607		0.0927		0.4094		0.1944	0.0285	0.3673			0.0680	0.4322	0.1007		0.1677		0.1276	0.1427			0.5588	0.0504		0.0206		0.3693	0.4085			0.0421	0.3662	0.4801	0.1067	0.1514	0.0285		0.0161		0.0262		0.4292		0.5408	0.1288	0.0186	0.0506	0.0424	0.0013		0.0550			0.2573					0.6468	0.0836	0.2512	0.0922		0.4811	0.2572						0.0557	0.0125				0.0978			0.0098			0.6113	0.5692			0.4865	0.3590		0.0038	0.4142	0.2836		0.0775		0.1582	0.0061	0.1115		0.0913	0.0383	0.4788	0.4035	0.0340		0.0664			0.0471	0.0089		
Petrosia_ficiformis	0.0765	0.0571	0.1250		0.2598	0.7200		0.1039	0.0285		0.0210				0.2945	0.0210	0.0291			0.1352	0.4444		0.1659	0.0696	0.0317	0.2042		0.0906	0.0736	0.0105		0.1904	0.1151	0.3434		0.0741	0.1220	0.2675	0.0056		0.0231	0.0208	0.3204	0.4817		0.1515	0.0559	0.2146			0.2233		0.0144			0.4351	0.0521	0.1251			0.0003	0.1712	0.0756	0.2987	0.1077	0.2212	0.5465	0.1572	0.0347		0.6652	0.2714			0.3957	0.0339	0.4041		0.0967			0.6028	0.3847		0.5011	0.4280		0.0810	0.6138	0.0906	0.4190	0.0804		0.3448		0.2163	0.0200	0.3939			0.1223	0.2662	0.1514		0.3594		0.1596	0.0488				0.3682	0.1343		0.0506	0.0424				0.0381	0.0571					0.1938	0.2400	0.5152	0.0894	0.2828	0.1563	0.2429	0.2746		0.0945	0.0145			0.2479	0.3375			0.0985	0.2397	0.1567	0.0797	0.0176	0.3870		0.1673	0.3345	0.4645	0.1655	0.0595	0.0083					0.1634	0.0775	0.2328	0.0511	0.1178	0.2096	0.1778					0.1173	0.5066	0.0664	0.0912		0.0468	0.0753	0.4801	0.2204
Ircinia_fasciculata	0.0865	0.0571					0.5864	0.3426	0.0161	0.1825			0.1740	0.0872	0.0218	0.3764	0.0710	0.5516	0.0462		0.3662	0.3824	0.6310	0.0696			0.3918	0.0168								0.0241				0.5398			0.0451		0.1165		0.0687		0.0597	0.3207	0.4481	0.1336	0.0967	0.3834		0.5686	0.0701	0.1032		0.4947	0.1066	0.0098				0.6071	0.1367	0.5997				0.4109		0.3818		0.0499	0.2570	0.2376		0.0680	0.5895	0.4081		0.0766	0.5443	0.1987	0.3140	0.4233		0.0946		0.0804				0.6847		0.6106	0.0595		0.1486	0.4441	0.4627	0.2723	0.4720	0.0261	0.4049	0.1433		0.5315	0.0509	0.0988			0.0506	0.0424			0.0423					0.0256				0.3931	0.1289				0.5774			0.1467	0.0140		0.0378	0.0575			0.4600	0.0666	0.3509		0.2615	0.5036			0.0872				0.1126	0.0168	0.0038	0.3469	0.0626	0.0975		0.0420			0.5606	0.5564	0.5993			0.6948	0.1210		0.0566	0.3397					
Corticium_candelabrum	0.1414		0.5947	0.3049			0.4592	0.0722	0.0285	0.1639		0.1204	0.0735		0.0161	0.0092	0.0233			0.0487	0.3819	0.1134	0.2169	0.0219	0.0317				0.1570	0.4339		0.1568			0.0030	0.0616	0.4660	0.0553	0.0048	0.1956	0.0359		0.0032		0.6182	0.1515	0.2867		0.3267		0.1877	0.1292		0.3175	0.2403		0.4868	0.4760	0.5907	0.3822			0.1126	0.5434	0.5319		0.0448		0.5376	0.2824	0.0180		0.4044	0.1258		0.1212	0.3967	0.2536	0.0891	0.5555				0.0766	0.0891		0.6752	0.1870	0.6216	0.4751	0.0692	0.0776		0.2484	0.0921	0.3876	0.3501	0.3902		0.5347	0.1587	0.1681	0.0551		0.4923	0.0562				0.0428	0.0336			0.0252	0.0506			0.0661		0.2464				0.0185	0.0485	0.1712	0.2976	0.0617	0.3734		0.5909	0.5029		0.3041	0.0945	0.0145	0.1728			0.0125		0.5069	0.4760	0.0978	0.0450	0.5469	0.2770	0.1820			0.4529	0.3775	0.0076		0.1686		0.0038				0.3130		0.3885	0.0251	0.2070					0.0395			0.0664	0.3011		0.0468		0.5513	0.0416
Sphaeroforma_arctica	0.0013	0.0571	0.1237	0.1111		0.1344	0.4650		0.0161		0.0057	0.4414	0.1740		0.0161			0.5052	0.0462		0.1546	0.3298	0.1659		0.1714	0.3796	0.0509	0.1717			0.0085	0.6509		0.0879		0.0616	0.3460	0.0553	0.0056		0.0231		0.1273	0.2473		0.1515	0.0253		0.1373	0.0567	0.1969		0.0144	0.2023		0.0018	0.0465	0.0279	0.1745		0.2064	0.1546		0.0473	0.1077	0.0313	0.3088		0.1329	0.1038				0.1028	0.0383	0.0339	0.0665		0.0933	0.0680	0.0783	0.2754	0.2663		0.1434	0.0226	0.1218	0.0199	0.2902	0.0946		0.0635	0.0206	0.1491		0.2858	0.1786		0.0577			0.2846	0.1514				0.2660	0.0077	0.0453	0.0296	0.0509		0.0908	0.0186	0.0604	0.0760		0.1952	0.2955	0.2380	0.2234	0.0944		0.0256			0.1295	0.0836	0.5350	0.1664	0.0036				0.2342	0.0145	0.0250	0.1017		0.0125		0.1276		0.0854	0.0095	0.0110	0.0098	0.2031	0.1786	0.3637	0.2067		0.2465						0.0011	0.3024	0.0823	0.2633	0.0830	0.0061	0.4327		0.0913		0.0250	0.1062	0.1247			0.0912	0.6184	0.1410	0.0405	0.1325	0.2097
Kirkpatrickia_variolosa	0.0298	0.0571	0.1250	0.1111	0.1721	0.1372	0.3571	0.0722	0.0285	0.0221	0.0210		0.2268	0.0872	0.0161	0.0453	0.0186	0.5558	0.0821	0.0918	0.1494	0.0374	0.1659	0.0696	0.0317	0.2042		0.0906	0.0674	0.0105	0.0012	0.2539	0.0795		0.0030	0.0678	0.0700		0.0056	0.1866	0.2013	0.0652	0.0244	0.2473	0.1203		0.0851	0.1042	0.0370	0.1793	0.0608	0.0607			0.1026	0.2032	0.0521	0.0595		0.1428	0.0226			0.0515	0.0817	0.2212	0.3187	0.0673	0.1387		0.0295	0.3181	0.4544	0.1984	0.0812	0.0499			0.0764	0.0680	0.0119		0.1670	0.0541	0.4180	0.0226	0.0114	0.1098	0.2902	0.0906	0.1036	0.0804	0.0832	0.0054		0.2317	0.1786		0.0577	0.0653	0.0684	0.0651	0.0971	0.0367	0.3027	0.0221	0.4744		0.0468	0.1715	0.0509	0.0481		0.0186	0.2337	0.0424	0.0350		0.0423	0.2464	0.0571		0.3595	0.0185	0.0182		0.1295	0.0836	0.0894	0.0156	0.1228	0.0791	0.2784	0.2641	0.0735	0.0145	0.0140		0.0378	0.0125	0.0884	0.1310	0.0985	0.1834	0.1567	0.0754	0.0176	0.1996	0.3980		0.2194	0.0080	0.1821					0.1194		0.2069	0.0775		0.1422	0.0251	0.1783	0.0449	0.0553	0.0383		0.0867	0.0804	0.4465	0.0566	0.0912	0.3265	0.1408		0.1681	0.1806
Vallicula_sp	0.0727	0.0276	0.0921		0.5186		0.5113			0.1407			0.6280		0.0161	0.0511	0.1542	0.1952		0.0587		0.0153			0.0317			0.0242			0.0012	0.5655		0.1092		0.0741						0.2864	0.0175	0.1733		0.0323	0.0723	0.6266		0.1272	0.1522	0.4308		0.2357	0.0216	0.1730	0.0590	0.4760		0.0511				0.0009	0.2462			0.6536	0.6012						0.1944	0.1426	0.0297	0.0565		0.3456		0.2533		0.0427		0.1395	0.1278	0.1063	0.5798	0.0189	0.1483		0.0159			0.5452			0.0595	0.0864	0.1152			0.1422	0.2307		0.0762	0.0205	0.0468	0.1649		0.0332		0.0186	0.0506	0.0424		0.1202	0.2005		0.2295				0.4100	0.3481	0.0516			0.0275		0.1921	0.5197	0.2118	0.0316	0.0307			0.0378	0.0025	0.1242	0.1793		0.5021			0.0176		0.5487	0.5248	0.1539			0.2148				0.0925		0.3956	0.2243		0.0309		0.1403		0.0382	0.0383		0.1207	0.1099	0.4946	0.0664			0.0802	0.3279	0.0653	0.1509
Salpingoeca_rosetta	0.0507	0.0274	0.1197	0.1085		0.1385	0.1284	0.0438	0.0408	0.1012	0.0057		0.1542	0.0726	0.0161	0.0333	0.0762	0.1868	0.0462	0.1553	0.1546	0.0679	0.1073	0.0598	0.0005	0.1671	0.0509	0.0906		0.0105	0.0085	0.2460		0.0143	0.0152	0.0616	0.0700	0.0553		0.2573	0.0231	0.0574		0.2511	0.1203	0.1482	0.0680		0.0236		0.1377	0.4308	0.0262	0.0519	0.1073	0.2251	0.0521		0.1706	0.0989	0.0990		0.0756	0.0515	0.3468	0.1727	0.1301	0.2076	0.1388	0.0831		0.2963		0.2009	0.0634	0.0018	0.0738	0.0191	0.0933	0.0680	0.0608			0.0257	0.1954		0.1218	0.0660	0.2887	0.0667	0.0833	0.0432	0.0206	0.1292	0.2883	0.2358	0.1772	0.1764	0.0577	0.0399	0.1252	0.0589	0.0264	0.0123	0.3027	0.0221	0.1321	0.0416	0.0336	0.1451	0.0509		0.1125	0.0165	0.0212	0.0424	0.0013		0.0147	0.1083	0.0571	0.2117	0.2436	0.0185	0.0430	0.1666	0.1295	0.0545	0.0938	0.0879	0.0782	0.1945	0.2746	0.2527	0.0945	0.0145		0.0419	0.0557	0.0125	0.1144	0.1276	0.0985	0.0272	0.2240	0.2207	0.0098	0.2208	0.0759	0.2394	0.1073	0.3268	0.3575	0.2895	0.1503	0.0891	0.0038		0.0164	0.1572			0.1217	0.0061	0.1939	0.1013	0.0913	0.0273		0.1353	0.1468	0.0940	0.0582	0.0912	0.1167	0.0413	0.0405	0.0335	0.2169
