	Metazoa_Choano_RCFV_strict.phy	Gene_0010	Gene_0026	Gene_0027	Gene_0030	Gene_0033	Gene_0034	Gene_0035	Gene_0066	Gene_0069	Gene_0076	Gene_0077	Gene_0088	Gene_0089	Gene_0101	Gene_0102	Gene_0113	Gene_0114	Gene_0121	Gene_0134	Gene_0145	Gene_0153	Gene_0164	Gene_0169	Gene_0174	Gene_0185	Gene_0191	Gene_0194	Gene_0200	Gene_0201	Gene_0202	Gene_0226	Gene_0236	Gene_0245	Gene_0251	Gene_0252	Gene_0260	Gene_0281	Gene_0295	Gene_0303	Gene_0317	Gene_0320	Gene_0328	Gene_0330	Gene_0334	Gene_0335	Gene_0337	Gene_0348	Gene_0349	Gene_0350	Gene_0351	Gene_0360	Gene_0376	Gene_0399	Gene_0406	Gene_0414	Gene_0420	Gene_0422	Gene_0424	Gene_0428	Gene_0435	Gene_0438	Gene_0441	Gene_0443	Gene_0445	Gene_0471	Gene_0478	Gene_0481	Gene_0483	Gene_0507	Gene_0509	Gene_0511	Gene_0518	Gene_0521	Gene_0531	Gene_0542	Gene_0544	Gene_0545	Gene_0557	Gene_0563	Gene_0575	Gene_0580	Gene_0581	Gene_0587	Gene_0596	Gene_0610	Gene_0658	Gene_0701	Gene_0703	Gene_0708	Gene_0714	Gene_0718	Gene_0723	Gene_0729	Gene_0731	Gene_0740	Gene_0771	Gene_0774	Gene_0784	Gene_0798	Gene_0809	Gene_0814	Gene_0831	Gene_0842	Gene_0843	Gene_0846	Gene_0857	Gene_0858	Gene_0873	Gene_0884	Gene_0893	Gene_0902	Gene_0906	Gene_0915	Gene_0934	Gene_0961	Gene_0980	Gene_0985	Gene_0986	Gene_0989	Gene_0992	Gene_0995	Gene_0997	Gene_1015	Gene_1018	Gene_1019	Gene_1023	Gene_1034
Spongilla_lacustris	0.1216	0.0675	0.0977	0.1373	0.1143		0.0880		0.1437	0.1150	0.0833			0.0603	0.1488		0.1288	0.1244		0.0684	0.0839	0.1529		0.1525		0.1209	0.0745		0.0963	0.0905			0.1291	0.1580	0.1225	0.0871	0.1538	0.1691	0.0786	0.1172	0.0898	0.1418	0.1037	0.1435	0.1534	0.1338	0.0526	0.1013	0.1140	0.1372	0.1477	0.1168	0.1507	0.0714	0.1105	0.1027	0.1204	0.1357	0.1603			0.1500			0.1775	0.1265	0.1096		0.0957				0.1550		0.1161	0.1152	0.0962	0.1299		0.0750	0.0967	0.1333	0.1391	0.1172		0.1779	0.1500	0.1217			0.1183	0.1039	0.0966		0.1303	0.1059	0.1221	0.1445	0.0337	0.1199	0.1927		0.1211		0.0960	0.1068	0.1131	0.0634	0.0640	0.1209	0.1404	0.1261			0.1228	0.1437	0.1785	0.0863	0.1124		0.1283	0.1050		0.0873			0.1279	0.1385
Acanthoeca_sp	0.1244	0.0506	0.1437	0.1408		0.1209	0.1289	0.1274	0.1852	0.1161		0.1119	0.1281	0.1200	0.1275	0.1532	0.1195	0.1188	0.1173	0.0690	0.0831	0.1762		0.1271	0.1373	0.1043	0.0833		0.1037	0.0909	0.1220	0.1260	0.1395	0.1450	0.1274	0.1376	0.1263	0.1383	0.0857	0.1117	0.0838	0.1386	0.1088	0.1351	0.1542	0.1263	0.1042	0.0920	0.1209	0.1284	0.1150	0.1406	0.1229	0.0526	0.1050	0.0978	0.1160	0.1503	0.1319	0.1137	0.1573		0.1693	0.1084	0.1657	0.1143		0.1407	0.1064	0.0994	0.0405	0.1020	0.1676	0.1140	0.1367	0.1106	0.1186	0.1354	0.0733	0.1379	0.1071	0.1312	0.1391	0.1325	0.1073	0.1438	0.1582	0.1192	0.1272		0.1560	0.1039	0.1317	0.1333	0.1408	0.1294	0.1353	0.1335	0.0215	0.1308	0.1726	0.1357	0.1321	0.0387	0.0873	0.0989	0.1297	0.0587		0.0970	0.1325	0.1375	0.1403	0.2163	0.1096	0.1590	0.2140	0.0863	0.1299	0.1484	0.1237	0.1212	0.1060	0.0974	0.1222	0.1332	0.1232	0.1070
Mycale_phylophylla	0.1239	0.0591	0.1520	0.1303					0.1720		0.1070	0.1153	0.1273	0.1193	0.1222	0.1150	0.1650			0.0769	0.1337	0.1491	0.1237	0.1481	0.1420	0.1161	0.0802	0.1140	0.1037		0.1187	0.1142	0.1395	0.1534		0.1202	0.1155	0.1633	0.0714	0.1147	0.0898	0.1119		0.1418	0.1776	0.1479		0.1019	0.1140	0.1171	0.1154		0.1414	0.0718	0.1124	0.0556	0.1210	0.1360	0.1303		0.1469	0.1260	0.1289	0.1133	0.1716	0.1429	0.1178	0.1455	0.1064	0.1242	0.0368	0.0945	0.1572	0.1170	0.0994	0.1152		0.1667	0.0714	0.1307	0.0964	0.1246	0.1523	0.0970	0.1088	0.1472	0.1392	0.1189	0.1364	0.0778		0.0974				0.1176	0.1284	0.1410		0.1606	0.1853	0.1498	0.1255	0.0219	0.0880		0.1310	0.0550		0.1078	0.1454	0.1232	0.1277	0.2021	0.1096	0.0866	0.1788	0.0791	0.1017	0.1536	0.1257	0.0891	0.0696	0.0861	0.1571	0.0957	0.1360	0.1541
Physalia_physalia	0.1240	0.0675	0.1406	0.1447	0.1223				0.1809		0.1111	0.1015		0.1131		0.1620	0.1211	0.1436	0.1062	0.0690		0.1897	0.1304	0.1367		0.1187	0.0755		0.0980	0.0324	0.1050	0.1066	0.1180	0.1471		0.1011	0.1458	0.1627	0.0786	0.1226	0.0659	0.1343		0.1293		0.1338	0.0833		0.1157	0.1253	0.1180		0.1016	0.0957	0.1060	0.1047			0.1255	0.1055	0.1434	0.1342	0.1559	0.1084	0.1657	0.1565	0.0825	0.1491	0.1277	0.1032	0.0455	0.0984	0.1463	0.1183	0.1420	0.1060	0.1365		0.0946		0.1041	0.1200	0.1453	0.1223	0.1355	0.1472	0.1456	0.1216	0.1273	0.0714	0.1381	0.1169	0.1194	0.1091	0.1198	0.1216	0.1411	0.1412	0.0430	0.1282	0.2081	0.1498	0.1174	0.0328	0.1040	0.1063	0.1487	0.0625	0.0550		0.1378	0.1284		0.2168	0.1184	0.1016	0.1918	0.0863	0.1180	0.1698	0.1178	0.0950	0.0737	0.1082	0.1346		0.1396	0.1364
Homo_sapiens	0.1209	0.0675	0.1194	0.1239	0.1116	0.1091	0.1176	0.1186	0.1675	0.1182	0.1152	0.1186	0.1265	0.1070	0.1381	0.1449	0.1318	0.1336	0.0951	0.0684	0.0691	0.1861	0.1436	0.1489	0.1205	0.1137	0.0688	0.1068	0.0963	0.0699	0.1576	0.1102	0.1374	0.1537	0.1217	0.1244	0.1312	0.1544	0.0857	0.1097	0.0898	0.1157	0.1044	0.1349	0.1762	0.1373	0.0902	0.1113	0.1082	0.1171	0.1213	0.1215	0.1364	0.0813	0.1117	0.0924	0.1122	0.1518	0.1292	0.1193	0.1329	0.1335	0.1381	0.1225	0.1598	0.1429	0.0965	0.1387	0.1064	0.1013	0.0423	0.0984	0.1436	0.1140	0.1256	0.1152	0.1153	0.1352	0.0831	0.1174	0.1041	0.1229	0.1457	0.1212	0.1139	0.1718	0.1835	0.1192	0.1534	0.0792	0.1351	0.1104	0.1266	0.1333	0.1514	0.1059	0.1302	0.1421	0.0222	0.1148	0.1929	0.1404	0.1321	0.0383	0.0960	0.0930	0.1242	0.0659	0.0470	0.0972	0.1432	0.1293	0.1304	0.2098	0.1140	0.1621	0.1880	0.0791	0.1130	0.1516	0.1152	0.1200	0.1042	0.0938	0.1198	0.1147	0.1478	0.1245
Amphimedon_queenslandica	0.1232	0.0591	0.1333	0.1366	0.0916	0.1141	0.1332	0.1216	0.1746	0.1150	0.1297	0.1186	0.1169	0.1130	0.1381	0.1272	0.1146	0.1626		0.0690	0.0691	0.1741	0.1158	0.1543	0.1384	0.1280	0.0750	0.0971	0.1037	0.1031	0.1759	0.1181	0.1277	0.1576	0.1150	0.1202	0.1387	0.1617	0.0800	0.1272	0.0838	0.1306	0.1137	0.1292	0.1788	0.1444	0.0959		0.1199	0.1194	0.1152	0.1267	0.1364	0.0667	0.1006	0.0919	0.1267	0.1467	0.1250	0.1070	0.1496		0.1490	0.1373	0.1765	0.1422	0.1096	0.1491	0.1192	0.1013	0.0396	0.1024	0.1436	0.1129	0.1461	0.1152	0.0997		0.0811	0.1340	0.1057	0.1229	0.1369		0.1163	0.1595	0.1646	0.1158	0.1507	0.0792	0.1469	0.0974	0.1058	0.1463	0.1303		0.1383	0.1385	0.0222	0.1190	0.2005	0.1549	0.1220	0.0273	0.0960	0.1156	0.1347	0.0610	0.0395	0.1161	0.1429	0.1289	0.1304	0.2091	0.1053	0.1521	0.1744	0.0719	0.1000	0.1497	0.1263	0.1371	0.0758	0.0816	0.1250		0.1309	0.1196
Hydra_oligactis	0.1266	0.0675		0.1366			0.0660		0.1858		0.1193	0.1119		0.1162			0.1122			0.0862	0.0837	0.1681	0.1224	0.1270	0.1287	0.1347	0.0818		0.0963		0.1104	0.0971	0.1311	0.1462					0.0714		0.1212	0.1418			0.1837	0.1373		0.1079	0.1287	0.1149	0.1313	0.1203	0.1333	0.1136	0.1180	0.0952			0.1213			0.1196	0.1726		0.1657		0.1126	0.1418	0.1019		0.0553	0.0984	0.1436		0.1326	0.1060					0.1142		0.1362			0.1429	0.1582	0.1107	0.1420					0.1303		0.1216	0.1347	0.1491	0.0323		0.2056	0.1400	0.0981	0.0273						0.1288	0.1443	0.1232		0.2098	0.0921	0.0696		0.0863	0.1186						0.1040		0.1348	
Rossella_fibulata	0.1178	0.0506	0.1446	0.1303	0.1138		0.1194		0.1818		0.0947	0.1254	0.1262	0.1277	0.1042	0.1148	0.1085		0.1143	0.0614	0.0566	0.1545	0.1436	0.1243		0.1202	0.0833	0.0836		0.0696	0.0985	0.1142	0.1353	0.1471	0.1159	0.1011	0.1471	0.2208	0.0857	0.1106		0.0896	0.0940	0.1162	0.1400	0.1237		0.1059	0.1176	0.1174	0.1180		0.1414	0.0825	0.1229	0.1027	0.1269	0.1559	0.1297	0.1129		0.1212	0.1146	0.1127	0.1657	0.1506	0.1099	0.1341	0.0904		0.0363	0.1063	0.1436					0.1219	0.0794	0.1273	0.1099		0.1333	0.1230	0.1278	0.1384	0.1646	0.1169	0.1364	0.0852	0.1235		0.1111	0.1098	0.1372	0.1036	0.1389	0.1398	0.0222	0.1224	0.1827	0.1453	0.1024	0.0219	0.1032	0.0951	0.1656	0.0662	0.0394	0.1153	0.1357	0.1203	0.1304	0.2070	0.1053	0.1314	0.1667	0.0719	0.1067	0.1667	0.1126	0.0800	0.1064	0.0987	0.1146	0.1203	0.1432	
Kirkpatrickia_variolosa	0.1199	0.0591		0.1408		0.1103			0.1784	0.1169	0.1440	0.1182	0.1235	0.1265	0.1335	0.1143	0.1254			0.0769	0.0737	0.1685		0.1517	0.1298	0.1161	0.0679	0.1054	0.1037	0.0866	0.1595	0.0984	0.1332	0.1513	0.1180	0.1223	0.1155	0.1604	0.0714	0.1172	0.0838	0.1015		0.1439	0.1762	0.1338		0.1113	0.1140	0.1149	0.1150		0.1212	0.0794	0.1117	0.0870	0.1143	0.1397	0.1387	0.0756		0.1294	0.1333	0.1182	0.1687	0.1347	0.1073	0.1346	0.1011	0.1032		0.0984	0.1653	0.1228	0.1274	0.1050			0.0815		0.0964	0.1231	0.1457		0.1046	0.1382	0.1646	0.1117	0.1193	0.0793	0.1239	0.0974	0.1033	0.1380		0.1216	0.1326	0.1467	0.0222		0.1617		0.1211	0.0222	0.0794	0.1209	0.1374	0.0610	0.0422	0.1012	0.1385	0.1289	0.1318	0.2074	0.1009	0.1407	0.1821	0.0791	0.1011	0.1477	0.1204	0.1053	0.1040	0.0894	0.1233	0.1168	0.1358	0.1167
Agalma_elegans	0.1238			0.1450	0.1088	0.1177	0.1179		0.1755		0.1276	0.1051	0.1240	0.1223	0.1245	0.1578	0.1224	0.1069	0.0993	0.0690	0.1065	0.2026	0.1436	0.1323	0.1571	0.1469	0.0696	0.1161	0.0963	0.0697	0.1212	0.1063	0.1290	0.1437	0.1364	0.1000	0.1581	0.1715	0.0901	0.1185	0.0541	0.1224	0.1387	0.1411	0.1333	0.1408	0.0971	0.1170	0.1228	0.1253	0.1164	0.1273	0.1162	0.0909	0.1180	0.1031	0.1407	0.1493	0.1255	0.0776	0.1469		0.1351	0.1095	0.1598	0.1469	0.1349	0.1309	0.1233	0.1092	0.0514	0.0984	0.1642	0.1134	0.1419	0.0978			0.0880	0.1107	0.1111	0.1143	0.1360	0.1285	0.1164	0.1472	0.1519	0.1146	0.1364	0.0790	0.1377	0.1169	0.1168	0.1339	0.1303	0.1255	0.1433	0.1547		0.1216		0.1429		0.0328	0.0952	0.1014	0.1217	0.0633	0.0539	0.1058	0.0952	0.1117	0.1364	0.2343	0.1140	0.1534	0.2063	0.0863	0.1069	0.1597	0.1178	0.0955	0.1036	0.1026	0.1294	0.1657	0.1361	
