gene_id	tree_supported	tr1_log-likelihood	tr2_log-likelihood	tr3_log-likelihood
Gene_0007	tr2	-8193.210622	-8191.526944	-8193.026282
Gene_0016	tr2	-32966.769389	-32966.648848	-32970.272965
Gene_0020	tr2	-26273.482518	-26265.420285	-26270.949961
Gene_0037	tr2	-21736.986645	-21728.343497	-21735.748664
Gene_0044	tr2	-3094.770166	-3092.414968	-3095.254902
Gene_0045	tr2	-10249.952191	-10248.167759	-10248.817901
Gene_0053	tr1	-1854.556916	-1854.572203	-1854.988074
Gene_0058	tr2	-3326.476102	-3326.002668	-3326.263663
Gene_0062	tr2	-4483.43392	-4482.835488	-4483.500655
Gene_0063	tr3	-6818.659549	-6818.648978	-6818.513816
Gene_0064	tr2	-6547.157242	-6545.307152	-6547.627836
Gene_0066	tr1	-10104.420802	-10108.969654	-10106.591823
Gene_0068	tr1	-11885.009514	-11887.263825	-11887.307857
Gene_0070	tr2	-5683.329778	-5681.916948	-5683.04670399999
Gene_0073	tr2	-17762.093433	-17753.212153	-17761.784428
Gene_0076	tr1	-12299.792368	-12301.157948	-12300.287982
Gene_0084	tr1	-9215.27611299999	-9216.084193	-9215.534231
Gene_0086	tr2	-12274.760305	-12270.021582	-12276.335708
Gene_0088	tr1	-10240.445347	-10245.439515	-10245.63274
Gene_0090	tr2	-7228.247026	-7227.288085	-7228.547157
Gene_0098	tr3	-19154.433377	-19159.669669	-19153.984627
Gene_0105	tr2	-7665.267471	-7663.794718	-7665.510237
Gene_0120	tr1	-8692.447383	-8693.39568199999	-8692.481129
Gene_0123	tr2	-6076.458145	-6075.807376	-6076.472189
Gene_0128	tr2	-1732.096045	-1731.637359	-1732.108276
Gene_0129	tr3	-4450.068879	-4449.968208	-4448.963145
Gene_0135	tr2	-15380.847484	-15374.642493	-15381.699562
Gene_0140	tr1	-8471.568924	-8472.968496	-8473.203264
Gene_0141	tr2	-3049.94185	-3049.118759	-3050.215814
Gene_0143	tr2	-12637.638599	-12634.931762	-12637.398764
Gene_0144	tr2	-5953.639097	-5953.382657	-5953.510664
Gene_0146	tr1	-5929.361076	-5931.233032	-5931.579568
Gene_0152	tr3	-5373.784934	-5374.804273	-5373.358688
Gene_0156	tr2	-9029.638542	-9029.076708	-9029.938418
Gene_0158	tr2	-6536.197175	-6535.778439	-6536.519993
Gene_0169	tr2	-6843.182345	-6841.226931	-6842.991978
Gene_0171	tr2	-8778.344279	-8777.609168	-8778.962934
Gene_0177	tr2	-16846.86148	-16845.780588	-16846.468519
Gene_0180	tr2	-11596.336261	-11595.626856	-11598.699686
Gene_0181	tr3	-14311.603102	-14312.14469	-14310.952069
Gene_0208	tr2	-10356.678798	-10351.24477	-10357.55346
Gene_0251	tr2	-21460.784151	-21452.294581	-21459.13848
Gene_0253	tr2	-7975.091275	-7973.413355	-7975.774563
Gene_0257	tr1	-18571.387333	-18571.529532	-18571.738186
Gene_0268	tr3	-8171.8147	-8173.300755	-8171.090079
Gene_0272	tr1	-10412.111657	-10412.372095	-10412.793077
Gene_0277	tr1	-3288.354785	-3288.379785	-3288.841776
Gene_0278	tr2	-23872.326918	-23870.193477	-23871.773078
Gene_0289	tr3	-23367.315561	-23367.922885	-23366.870563
Gene_0305	tr2	-9475.12537	-9472.662776	-9475.788748
Gene_0311	tr3	-9717.08284199999	-9716.25855399999	-9716.079011
Gene_0314	tr2	-17867.809755	-17864.356047	-17866.807703
Gene_0315	tr2	-15382.197037	-15378.61896	-15384.21244
Gene_0319	tr2	-7876.993067	-7872.896305	-7876.998189
Gene_0327	tr2	-8348.802374	-8348.007682	-8348.776251
Gene_0328	tr3	-13083.274121	-13086.382212	-13083.221155
Gene_0340	tr2	-12184.56771	-12180.06837	-12186.231704
Gene_0346	tr2	-11892.630996	-11887.614323	-11891.633043
Gene_0348	tr2	-24674.430412	-24670.591428	-24673.036584
Gene_0372	tr1	-11176.472691	-11176.572275	-11176.480828
Gene_0379	tr2	-18415.285631	-18413.268453	-18414.947868
