gene_id	tree_supported	tr1_log-likelihood	tr2_log-likelihood	tr3_log-likelihood
100_mra1	tr1	-8246.694481	-8249.582234	-8249.051161
101_tribe801	tr2	-3353.274122	-3352.811829	-3354.349125
102_psmb	tr1	-11996.950481	-12002.302499	-12003.275611
103_topo1	tr2	-26444.554003	-26440.350405	-26443.146882
104_rpl13	tr3	-9526.787631	-9526.138223	-9525.232235
105_rpl23a	tr2	-4034.850939	-4033.386637	-4037.295604
106_tribe717	tr1	-5646.720052	-5648.139343	-5648.225664
107_psma	tr1	-12497.465038	-12502.354398	-12502.076576
108_tribe1381	tr1	-13246.544051	-13255.904854	-13255.604818
109_dihydrolatransacylase	tr1	-14871.187321	-14876.555067	-14876.443064
10_tribe1374	tr1	-6952.99694199999	-6956.728184	-6959.353092
110_tribe508	tr1	-12114.993795	-12117.193474	-12117.153407
111_rps13a	tr1	-4817.248548	-4820.719198	-4820.297998
112_nsf2	tr3	-21926.062111	-21926.371019	-21926.051164
113_rps23	tr1	-3467.192976	-3470.178953	-3470.123722
114_rps6	tr1	-10633.17977	-10633.697085	-10633.386997
115_arc20	tr2	-5530.220455	-5527.712132	-5528.686122
116_fibri	tr1	-6500.747684	-6501.652888	-6500.82257899999
117_vatb	tr1	-9688.76213199999	-9690.49129700002	-9689.651227
118_psma	tr3	-11921.625385	-11920.627142	-11918.206397
119_rpo	tr1	-52398.537791	-52402.494524	-52408.8514199999
11_pace5	tr1	-11035.763038	-11038.546796	-11038.124084
120_rpl2	tr1	-9888.94766299999	-9891.26893099999	-9891.763631
121_stcproptase2a	tr1	-8990.157652	-8994.752216	-8996.543169
122_rpl7	tr3	-11894.406681	-11895.268806	-11892.750191
123_cpn60	tr1	-24593.510012	-24594.800892	-24596.83827
124_orf2	tr2	-7777.977172	-7776.74627000001	-7780.905407
125_rps17	tr3	-3235.749223	-3235.720523	-3234.404029
126_nsf1	tr1	-18576.332298	-18578.281134	-18579.49241
127_rpl25	tr1	-5875.1778	-5876.311052	-5876.235008
128_tribe542	tr2	-4062.959254	-4062.359832	-4062.378602
129_hsp90	tr1	-30322.338599	-30327.3691490001	-30331.060875
12_tribe961	tr1	-4903.584891	-4907.387693	-4907.323875
130_nsf1	tr3	-7908.93411800001	-7908.675539	-7907.22154799999
131_psmb	tr1	-10486.463193	-10487.179091	-10487.313185
132_ar21	tr1	-8177.866342	-8179.282483	-8179.86964
133_psma	tr3	-9368.241218	-9365.658241	-9364.25768500001
134_rpl30	tr2	-3207.218678	-3206.130706	-3206.614428
135_rpl4B	tr1	-15084.653534	-15086.522211	-15086.442125
136_psma	tr1	-7041.517326	-7043.190429	-7043.545979
137_pyrdehydroe1b	tr1	-16468.373255	-16472.67896	-16473.970705
138_rpl11b	tr1	-6078.977987	-6079.420373	-6079.214926
139_rf1	tr1	-11636.599235	-11638.736944	-11639.70433
13_rpl27	tr1	-5957.131123	-5959.182873	-5958.11786599999
140_tribe852	tr3	-6665.863913	-6665.094596	-6664.699286
141_rps1	tr1	-10346.74298	-10349.570042	-10351.526491
142_rps19	tr1	-8541.699321	-8549.672948	-8549.810461
143_pyrdehydroe1b	tr3	-14896.891868	-14897.613879	-14896.794896
144_ef1	tr3	-14564.872516	-14565.917252	-14563.011371
