	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned.phy	Gene_0007	Gene_0016	Gene_0017	Gene_0020	Gene_0030	Gene_0035	Gene_0037	Gene_0041	Gene_0044	Gene_0045	Gene_0051	Gene_0053	Gene_0058	Gene_0059	Gene_0062	Gene_0063	Gene_0064	Gene_0066	Gene_0068	Gene_0070	Gene_0073	Gene_0076	Gene_0084	Gene_0086	Gene_0088	Gene_0090	Gene_0092	Gene_0094	Gene_0098	Gene_0101	Gene_0105	Gene_0120	Gene_0121	Gene_0123	Gene_0128	Gene_0129	Gene_0131	Gene_0135	Gene_0140	Gene_0141	Gene_0143	Gene_0144	Gene_0146	Gene_0152	Gene_0156	Gene_0157	Gene_0158	Gene_0169	Gene_0171	Gene_0177	Gene_0178	Gene_0180	Gene_0181	Gene_0208	Gene_0251	Gene_0253	Gene_0257	Gene_0268	Gene_0270	Gene_0272	Gene_0277	Gene_0278	Gene_0281	Gene_0289	Gene_0305	Gene_0311	Gene_0314	Gene_0315	Gene_0319	Gene_0327	Gene_0328	Gene_0340	Gene_0346	Gene_0348	Gene_0352	Gene_0363	Gene_0366	Gene_0372	Gene_0379	Gene_0380	Gene_0384	Gene_0390	Gene_0394	Gene_0395	Gene_0401	Gene_0407	Gene_0408	Gene_0411	Gene_0412	Gene_0414	Gene_0415	Gene_0443	Gene_0446	Gene_0448	Gene_0450	Gene_0455	Gene_0457	Gene_0470	Gene_0484	Gene_0487	Gene_0498	Gene_0503	Gene_0511	Gene_0513	Gene_0519	Gene_0524	Gene_0529	Gene_0536	Gene_0541	Gene_0542	Gene_0548	Gene_0557	Gene_0563	Gene_0565	Gene_0568	Gene_0576	Gene_0601	Gene_0604	Gene_0608	Gene_0614	Gene_0615	Gene_0622	Gene_0623	Gene_0624	Gene_0625	Gene_0626	Gene_0628	Gene_0629	Gene_0631	Gene_0639	Gene_0641	Gene_0644	Gene_0645	Gene_0651	Gene_0652	Gene_0654	Gene_0657	Gene_0658	Gene_0661	Gene_0664	Gene_0667	Gene_0668	Gene_0674	Gene_0677	Gene_0678	Gene_0681	Gene_0687	Gene_0690	Gene_0691	Gene_0695	Gene_0696	Gene_0703	Gene_0709	Gene_0727	Gene_0741	Gene_0745	Gene_0766	Gene_0773	Gene_0775	Gene_0786	Gene_0787	Gene_0793	Gene_0802	Gene_0806	Gene_0807	Gene_0808	Gene_0813	Gene_0819	Gene_0822	Gene_0834	Gene_0835	Gene_0843	Gene_0848	Gene_0857	Gene_0863	Gene_0873	Gene_0874	Gene_0891	Gene_0894	Gene_0895	Gene_0896	Gene_0904	Gene_0909	Gene_0910	Gene_0911	Gene_0912	Gene_0917	Gene_0920	Gene_0921	Gene_0925	Gene_0927	Gene_0930	Gene_0933	Gene_0941	Gene_0942	Gene_0945	Gene_0947	Gene_0950	Gene_0951	Gene_0958	Gene_0963	Gene_0964	Gene_0966	Gene_0969	Gene_0974	Gene_0975	Gene_0983	Gene_0989	Gene_1021	Gene_1033
Danio_rerio	0.3682	0.3136	0.3994	0.2953	0.3752	0.3881	0.3673		0.4104		0.3256	0.3841		0.4568	0.2607	0.3942	0.2955	0.3537	0.2895	0.3460	0.3767	0.3925	0.3613	0.4854	0.3438	0.3586	0.4219	0.3850	0.3225	0.3483	0.3146	0.3770	0.4262	0.3714	0.3333	0.3704	0.3981	0.3770	0.4941	0.3869	0.2750	0.3812	0.3790	0.3150	0.3298	0.3727	0.3015	0.3464	0.3386	0.3034	0.4953	0.3565	0.3398	0.3344	0.3248	0.3534	0.3030	0.3613	0.2262	0.3802	0.2874	0.1829	0.3926	0.2899	0.4404	0.4056	0.3867	0.3366	0.2815	0.3893	0.3591	0.3395	0.3418	0.4221	0.4004	0.4235	0.3724	0.3490	0.3465	0.3538	0.3828	0.3472	0.5649	0.3209	0.3403	0.4000	0.3571	0.4896	0.3850	0.3630	0.3478	0.3818	0.3704	0.3719	0.4134	0.4777	0.4343	0.3482	0.3029	0.3856	0.3478	0.3538	0.3480	0.3984	0.3582	0.3790	0.3437	0.3454	0.3599	0.3051	0.3396	0.3189	0.3960	0.3424	0.3231	0.4300	0.3333	0.3492	0.5236	0.4316	0.3284	0.4101	0.3333	0.4402	0.4098		0.3210	0.4056	0.3411	0.4746	0.3448	0.4013	0.4338	0.3130	0.4031	0.3279	0.3097	0.3069	0.3709	0.3386	0.4270	0.3739	0.3291	0.3640	0.3787	0.3789	0.3550	0.3723	0.2857	0.3573	0.3628	0.3516	0.3256	0.2851	0.3506	0.3459	0.3625	0.3577	0.3557	0.3537	0.3239	0.3500	0.3793	0.3229	0.2818	0.2800	0.3127	0.3619	0.3883	0.4025	0.4235	0.4292	0.3643	0.3460	0.3675	0.5305	0.5091	0.3661	0.3634	0.3636	0.4522	0.3573	0.3420	0.3721	0.2651	0.4947	0.4478	0.3032	0.3846	0.3187	0.4107	0.2672	0.4110	0.4175	0.3821	0.3633	0.3813	0.3591	0.5469	0.3220	0.3640	0.3886	0.3443	0.3260	0.3587	0.3315	0.3579	0.4071	0.3422	0.3653	0.3516
Petrosia_ficiformis	0.3679	0.2797	0.3908		0.3623	0.3381	0.2843		0.4375	0.2625		0.3978	0.2933			0.3740	0.2857	0.3806	0.2912			0.3574	0.3289		0.3477	0.3717	0.4062		0.4330	0.3623			0.4098		0.3409	0.4074		0.3517	0.5059	0.4110		0.4250	0.3500	0.2674	0.2872		0.2873	0.3203	0.3362	0.3478	0.4138			0.3278	0.2736	0.3657			0.2396	0.3241		0.1707			0.4317	0.4000	0.3825			0.3932	0.3591	0.3653	0.3506	0.4058	0.3859				0.3646	0.3017	0.4196		0.5208	0.3660		0.3780	0.2976	0.5283	0.4130	0.3571		0.3750			0.3933	0.5424	0.4463				0.3131			0.3723		0.3681	0.3103	0.3414	0.3389	0.3230		0.3457	0.3938		0.3367	0.4398	0.2877		0.4551		0.3178	0.4156	0.3981	0.4728		0.2953		0.5593	0.3987		0.3605				0.4904	0.3060		0.2673	0.3709	0.3534				0.3041	0.3509	0.3665	0.3518				0.3455	0.3750	0.3188	0.2851	0.3448	0.3545	0.3656	0.3571		0.3732	0.4225	0.3000			0.2564	0.2923			0.3723	0.4286	0.4031	0.4292	0.3488		0.3874	0.4750		0.3936		0.3791	0.4328	0.3360	0.3626	0.3563		0.4712			0.4000	0.3289	0.3750	0.2410	0.3984	0.4205	0.3185	0.3500					0.3878	0.4356	0.2951	0.3204		0.3741	0.4286	0.4157	0.3399		
Lithobius_forficatus	0.3680	0.3178	0.3862	0.3316	0.3313	0.4364	0.3508	0.3449	0.4743		0.3333	0.4105	0.2933	0.4815	0.3064	0.4234	0.3106	0.3780	0.3077		0.3724		0.3457	0.4795		0.3783	0.4219	0.3944	0.4215	0.3667	0.3146	0.4062	0.3772	0.3659	0.3077		0.3786	0.3365	0.4862	0.3431		0.3899	0.3710	0.3173	0.2872	0.3739	0.3529	0.3701	0.3194	0.2897		0.3621	0.3359	0.3510	0.3291	0.3439	0.2812	0.3871		0.3631	0.2849	0.1882		0.3575	0.4793	0.4056	0.3661	0.3542	0.2857	0.3708	0.3659	0.3137	0.3797	0.4161	0.3788	0.4185	0.4128	0.2703	0.3564	0.3597	0.3866	0.4104	0.4968	0.3718	0.3417	0.3883	0.3270	0.5045	0.3904	0.3704	0.3224	0.4088	0.3642	0.3793	0.3621		0.4481	0.3432	0.3140		0.3579	0.3659	0.3651	0.4064	0.3820	0.3573	0.3452	0.2797	0.3599	0.3090	0.3349	0.3225	0.3976	0.3605	0.3273	0.4252	0.2933	0.3922		0.4255	0.3356	0.4526	0.3457	0.4946	0.4262		0.3072	0.4615	0.3796	0.4746	0.3218	0.3750	0.4272	0.2870	0.4000	0.3407	0.3451	0.2871	0.3576	0.3542	0.4831		0.3221	0.3562	0.3905	0.4267	0.3377	0.2941	0.2786	0.3795	0.3410	0.3891	0.3314	0.3246	0.3884	0.4062		0.3462	0.3405	0.2602	0.3730	0.3833	0.3908	0.3133	0.2727	0.2900	0.3355	0.4194	0.3457	0.4088	0.4133	0.4267	0.3594	0.3412		0.4786		0.3592	0.3747	0.3615	0.4580	0.3197	0.3589	0.3493	0.3012	0.4660		0.3710	0.4000	0.3250	0.3810	0.3211	0.4183	0.3524	0.3473		0.4404	0.4129	0.4586	0.3220	0.3580	0.3896	0.3115	0.3655	0.3696		0.3511	0.3822			
Aphrocallistes_vastus	0.3666	0.3475	0.3689	0.3178	0.3779	0.3624	0.3526	0.3301	0.4528	0.2785	0.3070		0.2603	0.4815	0.2867	0.3796	0.2879	0.4024	0.2895	0.3605	0.3425	0.3649	0.3455	0.4971	0.3438	0.3717	0.4062		0.3746	0.3750	0.3093		0.4474	0.3563	0.3333	0.4259	0.4563	0.3254	0.5020		0.2750	0.3875	0.3740	0.2992	0.2979	0.3460	0.3100		0.3197	0.3172	0.4766		0.3731	0.3571	0.3290	0.3517	0.3492	0.3935	0.2153	0.3578	0.2917	0.2073	0.4011	0.2878	0.3924	0.4167	0.3923		0.2696	0.3488	0.3682	0.4045	0.3390	0.3701	0.3677	0.4420		0.2816		0.3489		0.3611	0.5097	0.3333	0.3109	0.4048	0.3208	0.4896	0.3859		0.3315		0.4012	0.3531	0.3902		0.4815	0.3974		0.3869	0.3707	0.3773	0.3288	0.4064	0.3528	0.3596	0.3224	0.3525	0.3527	0.3230	0.3460	0.3271	0.4003	0.3388	0.3310	0.4224	0.3533	0.3543		0.3617	0.3333	0.3843	0.3681	0.5217	0.4417	0.3567	0.3373	0.4697	0.3731		0.3885	0.3533		0.3304	0.4133	0.2878	0.4286	0.2841	0.3642	0.3604	0.4607	0.3559	0.3481	0.3974	0.3841	0.4074	0.3289	0.3908	0.3050	0.3736	0.3630	0.3699	0.3081	0.2544	0.3550		0.3808	0.3635	0.3530			0.3500	0.3448	0.3051	0.2818	0.2700	0.3420	0.4350	0.3617	0.3986	0.3854	0.4353	0.3281	0.3270	0.3392	0.4714	0.5273	0.3553	0.3679	0.3446		0.4072	0.3455	0.3605	0.4058	0.4660	0.4265		0.4308	0.2625	0.3988		0.4019	0.3981	0.3571	0.3813	0.3929	0.3408	0.5042	0.3317	0.3636	0.4187	0.3607	0.2928		0.3216	0.4235	0.3855	0.3476	0.3739	
Craseoa_lathetica	0.3625	0.3216		0.3127	0.3659		0.3564		0.4104	0.3038	0.2914		0.3014	0.4568	0.1810	0.3723	0.2803	0.3902	0.3105	0.3388	0.3418	0.3103	0.4225	0.4620	0.3594	0.3783	0.4062	0.4038		0.3646	0.3143	0.3440	0.3607	0.3422	0.3247	0.3889	0.3981	0.3591	0.4980	0.3774	0.2375	0.3563	0.2984	0.3071	0.2766	0.3353	0.2639		0.3000	0.3034			0.3333	0.3765	0.3677		0.3130		0.2308		0.3333	0.1882	0.3977	0.2802	0.4136	0.4111	0.3607	0.3590	0.2599	0.4375	0.3642		0.3502	0.3763	0.3810		0.3586	0.3354	0.3762	0.2931	0.4056		0.5211	0.3511	0.3944	0.4533	0.3529	0.4167	0.4118	0.3407	0.3533	0.3620	0.3548	0.3571	0.3596	0.4720		0.3627	0.2952	0.3652	0.3401			0.4229	0.3862	0.3333	0.3406	0.3544	0.3547	0.3377	0.3396	0.3397		0.3553	0.3422	0.4173	0.3268	0.3228		0.4194	0.3441	0.3548	0.3642		0.4016	0.2679	0.2952	0.4825	0.3796	0.4576	0.3038	0.3618	0.4082	0.3455	0.3644	0.3333	0.2807	0.2828	0.3704	0.3505		0.3444	0.3358	0.3571	0.4320			0.4538	0.2872		0.3333	0.3977	0.2965	0.2675	0.3506	0.3694	0.3808	0.3333	0.3235	0.3460	0.4087	0.3500	0.3231	0.2963			0.3346	0.3828	0.2674	0.4138	0.3571	0.4323	0.3047	0.3412	0.3852	0.5018	0.5377	0.3839	0.3514	0.3768	0.4714		0.3228		0.3000	0.4974		0.3386	0.4077	0.3607	0.3929	0.3654	0.3973	0.4316		0.3220	0.4388	0.3458	0.5194	0.2414	0.3558		0.2705	0.3315		0.3167	0.4105	0.3820	0.3489	0.3651	0.3969
Tethya_wilhelma	0.3385	0.2723							0.5050	0.2250			0.3067	0.5062		0.3697	0.2727				0.3517						0.3966								0.2063	0.3704	0.4272			0.3869	0.2875	0.4286		0.3386	0.2842			0.3595	0.2835	0.2639		0.3404	0.2650						0.2759		0.1798	0.2000				0.4222							0.3393			0.3436											0.2833						0.3519															0.3818		0.3154	0.3396														0.4318		0.3012				0.3732			0.3699			0.3363		0.3642							0.3975			0.2929														0.3448		0.2727	0.2500				0.4156			0.3488	0.3175											0.3253	0.4384	0.4478	0.3662		0.3607	0.3393						0.3600		0.4729				0.2869	0.2577							
Sympagella_nux	0.3660	0.3432	0.3737	0.3204	0.3946	0.3367	0.3471	0.3404	0.4795	0.3077	0.2757		0.2667	0.5062	0.2876	0.3650	0.2955	0.3902	0.3085	0.3249	0.3425	0.3729	0.3665	0.5205	0.3532	0.3651	0.4062		0.3544	0.3333	0.3286		0.4298	0.3578	0.3141	0.4444	0.4466	0.3393	0.4960		0.2963	0.3812	0.3659	0.2835	0.2947	0.3702			0.3279	0.3169	0.5031		0.3629	0.3424	0.2944	0.3397	0.3125	0.3816	0.2270	0.3762	0.2754	0.2073	0.4436	0.2683	0.4208	0.4222	0.3702		0.2718	0.3385	0.3653	0.3835	0.3432		0.3737	0.4370		0.3278	0.3377	0.3453		0.3194	0.5426	0.3563	0.2974	0.3854	0.2956	0.4896	0.3923		0.3315		0.4321	0.3986	0.3664		0.4536	0.3886	0.3282	0.3824	0.3605	0.3527	0.3503	0.3984	0.3476	0.3314	0.3240	0.3402	0.3589	0.3343	0.3679	0.3395	0.4350	0.3629	0.3422	0.4165	0.3544	0.3780	0.5040	0.3617	0.3231	0.3687		0.5000	0.4333	0.3567	0.3333	0.4318	0.3582		0.2981	0.3200	0.4444	0.3448	0.4333	0.3111	0.3939	0.2673	0.3907	0.3626	0.4831	0.3108	0.3590	0.3676		0.4037	0.3355	0.4022	0.3214	0.3567	0.3333	0.3596	0.2965	0.2632	0.3506	0.3853	0.3520	0.3507	0.3555			0.3000	0.3563	0.3483	0.2818	0.2300	0.3485	0.4375	0.4096	0.3718	0.3854	0.4267	0.3438	0.3602	0.3675	0.4464	0.4649	0.3641	0.3592	0.3531	0.4615	0.3675	0.3524	0.3584	0.4058	0.4503	0.4559		0.4308	0.2875	0.3988		0.3901	0.4000	0.3492	0.4094	0.3669	0.3464	0.4574	0.3317	0.3770	0.4066	0.3443	0.3204		0.3571	0.3696	0.3715	0.2881		0.3571
Mortierella_verticillata	0.3747	0.3263	0.3803		0.3691	0.3635	0.3554	0.3622	0.4824	0.2949	0.2525	0.3575	0.2603	0.4815	0.3050	0.3650	0.2652	0.3949	0.3386	0.3038	0.3310	0.3841	0.3927	0.4854	0.3555	0.3649	0.4453	0.4131	0.3964	0.3656	0.3498	0.3542	0.4103		0.2949	0.3333	0.4660	0.3808	0.4743	0.3723	0.2625	0.4062	0.3984	0.3228	0.3298		0.3420	0.3399	0.2750	0.3034	0.4798	0.3782	0.3320	0.3389	0.3205	0.3690	0.3810	0.3883		0.3553	0.3114		0.4362	0.2741	0.4401	0.4222	0.3964	0.3738	0.3103	0.3588	0.3704	0.3838	0.3475	0.3896	0.4000	0.4154	0.3816	0.3450	0.3861	0.3551	0.3971	0.3655	0.5344	0.3480	0.3434	0.4000	0.3203	0.5090	0.4208	0.4328	0.3587	0.4150	0.3519	0.3475	0.3759	0.4711	0.4509	0.3886	0.3600	0.3693	0.3333	0.3646	0.3502	0.4104	0.3374	0.3497	0.3651	0.3592	0.3638	0.2893	0.3302	0.3050	0.4049	0.3941	0.3464	0.4056	0.3420	0.3858	0.5365	0.3696	0.3515	0.4055	0.3125	0.4778	0.4050	0.3540	0.3620	0.4056	0.4140	0.4958	0.3704	0.3400	0.4139	0.3565	0.4286	0.3427	0.3009	0.2800	0.3709	0.3635	0.4651	0.3756	0.3418	0.3553	0.4024	0.3789	0.3098	0.3938	0.2837	0.3883	0.3472	0.3801	0.3216	0.3333	0.3723	0.3684	0.3608	0.3577	0.3676	0.3354	0.4225	0.3607	0.4023	0.2842	0.3235	0.3100	0.3621	0.4069	0.3670	0.3806	0.3878	0.4113	0.3359	0.2925	0.3737	0.4821	0.4727	0.3870	0.3824	0.3771	0.4435	0.3506	0.3558	0.4109	0.3108	0.4737	0.4265	0.3349	0.4194	0.3187	0.3750	0.3282	0.3995	0.4175	0.3545	0.3716	0.4029	0.3978	0.5385	0.3168	0.3653	0.4190	0.3115	0.3107	0.3696	0.3812	0.4000	0.4071	0.3553	0.3643	0.3656
Aurelia_aurita	0.3614	0.3008		0.3333			0.3576		0.4629	0.3291			0.2131		0.2679	0.3750	0.2803	0.3963	0.3267	0.3090	0.3517	0.3218	0.2727	0.4854	0.3750		0.4297	0.4229							0.3442		0.4272	0.3630		0.3504		0.3525	0.3145	0.3543	0.2766	0.3017				0.3103			0.2469		0.3004	0.3368	0.3158	0.3903	0.2593			0.2073	0.3986	0.3129		0.3889	0.3716		0.2426		0.3750	0.3801	0.3629	0.4026					0.4330	0.3755	0.4204		0.5229	0.3551		0.3838	0.3571		0.4032		0.3478						0.4749	0.3493								0.3347		0.3373		0.3305	0.3349	0.3686	0.4625		0.3296										0.4098		0.3072	0.4685				0.4013	0.4254	0.3652		0.3615	0.2973	0.3366	0.3444	0.3459	0.4943	0.3732			0.3787				0.2500				0.3198	0.3070		0.3694			0.3523		0.3239	0.3333			0.2727	0.2900			0.3511				0.3228	0.3365			0.5088	0.3833	0.3618								0.4328		0.3538		0.3810		0.3808	0.4000	0.3333	0.3817	0.3885	0.3757			0.3670	0.4471	0.3361			0.3446					
Agalma_elegans	0.3622	0.3051		0.3508	0.3639	0.3460	0.3370	0.3649	0.4302	0.3038	0.3163		0.2703	0.4815	0.2778	0.3723	0.2727	0.3963	0.2895	0.3376	0.3448	0.3250	0.3403	0.4678	0.3477	0.3833	0.4219	0.4178		0.3594	0.2639	0.3476	0.4098	0.3447	0.2561	0.4074		0.3750	0.4822	0.3212	0.2875	0.3688	0.3145	0.2992	0.2737	0.3194			0.2756	0.2986	0.4860	0.3974	0.3333	0.3477	0.3148	0.3286	0.2500	0.3677	0.2086		0.3025	0.2000	0.3852	0.2947	0.4389	0.4222	0.2840	0.3307	0.2841	0.3969	0.3364	0.3125	0.3640	0.4058	0.3834	0.3491	0.3310	0.3217	0.3729	0.3309	0.3886		0.5291	0.2959	0.3216	0.3536	0.3442	0.4051	0.4118	0.3259	0.3137	0.4103	0.3704	0.3582	0.3697	0.4469		0.3537	0.2971	0.3382	0.3569			0.4064	0.3904	0.3163	0.3583	0.3494	0.3865	0.3287	0.3693	0.3351	0.4081	0.3609	0.2879		0.3085	0.3150	0.4821	0.4022	0.3606	0.3594	0.3362		0.4016	0.3725	0.3133	0.4571	0.4074	0.4449	0.3148	0.3618	0.4014	0.3043	0.3959	0.3607	0.2895	0.2929	0.3775	0.3563	0.4607	0.3739	0.3423	0.3602	0.4438		0.3355	0.3702	0.3214	0.3712	0.3311	0.3674	0.3023	0.2807	0.3636	0.3507	0.3729		0.3384	0.3537	0.3958	0.3167	0.3333	0.3006	0.2727	0.3000	0.3388		0.3511	0.4214	0.3827	0.4267	0.3256	0.3555	0.4400	0.4803	0.5160	0.3642	0.2734	0.3573	0.4551	0.3499	0.3351	0.3528	0.3293	0.5026		0.3235	0.4113	0.3333		0.3043	0.4064	0.4190	0.3429	0.3545	0.3762	0.3591	0.5271	0.3220		0.4066	0.2869	0.3000		0.3274	0.3444	0.3770	0.3541	0.3598	0.3608
