Basefrequencies
File	Clade	N taxa (informative)	p(A)	p(V)	p(L)	p(I)	p(P)	p(M)	p(F)	p(W)	p(G)	p(S)	p(T)	p(C)	p(N)	p(Q)	p(Y)	p(D)	p(E)	p(K)	p(R)	p(H)	p(Hydrophobic)	p(Hydrophilic)	p(Polar)	p(Nonpolar)	p(Positive)	p(Neutral)	p(Negative)	RCFV Value	csRCFV (A)	csRCFV (V)	csRCFV (L)	csRCFV (I)	csRCFV (P)	csRCFV (M)	csRCFV (F)	csRCFV (W)	csRCFV (G)	csRCFV (S)	csRCFV (T)	csRCFV (C)	csRCFV (N)	csRCFV (Q)	csRCFV (Y)	csRCFV (D)	csRCFV (E)	csRCFV (K)	csRCFV (R)	csRCFV (H)	csRCFV (Hydrophobic)	csRCFV (Hydrophilic)	csRCFV (Polar)	csRCFV (Nonpolar)	csRCFV (Positive)	csRCFV (Neutral)	csRCFV (Negative)	Chi-square value	Degrees of freedom	p-value	p(sites)	p(Gap) [-]	p(Ambiguity) [X]	p(Missing Data) [?]	csRCFV (Gap)	csRCFV (Ambiguity)	p_uninformative sites	p_inv(state)	p_inv(structure)	p_inv(polarity)	p_inv(charge)
chang.fas	0 All_Taxa	77	0.0726	0.0173	0.0674	0.0527	0.0382	0.0303	0.0634	0.0070	0.0553	0.0798	0.0270	0.0545	0.0781	0.0217	0.0678	0.0634	0.0902	0.0362	0.0373	0.0397	0.3417	0.6583	0.5128	0.4872	0.1432	0.7389	0.1179	0.0311	0.0029	0.0008	0.0010	0.0010	0.0017	0.0007	0.0027	0.0003	0.0022	0.0032	0.0011	0.0014	0.0017	0.0005	0.0033	0.0020	0.0018	0.0012	0.0008	0.0008	0.0025	0.0025	0.0033	0.0033	0.0038	0.0034	0.0027	6165.88107999999	1444	0	0.8915	0.0007	0.0000	0.1078	0.0006	0.0000	0.1085	0.0002	0.0003	0.0004	0.0005
rpl14a	0 All_Taxa	73	0.0857	0.0133	0.0520	0.0469	0.0389	0.0106	0.0899	0.0174	0.0439	0.1390	0.0153	0.0542	0.0959	0.0112	0.0626	0.0412	0.0799	0.0377	0.0395	0.0248	0.3252	0.6748	0.5269	0.4731	0.2289	0.6757	0.0954	0.2161	0.0179	0.0064	0.0101	0.0116	0.0126	0.0063	0.0151	0.0052	0.0127	0.0164	0.0088	0.0077	0.0136	0.0061	0.0152	0.0109	0.0136	0.0125	0.0074	0.0059	0.0192	0.0192	0.0236	0.0236	0.0169	0.0192	0.0096	898.186710000004	1368	1.00000	0.9788	0.0005	0.0000	0.0207	0.0009	0.0000	0.0721	0.0079	0.0315	0.0472	0.1102
rpl34	0 All_Taxa	72	0.0555	0.0288	0.0694	0.0542	0.0284	0.0426	0.1436	0.0007	0.0640	0.1346	0.0190	0.0101	0.0855	0.0105	0.0445	0.0272	0.0891	0.0365	0.0131	0.0429	0.2647	0.7353	0.5804	0.4196	0.2782	0.6845	0.0373	0.1757	0.0126	0.0035	0.0067	0.0124	0.0080	0.0054	0.0152	0.0014	0.0115	0.0147	0.0085	0.0025	0.0119	0.0067	0.0089	0.0060	0.0131	0.0133	0.0046	0.0090	0.0174	0.0174	0.0193	0.0193	0.0134	0.0148	0.0061	627.487189999999	1349	1.00000	0.9779	0.0009	0.0000	0.0212	0.0016	0.0000	0.0856	0.0000	0.0187	0.0280	0.0374
tribe320	0 All_Taxa	70	0.0672	0.0065	0.0993	0.0354	0.0487	0.0170	0.0993	0.0002	0.0411	0.1323	0.0178	0.0292	0.0972	0.0148	0.0321	0.0476	0.0763	0.0597	0.0365	0.0417	0.2717	0.7283	0.5317	0.4683	0.2317	0.6915	0.0769	0.1902	0.0141	0.0069	0.0098	0.0089	0.0090	0.0058	0.0113	0.0002	0.0109	0.0151	0.0058	0.0078	0.0147	0.0053	0.0116	0.0119	0.0149	0.0112	0.0076	0.0074	0.0185	0.0185	0.0202	0.0202	0.0148	0.0183	0.0100	664.97288	1311	1.00000	0.9772	0.0035	0.0000	0.0193	0.0056	0.0000	0.1117	0.0206	0.0206	0.0309	0.0309
cct	0 All_Taxa	68	0.0943	0.0187	0.0581	0.0600	0.0362	0.0110	0.0460	0.0000	0.0705	0.0738	0.0262	0.0579	0.0957	0.0167	0.0856	0.0648	0.1068	0.0328	0.0162	0.0287	0.3578	0.6422	0.4884	0.5116	0.1198	0.7575	0.1227	0.2701	0.0013	0.0006	0.0007	0.0010	0.0009	0.0004	0.0009	0.0000	0.0009	0.0009	0.0007	0.0009	0.0011	0.0005	0.0012	0.0009	0.0010	0.0008	0.0005	0.0003	0.0061	0.0061	0.0052	0.0052	0.0032	0.0048	0.0025	13878.37603	1273	0	0.9930	0.0014	0.0000	0.0056	0.0010	0.0000	2.8833	0.0484	0.0645	0.0665	0.0544
stbproptase2a	0 All_Taxa	74	0.0401	0.0320	0.0767	0.0561	0.0428	0.0514	0.0624	0.0169	0.0478	0.0338	0.0179	0.0792	0.0667	0.0339	0.0477	0.0544	0.1011	0.0445	0.0472	0.0474	0.3184	0.6816	0.5383	0.4617	0.0962	0.7702	0.1336	0.0804	0.0047	0.0029	0.0039	0.0052	0.0049	0.0036	0.0046	0.0007	0.0053	0.0054	0.0023	0.0039	0.0049	0.0027	0.0046	0.0037	0.0038	0.0051	0.0035	0.0041	0.0081	0.0081	0.0084	0.0084	0.0044	0.0055	0.0028	276.09256	1387	1.00000	0.9527	0.0000	0.0000	0.0473	0.0000	0.0000	0.0844	0.0000	0.0000	0.0000	0.0000
cct	0 All_Taxa	68	0.0943	0.0187	0.0581	0.0600	0.0362	0.0110	0.0460	0.0000	0.0705	0.0738	0.0262	0.0579	0.0957	0.0167	0.0856	0.0648	0.1068	0.0328	0.0162	0.0287	0.3578	0.6422	0.4884	0.5116	0.1198	0.7575	0.1227	0.2701	0.0013	0.0006	0.0007	0.0010	0.0009	0.0004	0.0009	0.0000	0.0009	0.0009	0.0007	0.0009	0.0011	0.0005	0.0012	0.0009	0.0010	0.0008	0.0005	0.0003	0.0061	0.0061	0.0052	0.0052	0.0032	0.0048	0.0025	13878.37603	1273	0	0.9930	0.0014	0.0000	0.0056	0.0010	0.0000	2.8833	0.0484	0.0645	0.0665	0.0544
tribe1200	0 All_Taxa	68	0.0701	0.0067	0.0636	0.0430	0.0382	0.0505	0.0029	0.0259	0.0830	0.0651	0.0200	0.0680	0.0959	0.0200	0.0582	0.1030	0.1016	0.0307	0.0186	0.0348	0.3293	0.6707	0.5112	0.4888	0.0680	0.7610	0.1710	0.2355	0.0184	0.0070	0.0107	0.0137	0.0080	0.0122	0.0040	0.0013	0.0186	0.0147	0.0086	0.0179	0.0191	0.0078	0.0156	0.0183	0.0125	0.0107	0.0094	0.0070	0.0220	0.0220	0.0240	0.0240	0.0150	0.0203	0.0200	703.841869999995	1273	1.00000	0.9689	0.0009	0.0000	0.0302	0.0015	0.0000	0.1443	0.0380	0.0759	0.0886	0.1013
rpl20	0 All_Taxa	76	0.0687	0.0201	0.0400	0.0473	0.0339	0.0486	0.1165	0.0128	0.0640	0.0967	0.0320	0.0300	0.0699	0.0362	0.0676	0.0415	0.0512	0.0321	0.0457	0.0450	0.3231	0.6769	0.5670	0.4330	0.2132	0.7153	0.0715	0.1601	0.0101	0.0061	0.0053	0.0105	0.0087	0.0066	0.0091	0.0009	0.0116	0.0111	0.0077	0.0064	0.0116	0.0063	0.0117	0.0079	0.0078	0.0088	0.0062	0.0060	0.0170	0.0170	0.0140	0.0140	0.0108	0.0130	0.0073	527.021659999998	1425	1.00000	0.9679	0.0008	0.0000	0.0314	0.0014	0.0000	0.0447	0.0325	0.0714	0.0649	0.1169
rpl4B	0 All_Taxa	75	0.0911	0.0129	0.0776	0.0430	0.0547	0.0223	0.1115	0.0163	0.0566	0.0809	0.0279	0.0300	0.0796	0.0270	0.0522	0.0253	0.0769	0.0310	0.0274	0.0557	0.3475	0.6525	0.4953	0.5047	0.1924	0.7522	0.0553	0.1223	0.0089	0.0037	0.0056	0.0069	0.0044	0.0039	0.0073	0.0025	0.0082	0.0099	0.0051	0.0048	0.0105	0.0049	0.0083	0.0045	0.0081	0.0057	0.0043	0.0046	0.0132	0.0132	0.0092	0.0092	0.0111	0.0111	0.0060	578.327670000001	1406	1.00000	0.9716	0.0019	0.0000	0.0265	0.0032	0.0000	0.0536	0.0541	0.0777	0.0743	0.1014
