gene_id	tree_supported	tr1_log-likelihood	tr2_log-likelihood	tr3_log-likelihood
Gene_0007	tr2	-8196.498477	-8194.932855	-8196.37894999999
Gene_0016	tr2	-32961.57125	-32960.658007	-32964.747408
Gene_0017	tr3	-19704.071843	-19707.549384	-19703.681214
Gene_0020	tr2	-26274.170552	-26266.657545	-26271.880473
Gene_0035	tr2	-31431.55137	-31423.385285	-31430.372884
Gene_0037	tr2	-21713.427836	-21705.179506	-21712.244591
Gene_0041	tr2	-11699.573087	-11698.435281	-11698.860859
Gene_0044	tr2	-3093.283	-3091.09719	-3093.729217
Gene_0045	tr2	-10224.603897	-10222.930187	-10223.617326
Gene_0053	tr2	-1852.458656	-1852.442525	-1852.861734
Gene_0058	tr2	-3332.440964	-3332.036794	-3332.236183
Gene_0059	tr1	-18076.313828	-18079.198013	-18078.516434
Gene_0062	tr2	-4481.397597	-4480.919763	-4481.520925
Gene_0063	tr2	-6824.756753	-6824.538779	-6824.727935
Gene_0064	tr2	-6550.706781	-6548.964265	-6551.20202
Gene_0066	tr1	-10106.270872	-10110.46741	-10108.355293
Gene_0068	tr1	-11904.869953	-11906.671234	-11906.970531
Gene_0070	tr2	-5676.273956	-5674.727703	-5675.937512
Gene_0073	tr2	-17765.651339	-17756.932067	-17765.302564
Gene_0076	tr1	-12295.666309	-12297.071771	-12296.213308
Gene_0084	tr1	-9215.443691	-9216.280326	-9215.669674
Gene_0086	tr2	-12284.857855	-12280.275615	-12286.421568
Gene_0088	tr1	-10208.795169	-10213.008672	-10213.661056
Gene_0090	tr2	-7243.67216	-7242.794337	-7244.066557
Gene_0098	tr3	-19174.490477	-19179.44803	-19173.903116
Gene_0105	tr2	-7653.218801	-7651.869211	-7653.529711
Gene_0120	tr1	-8692.780555	-8693.828534	-8692.812241
Gene_0123	tr2	-6072.972626	-6072.395451	-6073.033184
Gene_0128	tr2	-1732.677874	-1732.182785	-1732.689794
Gene_0129	tr3	-4442.559747	-4442.47497	-4441.541154
Gene_0131	tr2	-23767.68605	-23761.609352	-23767.154181
Gene_0135	tr2	-15405.321365	-15399.513786	-15406.127707
Gene_0140	tr1	-8487.126653	-8488.282991	-8488.647772
Gene_0141	tr2	-3047.74814	-3046.940665	-3047.958325
Gene_0143	tr2	-12638.10759	-12635.632185	-12637.816309
Gene_0144	tr2	-5930.651918	-5930.307755	-5930.42945
Gene_0146	tr1	-5922.287956	-5923.685058	-5924.27566
Gene_0152	tr3	-5390.204254	-5391.313713	-5389.813279
Gene_0156	tr2	-9028.999744	-9028.58115500001	-9029.322622
Gene_0158	tr2	-6540.205648	-6539.816916	-6540.553584
Gene_0169	tr2	-6811.335712	-6809.698447	-6811.196568
Gene_0171	tr2	-8769.09105	-8768.409066	-8769.680135
Gene_0177	tr2	-16873.562757	-16872.697832	-16873.195454
Gene_0180	tr2	-11589.572745	-11588.776148	-11591.945075
Gene_0181	tr3	-14315.102789	-14315.759954	-14314.476817
Gene_0208	tr2	-10362.194736	-10356.89772	-10362.968504
Gene_0251	tr2	-21485.657249	-21477.431627	-21484.053836
Gene_0253	tr2	-7950.267863	-7948.70593	-7950.927222
Gene_0257	tr2	-18592.623906	-18592.472948	-18592.828665
Gene_0268	tr3	-8179.798607	-8181.279475	-8179.12228100001
Gene_0272	tr1	-10398.702785	-10398.781512	-10399.332197
Gene_0277	tr1	-3286.144356	-3286.168248	-3286.554318
Gene_0278	tr2	-23835.590431	-23833.553892	-23835.171839
Gene_0281	tr1	-11805.180268	-11806.153076	-11807.009554
Gene_0289	tr3	-23363.06362	-23363.715296	-23362.863725
Gene_0305	tr2	-9492.547723	-9489.660579	-9493.086633
Gene_0311	tr3	-9732.110359	-9731.39510500001	-9731.205934
Gene_0314	tr2	-17905.457663	-17901.886049	-17904.532495
Gene_0315	tr2	-15401.385805	-15397.912836	-15403.233863
Gene_0319	tr2	-7891.785697	-7888.15013999999	-7891.853489
Gene_0327	tr2	-8352.727498	-8351.959405	-8352.640235
Gene_0328	tr1	-13124.47371	-13127.769155	-13124.503591
Gene_0340	tr2	-12216.504254	-12211.936166	-12218.063775
Gene_0346	tr2	-11919.206386	-11914.416113	-11918.218393
Gene_0348	tr2	-24705.48317	-24701.864577	-24704.127127
Gene_0372	tr3	-11190.772608	-11190.921897	-11190.764028
Gene_0379	tr2	-18420.338969	-18418.475074	-18419.988487
Gene_0380	tr2	-20310.341561	-20303.901656	-20308.568859
Gene_0384	tr2	-7249.458646	-7245.196568	-7249.927527
Gene_0390	tr1	-16394.139872	-16396.446496	-16395.605803
Gene_0394	tr1	-17075.052709	-17076.617903	-17076.492944
Gene_0395	tr2	-10817.918285	-10813.486823	-10817.632998
Gene_0401	tr2	-13470.987542	-13469.251466	-13470.0288
Gene_0407	tr2	-10734.048278	-10730.723993	-10732.488773
Gene_0411	tr2	-5062.830492	-5059.596552	-5062.537426
Gene_0412	tr2	-8079.414393	-8077.433895	-8080.062507
Gene_0414	tr2	-9007.969275	-9007.263937	-9008.239352
Gene_0415	tr3	-14453.533345	-14453.647206	-14453.380991
Gene_0443	tr2	-8687.434003	-8685.861009	-8686.854237
Gene_0446	tr1	-17004.924351	-17005.133524	-17006.33219
Gene_0450	tr3	-12167.963307	-12166.995865	-12166.895292
Gene_0455	tr2	-16663.702075	-16659.623027	-16662.680735
Gene_0470	tr2	-9183.768589	-9182.00426500001	-9186.347678
Gene_0487	tr1	-15939.689454	-15940.49005	-15940.111212
Gene_0511	tr2	-6449.783464	-6444.019838	-6448.439329
Gene_0513	tr2	-20990.689567	-20984.305721	-20989.413762
Gene_0519	tr2	-19306.947226	-19301.780839	-19305.924684
Gene_0524	tr2	-27218.284094	-27214.598065	-27218.062039
Gene_0529	tr2	-11653.27729	-11650.300382	-11652.989286
Gene_0536	tr2	-25531.61861	-25526.799645	-25530.718351
Gene_0541	tr3	-10329.474058	-10329.331286	-10328.911498
Gene_0542	tr2	-5613.557008	-5611.236788	-5613.459174
Gene_0557	tr2	-26357.731832	-26351.807817	-26359.439584
Gene_0563	tr3	-21831.411586	-21835.181888	-21829.319128
Gene_0565	tr2	-33620.772932	-33612.884801	-33618.73854
Gene_0568	tr2	-38047.610179	-38040.2242650001	-38048.2219150001
Gene_0576	tr3	-17547.950467	-17549.567906	-17547.84416
Gene_0601	tr2	-9052.731016	-9051.462851	-9052.944844
Gene_0608	tr3	-6220.673316	-6220.302345	-6220.300763
Gene_0614	tr1	-19521.031084	-19522.857625	-19522.284288
Gene_0622	tr2	-6206.976261	-6202.320815	-6207.781649
Gene_0623	tr2	-8930.361224	-8924.117375	-8931.593952
Gene_0624	tr2	-7084.166076	-7079.259212	-7084.263453
Gene_0625	tr2	-19320.202185	-19318.330509	-19319.087308
Gene_0626	tr2	-8041.223228	-8037.578047	-8042.971724
Gene_0629	tr1	-17336.661191	-17339.388938	-17336.765038
Gene_0639	tr3	-12013.464354	-12012.102334	-12010.568774
Gene_0641	tr2	-10708.90536	-10707.515504	-10710.438725
Gene_0644	tr1	-15055.100913	-15059.92437	-15057.403472
Gene_0645	tr2	-5961.478995	-5960.174868	-5960.932663
Gene_0651	tr3	-8072.64609	-8076.783558	-8070.09437899999
Gene_0652	tr2	-9051.227531	-9050.39634	-9051.283515
Gene_0654	tr3	-5659.451324	-5661.785179	-5658.77894
Gene_0657	tr2	-4191.226997	-4187.680519	-4192.395018
Gene_0658	tr1	-10178.628525	-10181.319368	-10181.268733
Gene_0664	tr2	-12432.636192	-12429.368807	-12430.196382
Gene_0667	tr2	-10012.200257	-10010.521336	-10012.048668
Gene_0668	tr2	-9578.583003	-9576.409452	-9579.56171099999
Gene_0674	tr2	-14826.192495	-14824.98009	-14825.985309
Gene_0678	tr1	-8015.880493	-8016.23659999999	-8016.766429
Gene_0681	tr1	-10491.433577	-10498.290616	-10494.344858
Gene_0687	tr3	-13490.090943	-13492.066392	-13490.060554
Gene_0690	tr3	-3736.38403	-3736.234406	-3735.736652
Gene_0691	tr2	-17320.238061	-17315.533394	-17318.278422
Gene_0695	tr2	-25274.646917	-25266.103085	-25273.408357
Gene_0696	tr1	-15831.334495	-15835.394412	-15834.652821
Gene_0703	tr2	-8202.495738	-8195.033459	-8202.079622
Gene_0709	tr1	-10199.207786	-10201.488083	-10199.994589
Gene_0727	tr3	-9891.5724	-9890.058312	-9887.193448
Gene_0741	tr2	-11103.9008	-11095.445214	-11103.151866
Gene_0745	tr1	-19635.062382	-19636.975758	-19635.900085
Gene_0766	tr2	-21724.134442	-21715.820867	-21723.152646
Gene_0773	tr2	-36799.364638	-36797.8536290001	-36804.0322440001
Gene_0786	tr1	-8010.744718	-8011.310405	-8011.176679
Gene_0787	tr2	-3613.08887	-3611.812997	-3613.054836
Gene_0793	tr3	-4994.878823	-4994.904808	-4994.565883
Gene_0802	tr1	-12234.285696	-12234.581706	-12234.489163
Gene_0806	tr2	-4976.265711	-4972.947556	-4978.181474
Gene_0807	tr1	-5971.239644	-5973.310513	-5972.297582
Gene_0808	tr1	-18107.603584	-18113.92465	-18111.553115
Gene_0813	tr1	-16355.725174	-16356.333034	-16356.940721
Gene_0819	tr1	-10541.006956	-10541.403698	-10541.55478
Gene_0822	tr2	-9057.882209	-9055.184765	-9059.047183
Gene_0834	tr1	-10864.929	-10865.320282	-10866.123979
Gene_0835	tr3	-10434.17283	-10434.245836	-10433.667978
Gene_0843	tr2	-4878.961091	-4877.790781	-4878.85848
Gene_0857	tr2	-15738.576293	-15736.109818	-15736.503995
Gene_0873	tr2	-18960.105746	-18958.22113	-18961.303265
Gene_0874	tr2	-23427.81578	-23416.348957	-23427.744161
Gene_0894	tr3	-14609.488192	-14607.908091	-14607.871337
Gene_0895	tr2	-10870.516854	-10860.589892	-10869.791429
Gene_0896	tr2	-13535.568103	-13531.692946	-13535.494812
Gene_0904	tr1	-12405.584481	-12405.745709	-12405.763358
Gene_0909	tr2	-14452.687759	-14440.484538	-14451.609128
Gene_0910	tr2	-4487.464332	-4480.818973	-4487.650684
Gene_0912	tr1	-1992.069647	-1992.487213	-1992.676858
Gene_0917	tr2	-10592.067389	-10586.304478	-10590.327375
Gene_0920	tr2	-5415.948973	-5412.868467	-5417.010936
Gene_0921	tr2	-9596.40839	-9592.135817	-9595.025494
Gene_0925	tr2	-8247.431571	-8245.294442	-8248.361066
Gene_0927	tr2	-8273.51847	-8272.553223	-8272.623501
Gene_0930	tr2	-30393.502129	-30391.894661	-30396.102273
Gene_0933	tr3	-4954.09884	-4956.566305	-4954.004742
Gene_0941	tr1	-16600.736376	-16600.928967	-16600.921224
Gene_0942	tr2	-16959.641766	-16955.810906	-16960.950555
Gene_0945	tr1	-7652.84267	-7653.448628	-7653.370068
