gene_id	tree_supported	tr1_log-likelihood	tr2_log-likelihood	tr3_log-likelihood
Gene_0017	tr1	-19854.263096	-19856.221673	-19854.34976
Gene_0035	tr2	-31393.413863	-31384.982485	-31391.784246
Gene_0041	tr2	-11679.657734	-11679.050418	-11679.389224
Gene_0059	tr1	-17998.337376	-18000.394228	-18000.53419
Gene_0131	tr2	-23515.638759	-23510.092539	-23515.510804
Gene_0281	tr2	-11704.515912	-11704.234159	-11705.71716
Gene_0380	tr2	-20277.942154	-20272.748008	-20276.170937
Gene_0411	tr2	-5034.901861	-5032.252845	-5034.742485
Gene_0511	tr2	-6437.381596	-6432.502402	-6436.55921499999
Gene_0536	tr2	-25194.74287	-25190.20691	-25193.695639
Gene_0565	tr2	-33292.858953	-33285.391963	-33290.471589
Gene_0626	tr2	-7988.628315	-7984.957092	-7990.110439
Gene_0644	tr1	-15021.768953	-15025.235976	-15023.952009
Gene_0651	tr3	-7980.67485000001	-7983.43239100001	-7978.45314100001
Gene_0667	tr2	-9975.45951100001	-9974.216986	-9975.481934
Gene_0668	tr2	-9578.111842	-9576.622097	-9579.24333
Gene_0691	tr2	-17142.598458	-17138.192027	-17141.002468
Gene_0695	tr2	-25303.520576	-25296.366335	-25302.162454
Gene_0709	tr1	-10104.027421	-10105.932013	-10104.909537
Gene_0745	tr1	-19610.981762	-19612.708841	-19611.847683
Gene_0808	tr1	-18064.318098	-18068.711573	-18067.850369
Gene_0835	tr3	-10452.794496	-10452.973263	-10452.392809
Gene_0904	tr2	-12375.542793	-12374.437434	-12375.856252
Gene_0912	tr1	-1976.932738	-1977.044774	-1977.397913
Gene_0930	tr2	-30138.658576	-30136.377519	-30140.017983
Gene_0941	tr2	-16466.399763	-16466.02231	-16466.762919
Gene_0958	tr2	-17019.896124	-17018.435518	-17019.282672
Gene_0964	tr2	-7482.002463	-7479.386752	-7481.23191
Gene_0989	tr2	-21506.921797	-21498.516714	-21506.198615
