gene_id	tree_supported	tr1_log-likelihood	tr2_log-likelihood	tr3_log-likelihood
Gene_0010	tr1	-6240.036489	-6240.19812200001	-6240.24379199999
Gene_0026	tr2	-16904.019917	-16890.545906	-16901.778793
Gene_0027	tr1	-11782.113313	-11782.856018	-11782.171164
Gene_0030	tr1	-20690.215562	-20690.626369	-20690.657021
Gene_0034	tr2	-19589.630971	-19580.823295	-19592.491302
Gene_0035	tr1	-17452.483585	-17456.271122	-17453.542176
Gene_0066	tr1	-6679.47234500001	-6679.506121	-6679.758713
Gene_0069	tr2	-1550.320395	-1550.135101	-1550.428484
Gene_0076	tr2	-11603.754586	-11602.285301	-11603.862415
Gene_0077	tr2	-8107.04011199999	-8106.60597200001	-8107.155565
Gene_0088	tr2	-7366.163215	-7365.739122	-7366.117866
Gene_0089	tr2	-13257.198043	-13252.504047	-13256.411021
Gene_0102	tr2	-22123.130729	-22107.289973	-22122.427195
Gene_0113	tr2	-10948.012638	-10947.462656	-10947.699762
Gene_0114	tr2	-18478.020774	-18472.260217	-18481.896363
Gene_0121	tr2	-19408.69072	-19404.275804	-19412.063976
Gene_0134	tr1	-4583.320074	-4583.507384	-4584.932664
Gene_0153	tr2	-10006.924153	-10006.018402	-10006.541818
Gene_0164	tr1	-9553.435101	-9553.481273	-9553.577666
Gene_0185	tr1	-17643.456834	-17643.656549	-17643.717362
Gene_0191	tr2	-6141.51184	-6138.892211	-6141.384024
Gene_0200	tr2	-2725.996491	-2724.953337	-2726.155442
Gene_0202	tr2	-12411.576752	-12410.850447	-12411.256883
Gene_0226	tr1	-7822.67995	-7828.415926	-7823.560395
Gene_0236	tr3	-16982.813596	-16985.561075	-16982.158822
Gene_0245	tr2	-17032.945923	-17026.502984	-17033.030394
Gene_0295	tr2	-3515.98499	-3514.077746	-3516.031074
Gene_0317	tr2	-5105.784141	-5104.733585	-5106.063955
Gene_0328	tr2	-13063.326806	-13060.682152	-13063.320556
Gene_0330	tr2	-14541.759711	-14541.08388	-14541.743103
Gene_0335	tr2	-10263.416997	-10257.589548	-10263.678316
Gene_0337	tr2	-19421.933683	-19415.909136	-19423.222689
Gene_0348	tr2	-22927.431295	-22924.263721	-22927.24004
Gene_0349	tr2	-12843.681052	-12834.322655	-12844.116922
Gene_0351	tr3	-7028.179627	-7028.300487	-7027.951274
Gene_0399	tr1	-6879.871227	-6880.192483	-6880.455406
Gene_0406	tr1	-4412.140806	-4412.233232	-4412.246405
Gene_0414	tr2	-5923.389137	-5922.762461	-5923.233539
Gene_0424	tr2	-8871.560819	-8867.127908	-8871.58349800001
Gene_0438	tr2	-12558.543805	-12555.416356	-12560.790548
Gene_0443	tr3	-8322.146253	-8322.329507	-8321.930211
Gene_0445	tr1	-5816.483809	-5818.728543	-5818.404144
Gene_0471	tr2	-10435.484988	-10434.481402	-10436.736756
Gene_0483	tr1	-4992.417324	-4992.692163	-4992.517797
Gene_0509	tr2	-13686.026939	-13674.411751	-13685.47846
Gene_0511	tr3	-5181.253939	-5181.45902	-5181.001111
Gene_0518	tr1	-14591.98083	-14592.347877	-14592.306688
Gene_0521	tr2	-15871.287007	-15863.635537	-15871.61343
Gene_0531	tr3	-17627.894898	-17627.924002	-17627.727619
Gene_0542	tr3	-3807.815696	-3807.996892	-3807.586778
Gene_0544	tr2	-11267.520809	-11264.932481	-11269.411042
Gene_0545	tr2	-21934.652917	-21920.365596	-21932.703106
Gene_0575	tr2	-11437.31712	-11430.138112	-11438.005849
Gene_0581	tr2	-14132.425578	-14127.226299	-14131.602422
Gene_0610	tr1	-7362.797852	-7363.133519	-7363.205488
Gene_0658	tr1	-7242.191983	-7242.68681	-7242.595822
Gene_0703	tr2	-6003.144638	-6003.063642	-6003.176127
Gene_0714	tr2	-14999.708838	-14998.482395	-14999.519084
Gene_0718	tr2	-4132.452003	-4127.432326	-4132.511458
Gene_0723	tr2	-17407.824912	-17404.236087	-17407.424278
Gene_0729	tr1	-11575.962296	-11576.44734	-11576.185234
Gene_0731	tr1	-11402.409582	-11402.547266	-11402.677821
Gene_0740	tr2	-9925.197037	-9918.45738	-9925.303315
Gene_0771	tr2	-15237.318559	-15211.591953	-15236.505956
Gene_0784	tr2	-3121.433681	-3120.458642	-3121.493999
Gene_0831	tr2	-12562.557154	-12562.35362	-12562.482902
Gene_0842	tr3	-5532.89732800001	-5533.159549	-5532.760767
Gene_0843	tr2	-3840.861275	-3838.765933	-3840.594372
Gene_0846	tr2	-17040.143958	-17036.831827	-17039.208991
Gene_0857	tr3	-12598.134426	-12598.504538	-12597.817605
Gene_0858	tr2	-7843.35042399999	-7834.503738	-7843.214458
Gene_0873	tr2	-16311.714849	-16311.136554	-16311.565824
Gene_0884	tr2	-19386.870961	-19384.041923	-19385.283553
Gene_0893	tr2	-12569.117597	-12569.061092	-12569.295744
Gene_0902	tr2	-10350.077368	-10349.605489	-10351.082057
Gene_0915	tr2	-12731.928377	-12731.568121	-12731.778395
Gene_0934	tr3	-7049.142603	-7049.277246	-7049.013698
Gene_0980	tr1	-17331.312534	-17331.602199	-17331.424446
Gene_0985	tr2	-2960.759344	-2955.829464	-2961.033504
Gene_0986	tr2	-5526.432432	-5523.814927	-5526.211822
Gene_0992	tr2	-14135.435888	-14134.877924	-14135.546085
Gene_0995	tr1	-6569.451044	-6569.603753	-6569.530442
Gene_1015	tr3	-27909.141315	-27910.193502	-27908.325203
Gene_1023	tr2	-14098.296281	-14097.462937	-14097.851112
Gene_1034	tr1	-12529.161222	-12535.41213	-12536.060592
