gene_id	tree_supported	tr1_log-likelihood	tr2_log-likelihood	tr3_log-likelihood
Gene_0007	tr2	-8237.526884	-8235.870097	-8237.421251
Gene_0016	tr2	-32964.194371	-32963.559532	-32967.449106
Gene_0017	tr3	-19798.819001	-19802.55576	-19798.680576
Gene_0020	tr2	-26196.869157	-26189.394998	-26194.255976
Gene_0030	tr2	-24160.743022	-24153.211097	-24163.001164
Gene_0035	tr2	-31390.629887	-31382.796859	-31389.773145
Gene_0037	tr2	-21705.30432	-21697.403206	-21704.139506
Gene_0041	tr2	-11704.892034	-11704.301994	-11704.476249
Gene_0044	tr2	-3153.626911	-3151.500816	-3153.806331
Gene_0045	tr2	-10307.693895	-10306.283428	-10306.673427
Gene_0051	tr1	-19508.860898	-19511.262214	-19515.823306
Gene_0053	tr2	-1903.037394	-1902.979975	-1903.411807
Gene_0058	tr2	-3476.858054	-3476.520568	-3476.679673
Gene_0059	tr1	-18006.546805	-18009.10226	-18008.441284
Gene_0062	tr2	-6821.505924	-6817.695978	-6821.336913
Gene_0063	tr2	-6900.084303	-6899.911885	-6900.023931
Gene_0064	tr2	-6525.767512	-6524.216738	-6526.376406
Gene_0066	tr1	-10144.582767	-10145.961049	-10146.700951
Gene_0068	tr2	-14174.62452	-14172.083628	-14174.534671
Gene_0070	tr2	-6366.259675	-6364.278922	-6366.263281
Gene_0073	tr2	-17911.707788	-17903.711464	-17911.537383
Gene_0076	tr1	-12464.31296	-12465.459077	-12464.669738
Gene_0084	tr2	-9372.387891	-9372.318147	-9372.370165
Gene_0086	tr2	-12421.496742	-12416.698643	-12422.82845
Gene_0088	tr1	-10103.418914	-10107.0363	-10107.729855
Gene_0090	tr2	-7327.945929	-7326.873267	-7328.438513
Gene_0092	tr2	-11267.016229	-11265.347897	-11266.228525
Gene_0094	tr1	-17055.613264	-17056.857758	-17056.730428
Gene_0098	tr1	-19162.836496	-19168.226109	-19163.293339
Gene_0101	tr3	-23681.474374	-23686.064457	-23679.442843
Gene_0105	tr2	-9869.11927	-9868.788851	-9870.710869
Gene_0120	tr3	-8776.072533	-8777.136087	-8776.046023
Gene_0121	tr2	-16926.423007	-16920.724227	-16927.554771
Gene_0123	tr2	-9795.86778399999	-9790.306912	-9797.922417
Gene_0128	tr3	-1979.960281	-1980.189756	-1979.958708
Gene_0129	tr3	-4345.425235	-4344.992214	-4344.310091
Gene_0131	tr2	-23967.967917	-23961.849427	-23968.113116
Gene_0135	tr2	-15436.344626	-15430.163769	-15436.987162
Gene_0140	tr1	-9298.675478	-9300.788644	-9300.197616
Gene_0141	tr2	-3397.66603	-3397.121506	-3397.923843
Gene_0143	tr2	-12580.887033	-12578.579115	-12581.138012
Gene_0144	tr2	-6018.228889	-6017.011092	-6017.528356
Gene_0146	tr1	-6585.4636	-6586.992128	-6587.25759
Gene_0152	tr2	-6139.311929	-6137.660402	-6138.818851
Gene_0156	tr2	-12166.557166	-12164.71335	-12167.356322
Gene_0157	tr2	-13747.816763	-13741.510618	-13748.911863
Gene_0158	tr2	-7639.032287	-7638.508305	-7639.270151
Gene_0169	tr2	-6742.074633	-6741.021716	-6741.898724
Gene_0171	tr2	-8987.892876	-8987.245221	-8988.366473
Gene_0177	tr3	-18927.28817	-18927.430547	-18926.179932
Gene_0178	tr3	-16266.721762	-16265.271834	-16263.473737
Gene_0180	tr2	-11652.98177	-11651.604058	-11655.244679
Gene_0181	tr1	-14461.668755	-14464.587871	-14462.066595
Gene_0208	tr2	-10047.132499	-10040.929112	-10046.917791
Gene_0251	tr2	-21531.624578	-21523.991946	-21529.851627
Gene_0253	tr2	-8873.005897	-8871.824613	-8872.894272
Gene_0257	tr2	-18725.82794	-18724.970705	-18726.344448
Gene_0268	tr3	-8909.35597899999	-8911.317507	-8908.542472
Gene_0270	tr2	-17204.505687	-17201.257039	-17203.869826
Gene_0272	tr1	-10338.003332	-10338.351002	-10338.621714
Gene_0277	tr2	-3412.24748	-3412.001701	-3412.743209
Gene_0278	tr2	-23640.718518	-23638.42934	-23640.278846
Gene_0281	tr2	-11862.842244	-11860.427162	-11864.355353
Gene_0289	tr1	-23270.302263	-23271.252159	-23270.598491
Gene_0305	tr2	-9821.429093	-9818.077739	-9821.858739
Gene_0311	tr3	-10813.32646	-10813.103555	-10812.064729
Gene_0314	tr2	-17992.937026	-17989.364936	-17991.824464
Gene_0315	tr2	-15361.723152	-15358.268103	-15364.007432
Gene_0319	tr2	-8010.754679	-8006.013385	-8010.333821
Gene_0327	tr2	-10466.655891	-10461.725158	-10465.507506
Gene_0328	tr2	-16466.241907	-16463.47309	-16465.375792
Gene_0340	tr2	-12474.297723	-12469.970583	-12475.851362
Gene_0346	tr2	-13885.032245	-13881.808921	-13884.672821
Gene_0348	tr2	-24874.189603	-24871.180658	-24872.831277
Gene_0352	tr2	-19301.712504	-19274.125411	-19299.659136
Gene_0363	tr2	-22995.688347	-22993.69313	-22996.121558
Gene_0366	tr2	-19760.826986	-19754.641578	-19759.766346
Gene_0372	tr2	-17111.66328	-17107.312628	-17113.257217
Gene_0379	tr2	-18448.805652	-18447.326168	-18448.425209
Gene_0380	tr2	-20215.401709	-20207.025155	-20213.514277
Gene_0384	tr2	-8403.581261	-8399.752862	-8403.859933
Gene_0390	tr1	-16327.879165	-16330.030726	-16329.189593
Gene_0394	tr1	-17222.428874	-17223.053834	-17223.606853
Gene_0395	tr2	-10792.403766	-10788.266508	-10792.389121
Gene_0401	tr2	-17792.834959	-17788.620778	-17792.765199
Gene_0407	tr2	-10805.146869	-10801.729128	-10803.538491
Gene_0408	tr2	-18395.788102	-18394.218048	-18395.589873
Gene_0411	tr2	-5065.364232	-5062.466352	-5065.197801
Gene_0412	tr2	-9093.929822	-9091.930565	-9094.727511
Gene_0414	tr1	-10257.579648	-10259.054271	-10257.714753
Gene_0415	tr2	-14641.222029	-14640.902979	-14641.028689
Gene_0443	tr2	-8683.450192	-8681.98433100001	-8682.887916
Gene_0446	tr2	-17121.843947	-17121.532256	-17123.236455
Gene_0448	tr2	-15580.600445	-15571.782043	-15579.38801
Gene_0450	tr3	-12272.450274	-12272.006659	-12271.623046
Gene_0455	tr2	-20205.460138	-20194.566561	-20203.31807
Gene_0457	tr2	-14004.767868	-14004.551772	-14006.436406
Gene_0470	tr2	-10457.733035	-10456.672204	-10460.316073
Gene_0484	tr1	-12989.065056	-12989.356139	-12989.739631
Gene_0487	tr1	-15977.842784	-15977.923266	-15978.342163
Gene_0498	tr1	-10006.712802	-10007.980165	-10007.201422
Gene_0503	tr2	-14934.546073	-14933.807143	-14934.488744
Gene_0511	tr2	-6562.53943699999	-6556.69685	-6561.269644
Gene_0513	tr2	-20933.080146	-20926.191304	-20931.776084
Gene_0519	tr2	-19533.561919	-19528.756907	-19532.518266
Gene_0524	tr2	-27307.807095	-27304.191542	-27307.703984
Gene_0529	tr2	-11551.718058	-11548.005395	-11551.006192
Gene_0536	tr2	-25490.938071	-25487.022698	-25490.098453
Gene_0541	tr2	-13961.830937	-13953.939309	-13961.415284
Gene_0542	tr2	-5710.462982	-5708.394451	-5710.361451
Gene_0548	tr2	-23812.838839	-23808.794728	-23810.926339
Gene_0557	tr2	-26384.388309	-26378.139612	-26386.045407
Gene_0563	tr3	-21735.055968	-21740.051609	-21733.329027
Gene_0565	tr2	-33698.148614	-33689.259054	-33696.572053
Gene_0568	tr2	-38101.547746	-38093.349333	-38102.10087
Gene_0576	tr3	-24172.614593	-24172.423856	-24169.195471
Gene_0601	tr2	-8863.778897	-8862.543902	-8864.045795
Gene_0604	tr2	-14719.447745	-14718.957403	-14719.316886
Gene_0608	tr2	-6213.946055	-6213.407465	-6213.514637
Gene_0614	tr3	-19711.913831	-19712.863979	-19711.763505
Gene_0615	tr2	-13966.7639	-13963.599005	-13966.243264
Gene_0622	tr2	-6481.434928	-6477.893378	-6482.230977
Gene_0623	tr2	-8886.749274	-8880.549655	-8887.834402
Gene_0624	tr2	-7148.253648	-7144.152042	-7148.472913
Gene_0625	tr2	-20691.218708	-20689.298331	-20690.153563
