	chang.fas	rpl14a	rpl34	tribe320	cct	stbproptase2a	cct	tribe1200	rpl20	rpl4B	rps19	rpl39	nsf1	nsf1	ef1	hsp90	tribe1244	nsf1	tribe965	rps10	tribe832	tif2a	cct	rps22a	ar21	orf2	psmb	cpn60	tribe572	cct	wrs	psmb	if2p	cct	rpl12b	vata	nsf1	rpl1	tribe1381	rpl37a	rps15	rpl6	rps5	tribe1099	mcm	rps25	rpl22	pyrdehydroe1b	rpl25	tribe1007	psmb	rpl23a	tribe495	rpl30	mcm	pace2	rpl27	l12e	ef2	hsp70	nsf1	rpl32	psma	l12e	l12e	rpl3	xpb	tribe896	tribe508	ef2	pace5	srp54	rps11	rpl19a	rpl24	rpl36	psma	nsf2	vatpased	psmb	psmb	vate	crfg	suca	psmb	u2snrnp	rps13a	w09c	rpl9	mra1	rrp46	if2g	cct	sra	rps4	psmb	rps20	rps29	rpl18	tribe942	rpl21	tribe1121	tribe629	rla2	rps16	rpo	vatb	rpl16b	vatc	tribe333	rps24	tribe1294	tribe1374	rpl43b	rps28a	pace2	cct	rpl42	yif1p	rps7	rpp0	dihydrolatransacylase	tribe852	if1a	fpps	stcproptase2a	rpl35	psma	rps18	rps1	if2b	rps8	rpl11b	rpo	ornamtrans	mcm	rpl17	tribe893	if4a	tribe801	rps23	psma	rps2	srs	rpl38	rps27	rps6	tribe717	tribe542	l12e	rpl33a	tribe961	psma	rpl24	mcm	ef1	arp23	topo1	tribe768	tribe629	rps14	tribe930	mcm	vacaatpasepl21	nsf1	glcn	rf1	rpl7	pyrdehydroe1b	sap40	tribe585	grc5	if4a	tribe340	pace2	rpl5	psma	rpl26	rps9	atpsynthalpha	nsf2	nsf2	fibri	psma	if6	cct	mcm	rps26	rpl13	rpo	ef2	rps17	arc20	rpl2	hsp70	tribe765	tribe1381	rps3	rpl31	rpl15a	hsp90
Eunicella_cavolinii	0.3243	1.0000	1.0000	1.0000	0.3380	0.1711	0.3380	0.7215	0.5390	0.6250	1.0000	1.0000	0.0156	0.0156	0.1535	0.4870	0.0756	0.0156	0.0000	0.5109	0.2983	0.0662	0.3380	0.0543	1.0000	0.0000	0.0000	0.2490	0.1088	0.3380	0.0296	0.0000	0.0000	0.3380	1.0000	0.0000	0.0156	1.0000	0.0000	1.0000	0.7536	0.3917	0.6809	0.0000	0.2707	1.0000	1.0000	0.0000	1.0000	0.3694	0.0000	0.2558	1.0000	0.0000	0.2707	0.9440	1.0000	0.9573	1.5063	0.0238	0.0156	0.1240	0.2979	0.9573	0.9573	0.6931	0.2513	0.0000	0.5120	1.5063	0.3805	0.0939	0.3185	0.8023	2.0000	0.0779	0.2979	0.3578	0.0000	0.0000	0.0000	0.5581	0.0409	0.1359	0.0000	0.0429	1.0000	0.0000	0.4971	0.2682	0.0000	0.0632	0.3380	0.1901	0.1548	0.0000	1.0000	0.3333	0.2229	0.0000	1.0000	0.0000	0.0000	0.0000	0.5072	2.8206	0.0000	0.4343	0.0683	0.0000	0.1316	0.0000	0.0112	0.6437	1.0000	0.9440	0.3380	1.0000	0.2971	1.0000	1.0000	0.4626	0.0000	0.6435	0.0000	1.0000	1.0000	0.2979	0.7517	1.0000	0.0000	1.0000	1.0000	2.8206	0.0000	0.2707	0.6205	0.0000	0.1198	0.5594	0.6224	0.2979	0.7824	0.0075	0.0308	0.0714	0.6682	0.0114	0.0723	0.9573	1.0000	0.3472	0.2979	2.0000	0.2707	0.1535	0.5228	0.0020	0.0000	0.0000	0.2910	0.2745	0.2707	0.0000	0.0156	0.0000	0.0000	0.8122	0.0000	1.0000	0.0979	1.0000	0.1198	1.0000	0.9440	0.7079	0.2979	0.3858	0.8430	1.0000	0.3578	0.3578	0.1150	0.2979	0.0388	0.3380	0.2707	1.0000	1.0000	2.8206	1.5063	0.6602	0.3155	0.3911	0.0238	0.1026	0.0000	0.7108	1.0000	1.0000	0.4870
Stephanoeca_diplocostata	0.0485	0.0000	0.0280	0.0103	0.0161	0.0973	0.0161	0.0000	0.0000	0.0000	0.0000	0.0392	0.4219	0.4219	0.0256	0.0069	0.0058	0.4219	1.0000	0.0000	0.0000	0.0147	0.0161	0.0000	0.0000	0.0056	0.0000	0.0000	0.0136	0.0161	0.0089	0.0000	0.0038	0.0161	0.0000	0.0256	0.4219	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2432	0.0451	0.0000	0.0000	0.1750	0.0000	0.0000	0.0000	0.0000	0.0268	0.0000	0.0451	0.0000	0.0074	0.0000	0.0190	0.0000	0.4219	0.0000	1.9660	0.0000	0.0000	0.0000	0.4229	0.0376	0.0000	0.0190	0.1951	0.0501	0.0000	0.0000	0.0000	0.0000	1.9660	0.0042	0.0000	0.0000	0.0000	0.0093	0.0733	0.0000	0.0000	0.0000	0.0000	0.0000	0.0058	0.0000	0.0000	0.0090	0.0161	0.2135	0.0000	0.0000	0.0206	0.0000	0.0060	0.1019	0.0000	0.0123	0.0000	0.0000	0.0000	0.0543	0.0000	0.0000	0.0000	0.0722	0.0175	0.0000	0.3371	0.0000	0.0000	0.0000	0.0161	0.0000	0.0072	0.0125	0.0000	0.0238	0.1753	0.0000	0.0085	0.0000	0.0000	1.9660	0.0067	0.0045	0.0000	0.0000	0.0000	0.0543	0.0000	0.0451	0.0181	0.5093	0.0000	0.0000	0.0000	1.9660	0.0000	0.0125	0.0154	0.0119	0.0000	0.1818	0.4217	0.0000	0.0000	0.5903	1.9660	0.0000	0.0451	0.0256	0.0000	0.0099	0.0000	0.0000	0.0000	0.2451	0.0451	0.1608	0.4219	0.1333	0.0000	0.0000	0.1750	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.9660	0.0472	0.0000	0.0000	0.0042	0.0042	0.0044	1.9660	0.0086	0.0161	0.0451	0.0000	0.0065	0.0543	0.0190	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0069
Mnemiopsis_leidyi	0.0178	0.0000	0.1028	0.0206	0.0322	0.0034	0.0322	0.0000	0.0130	0.0169	0.0000	0.0000	0.0000	0.0000	0.0051	0.0104	0.0698	0.0000	0.0000	0.0543	0.0000	0.0000	0.0322	0.0155	0.0131	0.0000	0.0000	0.0000	0.0000	0.0322	0.0000	0.0000	0.0000	0.0322	0.0000	0.0000	0.0000	0.0000	0.0180	0.0000	0.0000	0.0167	0.0000	0.0000	0.0113	0.0000	0.0000	0.0000	0.0000	0.0180	0.0000	0.0000	0.0089	0.0000	0.0113	0.0000	0.0000	0.0000	1.4873	0.0000	0.0000	0.0078	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.4873	0.0000	0.0543	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2611	0.0000	0.0000	0.0000	0.0022	0.0000	0.0000	0.0000	0.0132	0.0000	0.0173	0.0056	0.0000	0.0000	0.0322	0.0000	0.0000	0.0000	0.0000	0.0000	0.0060	0.0000	0.0000	0.0123	0.0000	0.0000	0.0000	0.1416	0.0000	0.0000	0.0036	0.0000	0.0000	0.0000	0.0506	0.0345	0.0000	0.0000	0.0322	0.0476	0.0072	0.0000	0.0000	0.0000	0.0103	0.0174	0.0000	0.0000	0.0000	0.0000	0.0000	0.0045	0.0000	0.0000	0.0061	0.1416	0.1114	0.0113	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0154	0.0238	0.0000	0.0000	0.0000	0.0000	0.0000	0.0208	0.0000	0.0000	0.0113	0.0051	0.0000	0.0020	0.0000	0.0000	0.0000	0.0196	0.0113	0.0000	0.0000	0.4105	0.0444	0.0047	0.0000	0.0052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0322	0.0113	0.0000	0.0000	0.1416	1.4873	0.0000	0.0000	0.0000	0.0000	0.0000	0.0180	0.0000	0.0000	0.0000	0.0104
Sphaeroforma_arctica_jp610	0.0196	0.0157	0.0000	0.0000	0.0322	0.0000	0.0322	0.0000	0.0000	0.0000	0.0000	0.0000	0.0312	0.0312	0.0102	0.0104	0.0058	0.0312	0.0000	0.0000	0.0000	0.0294	0.0322	0.0000	0.0327	0.0000	0.0000	0.0000	0.0000	0.0322	0.0089	0.0000	0.0000	0.0322	0.0000	0.0017	0.0312	0.0000	0.0000	0.0123	0.0072	0.0000	0.0053	0.0090	0.0000	0.0000	0.0000	0.0000	0.0000	0.0090	0.0000	0.0000	0.0045	0.0000	0.0000	0.0000	0.0000	0.0000	0.0063	0.0000	0.0312	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0269	0.0000	0.0063	0.0000	0.0063	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0047	0.0000	0.0000	0.0000	0.0000	0.0066	0.0000	0.0231	0.0000	0.0000	0.0000	0.0322	0.0000	0.0000	0.0000	0.0000	0.0000	0.0060	0.0000	0.0138	0.0000	0.0000	0.0000	0.0000	0.0094	0.0000	0.0000	0.0000	0.0000	0.0088	0.0000	0.0674	0.0000	0.0000	0.0000	0.0322	0.0000	0.0000	0.0063	0.0038	0.0068	0.0103	0.0000	0.0000	0.0000	0.0000	0.0000	0.0067	0.0045	0.0000	0.0000	0.0000	0.0094	0.0000	0.0000	0.0422	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0769	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0102	0.0000	0.0179	0.0000	0.0000	0.0000	0.0784	0.0000	0.0000	0.0312	0.0035	0.0049	0.0000	0.0000	0.0000	1.0000	0.0191	0.0000	0.0000	0.0000	0.0000	0.0000	0.0630	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0322	0.0000	0.0303	0.0000	0.0094	0.0063	0.0000	0.0000	0.0121	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0104
Beroe_abyssicola	0.0897	0.0000	0.0187	0.0206	0.0322	0.0034	0.0322	0.0000	0.0130	0.0169	0.0000	0.0000	0.4531	0.4531	0.0051	0.0104	0.0000	0.4531	0.0000	0.0543	0.0000	0.0588	0.0322	0.0543	0.0131	0.0000	0.0000	0.0000	0.0000	0.0322	0.0651	0.0000	0.0000	0.0322	0.0000	0.0000	0.4531	0.0000	0.0180	0.0000	0.0000	0.0167	0.0000	0.0000	0.0113	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0089	0.0000	0.0113	0.0000	0.0000	0.0000	3.0000	0.0646	0.4531	0.0078	0.0000	0.0000	0.0000	0.0000	0.9168	0.0000	0.0000	3.0000	0.0000	0.2693	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0022	0.0000	0.0000	0.0000	0.0132	0.0000	0.0173	0.0279	0.0000	0.0000	0.0322	0.0000	0.0000	0.0000	0.0000	0.0000	0.0060	0.0000	0.0000	0.0123	2.0000	0.0000	0.0000	3.0000	0.0000	0.0000	0.0899	0.0000	0.0000	0.0000	0.0506	0.0000	0.0000	0.0000	0.0322	0.0095	0.0072	0.0063	0.0000	0.0000	0.0103	0.0174	0.0000	0.0000	0.0000	0.0000	0.0134	0.0091	0.0000	0.0000	0.0061	3.0000	0.0000	0.0113	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0154	0.0238	0.0000	0.0000	0.0000	0.0000	0.0000	0.0486	0.0000	0.0000	0.0113	0.0051	0.0000	0.0020	0.0000	2.0000	0.0000	0.0196	0.0113	0.0000	0.4531	0.0000	0.0049	0.0047	0.0000	0.6598	0.0000	0.0048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0322	0.0113	0.0000	0.0000	3.0000	3.0000	0.0000	0.0000	0.0000	0.0646	0.0000	0.0180	0.0000	0.0000	0.0000	0.0104
Patiria_miniata	0.0525	0.0000	0.0000	0.0000	0.0322	0.0000	0.0322	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0322	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0322	0.2071	0.0000	0.0702	0.0322	0.0000	0.0119	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1812	0.0000	0.0000	0.0000	0.0000	0.0045	0.0000	0.0000	0.0259	0.0000	0.0000	1.1772	0.0000	0.0000	0.0000	0.0298	0.0000	0.0000	0.0000	0.0953	0.0000	0.0000	1.1772	0.0780	0.0000	0.0000	0.0000	0.0000	0.0130	0.0298	0.0000	0.0000	0.0000	0.0000	0.0000	0.0022	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0894	0.0000	0.0000	0.0322	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0456	0.0487	0.0000	0.0899	0.0000	0.0000	0.0000	0.0056	0.0000	0.0000	0.0259	0.0322	0.0190	0.3406	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0298	0.0000	0.0000	0.0000	0.0000	0.0000	1.0456	0.3125	0.0000	0.0000	0.0000	0.0000	0.0350	0.0070	0.0298	0.0000	0.0075	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0298	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2211	0.0000	0.0000	0.1812	0.0000	0.0103	0.0000	0.0000	0.0000	0.0259	0.0075	0.0298	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0298	0.2155	0.0322	0.0000	0.0000	0.0000	1.0456	1.1772	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Latimeria_menadoensis	0.0047	0.0000	0.0000	0.0000	0.0161	0.0000	0.0161	0.0000	0.0130	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0161	0.0000	0.0000	0.0000	0.0000	0.0138	0.0000	0.0161	0.0473	0.0000	0.0000	0.0161	0.1013	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0161	0.0000	0.0000	0.0000	0.0000	0.0000	0.0361	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0354	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0161	0.0190	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0354	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2937	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0161	0.0000	0.0000	0.0000	0.0354	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Ectopleura_larynx	0.0183	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0051	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0155	0.0000	0.0000	0.0387	0.0020	0.0000	0.0000	0.0000	0.0387	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0387	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0127	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0127	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0387	0.0387	0.0047	0.0022	0.0000	0.0387	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1901	0.0952	0.0387	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0476	0.0000	0.0063	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0045	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0093	0.0000	0.0000	0.0000	0.0000	0.0000	0.0025	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0051	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0075	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0127	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Tetracapsuloides_bryosalmonae	0.9258	1.0000	1.0000	1.0000	8.0000	1.0000	8.0000	1.0000	0.0065	0.4257	1.0000	1.0000	6.0000	6.0000	2.0000	2.0000	1.0000	6.0000	0.0154	1.0000	1.0000	1.0000	8.0000	1.0000	1.0000	1.0000	7.0000	1.0000	0.4014	8.0000	1.0000	7.0000	1.0000	8.0000	1.0000	1.0000	6.0000	1.0000	2.0000	1.0000	1.0000	1.0000	1.0000	1.0000	6.0000	1.0000	0.0000	2.0000	1.0000	1.0000	7.0000	0.3256	1.0000	1.0000	6.0000	3.0000	1.0000	4.0000	3.0000	2.0000	6.0000	1.0000	7.0000	4.0000	4.0000	1.0000	1.0000	1.0000	1.0000	3.0000	1.0000	0.4656	1.0000	1.0000	0.0000	1.0000	7.0000	3.0000	1.0000	7.0000	7.0000	1.0000	1.0000	1.0000	7.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	8.0000	1.0000	0.1468	7.0000	1.0000	1.0000	0.0361	1.0000	1.0000	1.0000	2.0000	1.0000	1.0000	3.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	3.0000	8.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	7.0000	1.0000	1.0000	1.0000	0.2874	1.0000	3.0000	1.0000	6.0000	1.0000	1.0000	0.9062	1.0000	1.0000	7.0000	0.2870	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	4.0000	1.0000	1.0000	7.0000	0.0000	6.0000	2.0000	1.0000	1.0000	1.0000	2.0000	1.0000	1.0000	6.0000	0.0000	6.0000	1.0000	0.5802	1.0000	2.0000	1.0000	1.0000	1.0000	0.9062	1.0000	3.0000	1.0000	7.0000	1.0000	0.0058	1.0000	3.0000	3.0000	1.0000	7.0000	1.0000	8.0000	6.0000	1.0000	1.0000	3.0000	3.0000	0.0000	1.0000	1.0000	2.0000	1.0000	2.0000	1.0000	1.0000	0.0197	2.0000
Corticium_candelabrum	0.0196	0.0000	0.0000	0.0000	0.0322	0.0000	0.0322	0.0506	0.0000	0.0338	0.0155	0.0196	0.0000	0.0000	0.1432	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0257	0.0322	0.1318	0.0980	0.0787	0.0000	0.0000	0.1088	0.0322	0.0000	0.0000	0.0171	0.0322	0.0000	0.0000	0.0000	0.0279	0.0721	0.0000	0.0072	0.0333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1481	0.0000	0.0063	0.0000	0.0000	0.1240	0.5064	0.0000	0.0000	0.0423	0.0000	0.0215	0.0000	0.0063	0.0000	0.0188	0.0074	0.1412	0.0177	0.0000	0.5064	0.1956	0.1232	0.0000	0.0000	0.0326	0.0474	0.0000	0.0000	0.1350	0.4106	0.0000	0.0347	0.0000	0.0000	0.0000	0.0322	0.0994	0.0040	0.0000	0.0000	0.0000	0.0060	0.0000	0.0345	0.1358	0.0000	0.0000	0.0145	0.0000	0.0000	0.0000	0.0108	0.0000	0.2632	0.2681	0.0955	0.0230	0.0000	0.0000	0.0322	0.0190	0.0000	0.0000	0.0267	0.0068	0.0103	0.0000	0.0000	0.0103	0.0000	0.5064	0.0067	0.0545	0.0000	0.0000	0.0121	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0140	0.0000	0.5064	0.0000	0.0000	0.0154	0.0238	0.2009	0.2045	0.0000	0.0000	0.0323	0.0694	0.5064	0.0177	0.0000	0.1432	0.0000	0.0000	0.0082	0.0000	0.0000	0.0294	0.0000	0.1469	0.0000	0.0000	0.0074	0.0047	0.0000	0.0000	0.0773	0.0000	0.0000	0.0000	0.0000	0.0674	0.5064	0.0079	0.0407	0.0000	0.1956	0.1956	0.1770	0.5064	0.0043	0.0322	0.0000	0.1515	0.0000	0.0000	0.0063	0.0097	0.0000	0.0000	0.0000	0.0000	0.0721	0.0686	0.0000	0.0591	0.0000
