Basefrequencies
File	Clade	N taxa (informative)	p(A)	p(V)	p(L)	p(I)	p(P)	p(M)	p(F)	p(W)	p(G)	p(S)	p(T)	p(C)	p(N)	p(Q)	p(Y)	p(D)	p(E)	p(K)	p(R)	p(H)	p(Hydrophobic)	p(Hydrophilic)	p(Polar)	p(Nonpolar)	p(Positive)	p(Neutral)	p(Negative)	RCFV Value	csRCFV (A)	csRCFV (V)	csRCFV (L)	csRCFV (I)	csRCFV (P)	csRCFV (M)	csRCFV (F)	csRCFV (W)	csRCFV (G)	csRCFV (S)	csRCFV (T)	csRCFV (C)	csRCFV (N)	csRCFV (Q)	csRCFV (Y)	csRCFV (D)	csRCFV (E)	csRCFV (K)	csRCFV (R)	csRCFV (H)	csRCFV (Hydrophobic)	csRCFV (Hydrophilic)	csRCFV (Polar)	csRCFV (Nonpolar)	csRCFV (Positive)	csRCFV (Neutral)	csRCFV (Negative)	Chi-square value	Degrees of freedom	p-value	p(sites)	p(Gap) [-]	p(Ambiguity) [X]	p(Missing Data) [?]	csRCFV (Gap)	csRCFV (Ambiguity)	p_uninformative sites	p_inv(state)	p_inv(structure)	p_inv(polarity)	p_inv(charge)
sup.fas	0 All_Taxa	97	0.0686	0.0206	0.0589	0.0493	0.0383	0.0363	0.0555	0.0133	0.0586	0.0638	0.0253	0.0545	0.0716	0.0253	0.0596	0.0646	0.1119	0.0379	0.0473	0.0390	0.3649	0.6351	0.5045	0.4955	0.1192	0.7617	0.1191	0.0391	0.0055	0.0007	0.0011	0.0013	0.0023	0.0014	0.0029	0.0004	0.0019	0.0045	0.0009	0.0009	0.0029	0.0007	0.0044	0.0019	0.0024	0.0011	0.0013	0.0008	0.0042	0.0042	0.0063	0.0063	0.0024	0.0041	0.0019	68511.74208	1824	0	0.6075	0.0000	0.0000	0.3925	0.0000	0.0000	0.3925	0.0000	0.0000	0.0000	0.0000
V2META10033_1_42_Calc_Hmm10_BMGE05	0 All_Taxa	63	0.0650	0.0088	0.0679	0.0540	0.0310	0.0311	0.0770	0.0082	0.0448	0.0782	0.0249	0.0704	0.0650	0.0178	0.0759	0.0759	0.0823	0.0454	0.0315	0.0450	0.3328	0.6672	0.5343	0.4657	0.1552	0.6984	0.1463	0.0796	0.0040	0.0018	0.0038	0.0038	0.0035	0.0026	0.0054	0.0017	0.0049	0.0060	0.0029	0.0059	0.0045	0.0030	0.0054	0.0057	0.0042	0.0039	0.0027	0.0041	0.0097	0.0097	0.0108	0.0108	0.0080	0.0121	0.0058	548.139249999999	1178	1.00000	0.8237	0.0000	0.0000	0.1763	0.0000	0.0000	0.4650	0.0000	0.0000	0.0000	0.0000
V2META10033_2_1_42_Calc_Hmm10_BMGE05	0 All_Taxa	81	0.0720	0.0185	0.0692	0.0511	0.0318	0.0291	0.0644	0.0048	0.0455	0.0781	0.0322	0.0615	0.0709	0.0170	0.0655	0.0765	0.0894	0.0428	0.0365	0.0433	0.3436	0.6564	0.5163	0.4837	0.1425	0.7195	0.1380	0.1002	0.0079	0.0030	0.0041	0.0050	0.0040	0.0035	0.0058	0.0013	0.0052	0.0081	0.0046	0.0057	0.0062	0.0036	0.0055	0.0087	0.0061	0.0044	0.0032	0.0046	0.0127	0.0127	0.0121	0.0121	0.0052	0.0101	0.0082	754.95289	1520	1.00000	0.8216	0.0000	0.0000	0.1784	0.0000	0.0000	0.3139	0.0000	0.0000	0.0000	0.0000
V2META10053_2_1_42_Calc_Hmm10_BMGE05	0 All_Taxa	65	0.0781	0.0187	0.0650	0.0623	0.0354	0.0320	0.0680	0.0004	0.0628	0.0606	0.0259	0.0684	0.0758	0.0275	0.0611	0.0577	0.0982	0.0297	0.0317	0.0408	0.3363	0.6637	0.5230	0.4770	0.1286	0.7454	0.1260	0.0922	0.0071	0.0027	0.0063	0.0050	0.0059	0.0024	0.0040	0.0005	0.0053	0.0070	0.0038	0.0062	0.0057	0.0032	0.0074	0.0037	0.0057	0.0033	0.0041	0.0032	0.0078	0.0078	0.0090	0.0090	0.0075	0.0116	0.0067	793.71906	1216	1.00000	0.8247	0.0000	0.0000	0.1753	0.0000	0.0000	0.4474	0.0000	0.0000	0.0000	0.0000
V2META10054_1_1_42_Calc_Hmm10_BMGE05	0 All_Taxa	69	0.0907	0.0196	0.0669	0.0627	0.0379	0.0218	0.0385	0.0132	0.0633	0.0527	0.0278	0.0456	0.0913	0.0124	0.0799	0.0658	0.0973	0.0263	0.0442	0.0423	0.3954	0.6046	0.4465	0.5535	0.0912	0.7975	0.1113	0.0616	0.0047	0.0019	0.0034	0.0032	0.0026	0.0021	0.0028	0.0014	0.0039	0.0035	0.0029	0.0025	0.0044	0.0015	0.0039	0.0028	0.0062	0.0022	0.0029	0.0026	0.0097	0.0097	0.0084	0.0084	0.0046	0.0065	0.0031	548.8855	1292	1.00000	0.8615	0.0000	0.0000	0.1385	0.0000	0.0000	0.3872	0.0000	0.0000	0.0000	0.0000
V2META10054_1_2_2_42_Calc_Hmm10_BMGE05	0 All_Taxa	53	0.0791	0.0169	0.0808	0.0695	0.0374	0.0133	0.0356	0.0081	0.0645	0.0495	0.0487	0.0451	0.0909	0.0079	0.0852	0.0454	0.1020	0.0324	0.0476	0.0400	0.4107	0.5893	0.4176	0.5824	0.0852	0.8244	0.0905	0.0777	0.0063	0.0029	0.0048	0.0040	0.0032	0.0018	0.0033	0.0015	0.0040	0.0056	0.0031	0.0038	0.0061	0.0025	0.0065	0.0042	0.0052	0.0030	0.0039	0.0020	0.0103	0.0103	0.0087	0.0087	0.0058	0.0076	0.0037	583.17627	988	1.00000	0.7838	0.0000	0.0000	0.2162	0.0000	0.0000	0.5717	0.0000	0.0000	0.0000	0.0000
V2META10062_1_1_42_Calc_Hmm10_BMGE05	0 All_Taxa	60	0.0380	0.0170	0.0521	0.0480	0.0620	0.0514	0.0588	0.0258	0.0596	0.0755	0.0217	0.0711	0.0683	0.0293	0.0669	0.0521	0.0934	0.0229	0.0473	0.0387	0.3318	0.6682	0.5478	0.4522	0.1344	0.7425	0.1231	0.0842	0.0054	0.0022	0.0040	0.0039	0.0071	0.0046	0.0063	0.0021	0.0052	0.0053	0.0029	0.0039	0.0046	0.0028	0.0055	0.0044	0.0043	0.0033	0.0036	0.0028	0.0081	0.0081	0.0105	0.0105	0.0054	0.0080	0.0050	533.093159999999	1121	1.00000	0.8381	0.0000	0.0000	0.1619	0.0000	0.0000	0.4816	0.0000	0.0000	0.0000	0.0000
V2META10062_2_1_42_Calc_Hmm10_BMGE05	0 All_Taxa	59	0.0406	0.0172	0.0547	0.0432	0.0443	0.0413	0.0576	0.0312	0.0729	0.0862	0.0203	0.0484	0.0665	0.0349	0.0771	0.0287	0.0980	0.0300	0.0545	0.0522	0.3741	0.6259	0.5048	0.4952	0.1439	0.7790	0.0771	0.1155	0.0063	0.0034	0.0050	0.0063	0.0051	0.0055	0.0069	0.0026	0.0065	0.0097	0.0041	0.0052	0.0073	0.0050	0.0087	0.0047	0.0074	0.0051	0.0050	0.0054	0.0079	0.0079	0.0085	0.0085	0.0098	0.0078	0.0075	754.361610000001	1102	1.00000	0.8019	0.0000	0.0000	0.1981	0.0000	0.0000	0.5122	0.0000	0.0000	0.0000	0.0000
V2META10062_2_2_2_2_1_42_Calc_Hmm10_BMGE05	0 All_Taxa	52	0.0457	0.0194	0.0472	0.0451	0.0532	0.0425	0.0695	0.0081	0.0649	0.0819	0.0256	0.0591	0.0627	0.0257	0.0684	0.0406	0.1175	0.0298	0.0483	0.0447	0.3584	0.6416	0.5316	0.4684	0.1513	0.7490	0.0997	0.0894	0.0055	0.0025	0.0037	0.0050	0.0036	0.0046	0.0057	0.0013	0.0054	0.0068	0.0039	0.0034	0.0052	0.0035	0.0049	0.0054	0.0063	0.0049	0.0036	0.0037	0.0084	0.0084	0.0088	0.0088	0.0070	0.0112	0.0051	516.61562	969	1.00000	0.8523	0.0000	0.0000	0.1477	0.0000	0.0000	0.5431	0.0000	0.0000	0.0000	0.0000
V2META10079_1_1_1_42_Calc_Hmm10_BMGE05	0 All_Taxa	76	0.0805	0.0165	0.0500	0.0612	0.0339	0.0100	0.0827	0.0019	0.0519	0.0572	0.0293	0.0441	0.0811	0.0247	0.0686	0.0692	0.1211	0.0408	0.0346	0.0405	0.3765	0.6235	0.4924	0.5076	0.1400	0.7467	0.1133	0.1092	0.0076	0.0029	0.0039	0.0053	0.0057	0.0027	0.0073	0.0013	0.0057	0.0088	0.0041	0.0045	0.0074	0.0037	0.0080	0.0065	0.0101	0.0055	0.0033	0.0047	0.0116	0.0116	0.0104	0.0104	0.0076	0.0108	0.0063	778.011029999999	1425	1.00000	0.8639	0.0000	0.0000	0.1361	0.0000	0.0000	0.3232	0.0000	0.0000	0.0000	0.0000
