gene_id	tree_supported	tr1_log-likelihood	tr2_log-likelihood	tr3_log-likelihood
103_topo1.faa.mafft.aa.ali	tr1	-26475.541821	-26478.317923	-26477.467717
114_rps6.faa.muscle.aa.ali	tr3	-10566.335848	-10565.611216	-10565.413923
119_rpo.faa.mafft.aa.ali	tr2	-52011.7583050001	-52005.157834	-52016.593796
120_rpl2.faa.prank.best.fas.aa.ali	tr2	-9893.05097600001	-9891.119432	-9893.432851
135_rpl4B.faa.mafft.aa.ali	tr2	-15095.151377	-15092.806046	-15094.986358
141_rps1.faa.muscle.aa.ali	tr2	-10296.507401	-10294.6425	-10298.121166
145_nsf1.faa.prank.best.fas.aa.ali	tr2	-10238.852962	-10234.106266	-10238.071445
156_mcm.faa.prank.best.fas.aa.ali	tr1	-23434.544626	-23436.1473	-23436.271013
162_tribe1381.faa.mafft.aa.ali	tr1	-11825.771222	-11826.243933	-11826.251103
171_rrp46.faa.mafft.aa.ali	tr1	-10911.364043	-10912.777308	-10911.459012
173_vatpased.faa.mafft.aa.ali	tr2	-8690.78551999999	-8689.042986	-8691.77655100001
174_cct.faa.muscle.aa.ali	tr2	-29228.573365	-29223.963315	-29226.433396
185_rpo.faa.prank.best.fas.aa.ali	tr2	-47186.893337	-47168.0300739999	-47185.8617450001
192_rpl19a.faa.mafft.aa.ali	tr2	-7068.919849	-7066.951524	-7068.609356
20_sra.faa.prank.best.fas.aa.ali	tr2	-14078.898731	-14070.425913	-14078.426168
23_cct.faa.prank.best.fas.aa.ali	tr3	-22242.754697	-22241.007286	-22240.337602
26_mcm.faa.muscle.aa.ali	tr3	-22084.439704	-22085.825229	-22083.52385
30_cct.faa.prank.best.fas.aa.ali	tr2	-25022.165346	-25019.194536	-25021.996627
33_mcm.faa.mafft.aa.ali	tr2	-23618.447396	-23610.277848	-23619.797152
35_srp54.faa.muscle.aa.ali	tr2	-17359.772133	-17357.716521	-17357.727271
37_mcm.faa.prank.best.fas.aa.ali	tr2	-25032.902728	-25027.565269	-25027.752055
42_ef2.faa.muscle.aa.ali	tr3	-31857.26695	-31856.966204	-31854.659279
50_nsf2.faa.mafft.aa.ali	tr2	-18846.798152	-18842.990576	-18849.166355
54_tribe896.faa.muscle.aa.ali	tr2	-9869.040667	-9868.84893199999	-9868.896066
59_nsf1.faa.muscle.aa.ali	tr1	-11552.333044	-11555.097518	-11552.478036
61_mcm.faa.muscle.aa.ali	tr2	-27850.987916	-27847.134404	-27848.597241
63_mcm.faa.muscle.aa.ali	tr2	-23295.020899	-23283.258787	-23292.351773
64_psma.faa.mafft.aa.ali	tr1	-7900.53329	-7905.162426	-7904.868818
77_ef2.faa.mafft.aa.ali	tr2	-31860.611754	-31858.654011	-31860.877125
80_rpl26.faa.prank.best.fas.aa.ali	tr2	-5728.321078	-5725.615471	-5729.127082
84_rpo.faa.mafft.aa.ali	tr2	-29233.912536	-29232.189056	-29233.882261
86_ef1.faa.prank.best.fas.aa.ali	tr2	-19581.8353	-19577.343886	-19581.835537
8_vate.faa.prank.best.fas.aa.ali	tr2	-15274.096716	-15274.079444	-15274.138353
94_hsp70.faa.muscle.aa.ali	tr2	-24846.332415	-24840.469223	-24844.080621
