	chang.fas	rpl14a	rpl34	tribe320	cct	stbproptase2a	cct	tribe1200	rpl20	rpl4B	rps19	rpl39	nsf1	nsf1	ef1	hsp90	tribe1244	nsf1	tribe965	rps10	tribe832	tif2a	cct	rps22a	ar21	orf2	psmb	cpn60	tribe572	cct	wrs	psmb	if2p	cct	rpl12b	vata	nsf1	rpl1	tribe1381	rpl37a	rps15	rpl6	rps5	tribe1099	mcm	rps25	rpl22	pyrdehydroe1b	rpl25	tribe1007	psmb	rpl23a	tribe495	rpl30	mcm	pace2	rpl27	l12e	ef2	hsp70	nsf1	rpl32	psma	l12e	l12e	rpl3	xpb	tribe896	tribe508	ef2	pace5	srp54	rps11	rpl19a	rpl24	rpl36	psma	nsf2	vatpased	psmb	psmb	vate	crfg	suca	psmb	u2snrnp	rps13a	w09c	rpl9	mra1	rrp46	if2g	cct	sra	rps4	psmb	rps20	rps29	rpl18	tribe942	rpl21	tribe1121	tribe629	rla2	rps16	rpo	vatb	rpl16b	vatc	tribe333	rps24	tribe1294	tribe1374	rpl43b	rps28a	pace2	cct	rpl42	yif1p	rps7	rpp0	dihydrolatransacylase	tribe852	if1a	fpps	stcproptase2a	rpl35	psma	rps18	rps1	if2b	rps8	rpl11b	rpo	ornamtrans	mcm	rpl17	tribe893	if4a	tribe801	rps23	psma	rps2	srs	rpl38	rps27	rps6	tribe717	tribe542	l12e	rpl33a	tribe961	psma	rpl24	mcm	ef1	arp23	topo1	tribe768	tribe629	rps14	tribe930	mcm	vacaatpasepl21	nsf1	glcn	rf1	rpl7	pyrdehydroe1b	sap40	tribe585	grc5	if4a	tribe340	pace2	rpl5	psma	rpl26	rps9	atpsynthalpha	nsf2	nsf2	fibri	psma	if6	cct	mcm	rps26	rpl13	rpo	ef2	rps17	arc20	rpl2	hsp70	tribe765	tribe1381	rps3	rpl31	rpl15a	hsp90
Eunicella_cavolinii	0.6555				0.6450	0.6680	0.6450	0.7273	0.7465	0.6937			0.6606	0.6606	0.6759	0.6849	0.6667	0.6606	0.7077	0.6444	0.6766	0.6693	0.6450	0.6557		0.6404	0.6685	0.6789	0.6260	0.6450	0.6189	0.6685	0.6376	0.6450		0.6525	0.6606		0.6126		0.7059	0.6849	0.6500	0.6486	0.6555			0.6219		0.7000	0.6685	0.6146		0.7158	0.6555	0.6038		0.6742	0.5932	0.6781	0.6606	0.6726	0.6756	0.6742	0.6742	0.7241	0.6597	0.6398	0.6961	0.5932	0.7323	0.6475	0.7065	0.6857		0.7465	0.6756	0.6346	0.6453	0.6685	0.6685	0.6842	0.6629	0.6492	0.6685	0.7244		0.7188	0.7011	0.6565	0.6250	0.6458	0.6450	0.6390	0.6338	0.6685		0.7778	0.6822	0.6262		0.7160	0.6667	0.5370	0.6912	0.6316	0.6335	0.6970	0.6448	0.7216	0.6970	0.6667	0.7045	0.7419		0.6038	0.6450		0.5155			0.6013	0.7113	0.6098	0.6581			0.6756	0.5946		0.7039			0.6316	0.6576	0.6555	0.6667	0.6759	0.6482	0.5714	0.7037	0.6756	0.7021	0.6768	0.6825	0.7564	0.7324	0.6897	0.7922	0.6742		0.7660	0.6756		0.6555	0.6759	0.6783	0.6978	0.6803	0.6667	0.6526	0.5676	0.6555	0.5245	0.6606	0.5088	0.6642	0.5500	0.6219		0.6114		0.6482		0.6038	0.6538	0.6756	0.7692	0.7778		0.6346	0.6346	0.6550	0.6756	0.7175	0.6450	0.6555			0.6316	0.5932	0.6000	0.6174	0.7086	0.6781	0.6143	0.6126	0.7458			0.6849
Stephanoeca_diplocostata	0.6593	0.6614	0.7596	0.7604	0.6411	0.6914	0.6411	0.6456	0.6948	0.6588	0.7132	0.6939	0.6415	0.6415	0.6503	0.6551	0.7018	0.6415		0.6413	0.6345	0.6866	0.6411	0.6822	0.6209	0.6271	0.6796	0.6700	0.7034	0.6411	0.6328	0.6796	0.6343	0.6411	0.6646	0.6538	0.6415	0.6512	0.6081	0.8148	0.7174	0.6333	0.6755	0.6071	0.6780	0.6941	0.7368	0.6164	0.6803	0.6757	0.6796	0.6202	0.6330	0.7053	0.6780	0.6379	0.7463	0.7009	0.6093	0.6684	0.6415	0.7287	0.7278	0.7009	0.7009	0.7090	0.6366	0.6592	0.6651	0.6093	0.7152	0.6571	0.7037	0.6893	0.7345	0.7792	0.7278	0.6292	0.6059	0.6796	0.6796	0.6901	0.6605	0.6376	0.6796	0.7117	0.6490	0.7070	0.7209	0.6145	0.6591	0.6560	0.6411	0.6543	0.6786	0.6796	0.7158	0.7407	0.6667	0.6216	0.7034	0.7000	0.6543	0.5741	0.6884	0.6506	0.6335	0.6743	0.6799	0.6667	0.6875	0.6377	0.6441	0.7586	0.7458	0.6379	0.6411	0.7810	0.5255	0.6519	0.6107	0.6516	0.6500	0.7043	0.6164	0.6690	0.7000	0.7278	0.7432	0.6941	0.6645	0.7184	0.7152	0.6506	0.6223	0.6780	0.7362	0.7358	0.6667	0.6434	0.6853	0.7278	0.6157	0.6701	0.6719	0.7108	0.7009	0.6250	0.7708	0.7009	0.7097	0.6949	0.7278	0.7345	0.6780	0.6503	0.6680	0.6613	0.6475	0.6543	0.6940	0.6883	0.6780	0.5083	0.6415	0.5223	0.6691	0.6808	0.6164	0.6237	0.5979	0.6411	0.6667	0.6901	0.6379	0.7041	0.7278	0.7190	0.6802	0.6497	0.6292	0.6292	0.6578	0.7278	0.6783	0.6411	0.6780	0.7778	0.6993	0.6506	0.6093	0.6990	0.6310	0.7218	0.6684	0.6538	0.6081	0.6520	0.7228	0.7438	0.6551
Mnemiopsis_leidyi	0.6592	0.6850	0.7500	0.7368	0.6283	0.6869	0.6283	0.6709	0.6711	0.6598	0.6202	0.6275	0.6510	0.6510	0.6641	0.6632	0.6687	0.6510	0.6769	0.6782	0.6303	0.7022	0.6283	0.6929	0.6093	0.6236	0.6796	0.6640	0.6327	0.6283	0.6361	0.6796	0.6433	0.6283	0.6392	0.6525	0.6510	0.6651	0.6045	0.8025	0.6739	0.6017	0.6383	0.5946	0.6667	0.7176	0.6947	0.6188	0.6311	0.6789	0.6796	0.6047	0.6577	0.6842	0.6667	0.6250	0.7407	0.6838	0.6611	0.6871	0.6510	0.6875	0.6894	0.6838	0.6838	0.7011	0.6568	0.6667	0.6842	0.6611	0.7073	0.6578	0.7037	0.7006	0.7080	0.7662	0.6894	0.6255	0.7133	0.6796	0.6796	0.6744	0.6371	0.6551	0.6796	0.6933	0.6577	0.7109	0.7235	0.6517	0.6818	0.6456	0.6283	0.6550	0.6389	0.6796	0.7113	0.7778	0.6788	0.6311	0.7655	0.6500	0.6420	0.5556	0.6812	0.6581	0.6250	0.6514	0.6498	0.7010	0.7018	0.6087	0.6864	0.7500	0.7458	0.6250	0.6283	0.7900	0.5036	0.7000	0.6069	0.6259	0.7083	0.7434	0.6709	0.6552	0.7000	0.6894	0.6980	0.6849	0.7303	0.7069	0.6951	0.6581	0.6453	0.6667	0.6687	0.7130	0.6719	0.6014	0.6993	0.6894	0.6111	0.6917	0.6406	0.7195	0.6869	0.6477	0.7470	0.6838	0.6667	0.7092	0.6894	0.7080	0.6667	0.6641	0.6349	0.6859	0.6803	0.6420	0.6716	0.6000	0.6667	0.5245	0.6510	0.5357	0.6667	0.6226	0.6188	0.6218	0.6082	0.6603	0.6719	0.6761	0.6250	0.7041	0.6894	0.7244	0.6744	0.6415	0.6255	0.6255	0.6504	0.6894	0.6897	0.6283	0.6667	0.7374	0.6753	0.6581	0.6611	0.6893	0.6071	0.7137	0.6871	0.6282	0.6045	0.6863	0.7228	0.7389	0.6632
Sphaeroforma_arctica_jp610	0.6592	0.7040	0.7664	0.7732	0.6525	0.6946	0.6525	0.6203	0.6948	0.6689	0.7054	0.6471	0.6545	0.6545	0.6452	0.6441	0.6316	0.6545	0.6462	0.6196	0.6597	0.6705	0.6525	0.7054	0.5743	0.6517	0.7072	0.6581	0.6054	0.6525	0.6448	0.7072	0.6414	0.6525	0.6139	0.6706	0.6545	0.6465	0.6396	0.7875	0.6496	0.6083	0.6524	0.6364	0.6729	0.6941	0.7263	0.6156	0.6557	0.6682	0.7072	0.6279	0.6054	0.7263	0.6729	0.6250	0.7630	0.6752	0.6512	0.6803	0.6545	0.7519	0.7106	0.6752	0.6752	0.7090	0.6586	0.6298	0.6603	0.6512	0.7024	0.6429	0.7111	0.7175	0.7522	0.7143	0.7106	0.6283	0.6305	0.7072	0.7072	0.7290	0.6573	0.6551	0.7072	0.7055	0.6600	0.6953	0.7337	0.6201	0.6477	0.6569	0.6525	0.6491	0.6667	0.7072	0.7320	0.7593	0.6727	0.6505	0.7343	0.6667	0.6790	0.6111	0.6522	0.6472	0.6547	0.6514	0.6727	0.7113	0.6903	0.6449	0.6687	0.8161	0.7627	0.6250	0.6525	0.7524	0.5435	0.7044	0.5939	0.6438	0.6562	0.7043	0.6282	0.6759	0.6833	0.7106	0.6824	0.7032	0.7303	0.7011	0.6970	0.6472	0.6332	0.6729	0.6730	0.6852	0.6484	0.6294		0.7106	0.6528	0.6316	0.6833	0.6786	0.7383	0.6705	0.7711	0.6752	0.6882	0.7361	0.7106	0.7522	0.6729	0.6452	0.6515	0.6545	0.6475	0.6790	0.6791	0.6170	0.6729	0.4825	0.6545	0.5246	0.6725	0.6761	0.6156	0.6237		0.6927	0.6484	0.6761	0.6250	0.7079	0.7106	0.7479	0.6802	0.6660	0.6283	0.6283	0.7080	0.7106	0.6940	0.6525	0.6729	0.7604	0.6818	0.6472	0.6512	0.6796	0.6369	0.7020	0.6803	0.6538	0.6396	0.6961	0.7327	0.7241	0.6441
Beroe_abyssicola	0.6601	0.7244	0.7810	0.6947	0.6242	0.6835	0.6242	0.6203	0.6645	0.6564	0.6512	0.6275	0.6479	0.6479	0.6538	0.6562	0.6628	0.6479	0.6615	0.6782	0.6429	0.6992	0.6242	0.6967	0.5894	0.6348	0.6961	0.6739	0.6327	0.6242	0.6203	0.6961	0.6414	0.6242	0.6646	0.6576	0.6479	0.6744	0.6182	0.8272	0.6739	0.5932	0.6436	0.6036	0.6610	0.6824	0.7158	0.6188	0.6393	0.6757	0.6961	0.6124	0.6667	0.6842	0.6610	0.6466	0.7556	0.6838		0.6766	0.6479	0.6797	0.6936	0.6838	0.6838	0.6931	0.5833	0.6613	0.6938		0.6829	0.6457	0.7037	0.7062	0.7345	0.8052	0.6936	0.6325	0.6650	0.6961	0.6961	0.6884	0.6350	0.6551	0.6961	0.6871	0.6510	0.7070	0.7059	0.6379	0.6648	0.6479	0.6242	0.6491	0.6548	0.6961	0.7113	0.7778	0.6970	0.6311	0.7724	0.6750		0.5556	0.6957		0.6229	0.6571	0.6522	0.7320	0.7105	0.6377	0.6923	0.7356	0.7458	0.6466	0.6242	0.7885	0.4891	0.6604	0.5840	0.6224	0.7083	0.7345	0.6325	0.6483	0.7000	0.6936	0.7007	0.6972	0.7368	0.7414	0.6951		0.6413	0.6610	0.6566	0.7130	0.6745	0.6014	0.7063	0.6936	0.6065	0.6867	0.6406	0.7195	0.6776	0.6250	0.7229	0.6838	0.7204	0.7007	0.6936	0.7345	0.6610	0.6538	0.6473	0.6879	0.6639		0.6716	0.6100	0.6610	0.5245	0.6479	0.5263	0.6600	0.6415	0.6188	0.6515	0.5979	0.6442	0.6745	0.6761	0.6466	0.7116	0.6936	0.7480	0.6744	0.6558	0.6325	0.6325	0.6460	0.6936	0.6853	0.6242	0.6610	0.7374	0.6753			0.6893	0.5893	0.7016	0.6766	0.6282	0.6182	0.6961	0.7426	0.7488	0.6562
Patiria_miniata	0.6588	0.6614	0.7009	0.7010	0.6384	0.6812	0.6384	0.5823	0.6883	0.6216	0.6977	0.6667	0.6458	0.6458	0.6598	0.6546	0.6744	0.6458	0.6923	0.6196	0.6723	0.6765	0.6384	0.6667		0.6124	0.6354	0.6601	0.6667	0.6384	0.6231	0.6354	0.6306	0.6384	0.6709	0.6586	0.6458	0.6651	0.6036	0.8148	0.6739	0.6500	0.6702	0.6396	0.6729	0.6824	0.7158	0.6220	0.6230	0.6847	0.6354	0.6589	0.6637	0.6842	0.6729	0.6304	0.7407	0.6923	0.6111	0.6752	0.6458	0.7364	0.7009	0.6923	0.6923	0.7143	0.6571	0.6505	0.6603	0.6111	0.7302	0.6430	0.7630	0.7062	0.7168	0.7237	0.7009	0.6436	0.6650	0.6354	0.6354	0.6744	0.6695	0.6341	0.6354	0.7178	0.6424	0.7188	0.7225	0.6319	0.6648	0.6456	0.6384	0.6287	0.6667	0.6354	0.7216	0.7037	0.6687	0.6505	0.7310	0.7037	0.6543	0.5370	0.6957	0.6655	0.6169	0.6629	0.6443	0.6804	0.7544	0.6304	0.7062	0.7586	0.7627	0.6304	0.6384	0.7864	0.5275	0.6500	0.5992	0.6361	0.6701	0.7217	0.6624	0.6552	0.7500	0.7009	0.7047	0.7045	0.7368	0.7011	0.7273	0.6655	0.6324	0.6729	0.6988	0.7315	0.6536	0.5942	0.6972	0.7009	0.6389	0.6894	0.6615	0.7262	0.7103	0.6136		0.6923	0.6774	0.7292	0.7009	0.7168	0.6729	0.6598	0.6598	0.6687	0.6803	0.6543	0.6642	0.6176	0.6729	0.5175	0.6458	0.4820	0.6593	0.6573	0.6220	0.6134	0.5833	0.6651	0.6536	0.6479	0.6304	0.6943	0.7009	0.7717	0.6977	0.6354	0.6436	0.6436	0.6416	0.7009	0.7088	0.6384	0.6729	0.7172	0.6364	0.6655	0.6111	0.6796	0.6190	0.6774	0.6752	0.6282	0.6036	0.6961	0.7327	0.7438	0.6546
Latimeria_menadoensis	0.6554	0.6614	0.7290	0.7010	0.6472	0.6913	0.6472	0.6835	0.6842	0.6385	0.7054	0.7059	0.6615	0.6615	0.6701	0.6528	0.6512	0.6615	0.7385	0.5761	0.6513	0.6949	0.6472	0.6512	0.6209	0.6180	0.6685	0.6713	0.6735	0.6472	0.6242	0.6685	0.6205	0.6472	0.6761	0.6610	0.6615	0.6744	0.5856	0.8148	0.6812	0.5917	0.6543	0.6216	0.6617	0.6824	0.7158	0.6188	0.6393	0.6802	0.6685	0.6434	0.6429	0.6737	0.6617	0.6336	0.7111	0.7009	0.6203	0.6667	0.6615	0.7054	0.6936	0.7009	0.7009	0.7328	0.6586	0.6398	0.6986	0.6203	0.7122	0.6305	0.7407	0.6893	0.6991	0.7013	0.6936	0.6241	0.6404	0.6685	0.6685	0.6558	0.6746	0.6376	0.6685	0.7117	0.6358	0.7148	0.7052	0.6536	0.6534	0.6501	0.6472	0.6140	0.6587	0.6685	0.7010	0.7593	0.7063	0.6165	0.7379	0.6914	0.6543	0.5185	0.6812	0.6529	0.6314	0.6400	0.6691	0.6907	0.7281	0.6377	0.6742	0.7586	0.7797	0.6336	0.6472	0.8058	0.4710	0.6562	0.6221	0.6497	0.6907	0.7130	0.6197	0.6621	0.7250	0.6936	0.6980	0.7091	0.7237	0.7184	0.6848	0.6529	0.6304	0.6617	0.7048	0.7500	0.6641	0.6154	0.7030	0.6936	0.6343	0.6541	0.6615	0.7381	0.7150	0.6591	0.7349	0.7009	0.7097	0.7014	0.6936	0.6991	0.6617	0.6701	0.6307	0.6647	0.6639	0.6543		0.6176	0.6617	0.5035	0.6615	0.4772	0.6716	0.6338	0.6188	0.6082	0.5876	0.6746	0.6641	0.6479	0.6336	0.6891	0.6936	0.7953	0.6744	0.6517	0.6241	0.6241	0.6549	0.6936	0.6810	0.6472	0.6617	0.7172	0.5909	0.6529	0.6203	0.7087	0.6250	0.6774	0.6667	0.6282	0.5856	0.6912	0.7525	0.7143	0.6528
Ectopleura_larynx	0.6597	0.7165	0.7477	0.7423	0.6479	0.6745	0.6479	0.6835	0.6883	0.6453	0.6899	0.6667	0.6536	0.6536	0.6487	0.6511	0.6744	0.6536	0.6769	0.6087	0.6471	0.6949	0.6479	0.6772	0.6078	0.6348	0.7000	0.6733	0.6667	0.6479	0.6213	0.7000	0.6433	0.6479	0.6456	0.6661	0.6536	0.6698	0.5856	0.7901	0.6304	0.6667	0.6383	0.6216	0.6617	0.7059		0.6438	0.6393	0.6892	0.7000	0.6279	0.6562	0.7053	0.6617	0.6422	0.7556	0.6838	0.6208	0.6905	0.6536	0.7442	0.6894	0.6838	0.6838	0.7249	0.6586	0.6290	0.6651	0.6208	0.6927	0.6367	0.7185	0.7062	0.6903	0.7403	0.6894	0.6394	0.6502	0.7000	0.7000	0.6869	0.6674	0.6411	0.7000	0.7239	0.6490	0.7109	0.7052	0.6257	0.6420	0.6524	0.6479	0.6462	0.6930	0.7000	0.7320	0.7593	0.6807	0.6456	0.7655	0.7160	0.6914	0.5185	0.6667	0.6530	0.6208	0.6686	0.6511	0.7010	0.6754	0.6304	0.6685	0.7241	0.7797	0.6422	0.6479	0.8000	0.5000	0.6541	0.6031	0.6565	0.6289		0.6368	0.6517	0.7500	0.6894	0.7248	0.7123	0.7039	0.7011	0.6788	0.6530	0.6386	0.6617	0.6988	0.7009	0.6693	0.6294	0.7063	0.6894	0.6435	0.6884	0.6615	0.7143	0.7103	0.6932	0.7831	0.6838	0.7527	0.6944	0.6894	0.6903	0.6617	0.6487	0.6307		0.6639	0.6914	0.6866	0.6176	0.6617	0.5315	0.6536	0.5439	0.6765	0.6808	0.6438	0.5979	0.5722	0.6651	0.6693	0.7183	0.6422	0.6943	0.6894	0.7559	0.6919	0.6436	0.6394	0.6394	0.6593	0.6894	0.6897	0.6479	0.6617	0.7273	0.6688	0.6530	0.6208	0.6699	0.6071	0.7056	0.6905	0.5897	0.5856	0.6961	0.7327	0.7340	0.6511
Tetracapsuloides_bryosalmonae	0.6618								0.6993	0.7000									0.7031										0.6932																		0.6947					0.7241																				0.6680			0.6903																				0.6744				0.7000																																	0.7177							0.6333				0.6429											0.6903										0.5105			0.6235						0.6333						0.6608													0.6893								0.7186	
Corticium_candelabrum	0.6611	0.7087	0.7570	0.7113	0.6424	0.6879	0.6424	0.6800	0.6818	0.6678	0.6772	0.7200	0.6562	0.6562	0.6722	0.6649	0.6977	0.6562	0.6923	0.5978	0.6555	0.7283	0.6424	0.6964	0.5942	0.6098	0.6354	0.6877	0.7099	0.6424	0.6331	0.6354	0.6409	0.6424	0.6266	0.6610	0.6562	0.6603	0.6262	0.7901	0.6496	0.6638	0.6702	0.5766	0.6673	0.6941	0.7474	0.6312	0.6475	0.6892	0.6354	0.6357	0.6161	0.6842	0.6673	0.6121	0.7043	0.6581	0.6216	0.6786	0.6562	0.7434	0.6881	0.6581	0.6581	0.6989	0.6534	0.6484	0.6555	0.6216	0.7024	0.6426	0.7612	0.7237	0.7500	0.7662	0.6881	0.6677	0.6685	0.6354	0.6354	0.7260	0.6629	0.6446	0.6354	0.6809	0.6067	0.6992	0.7425	0.6201	0.6591	0.6501	0.6424	0.6331	0.6653	0.6354	0.7216	0.7037	0.6848	0.6262	0.7286	0.7571	0.6543	0.5185	0.7206	0.6452	0.6335	0.6686	0.6618	0.6804	0.7381	0.6436	0.6646	0.7765	0.7458	0.6121	0.6424	0.7864	0.4855	0.6500	0.5882	0.6301	0.7188	0.7304	0.6667	0.6760	0.7250	0.6881	0.7297	0.7067	0.6974	0.7356	0.6994	0.6452	0.6168	0.6673	0.6928	0.6759	0.6641	0.6241	0.6853	0.6881	0.6389	0.6541	0.6719	0.7073	0.7076	0.6714	0.7470	0.6581	0.7000	0.7015	0.6881	0.7500	0.6673	0.6722	0.6805	0.6944	0.6860	0.6543	0.6642	0.6162	0.6673	0.5410	0.6562	0.4947	0.6642	0.6557	0.6312	0.6082	0.5866	0.6699	0.6641	0.7606	0.6121	0.7189	0.6881	0.7460	0.6788	0.6497	0.6677	0.6677	0.6183	0.6881	0.6797	0.6424	0.6673	0.6905	0.6494	0.6452	0.6216	0.7353	0.6250	0.6976	0.6786	0.6410	0.6262	0.6789	0.7426	0.7592	0.6649
