gene_id	tree_supported	tr1_log-likelihood	tr2_log-likelihood	tr3_log-likelihood
Gene_0033.faa.prank.best.fas.aa.ali	tr2	-20366.287707	-20363.556547	-20365.639189
Gene_0101.faa.mafft.aa.ali	tr1	-22273.754206	-22278.018151	-22274.095697
Gene_0145.faa.muscle.aa.ali	tr2	-18519.494223	-18513.573666	-18520.46893
Gene_0169.faa.mafft.aa.ali	tr3	-7098.646239	-7098.518962	-7098.473831
Gene_0174.faa.muscle.aa.ali	tr3	-23389.697382	-23389.082097	-23388.625777
Gene_0194.faa.muscle.aa.ali	tr2	-22870.187146	-22868.053669	-22870.164605
Gene_0201.faa.muscle.aa.ali	tr1	-22163.003137	-22168.542731	-22169.729085
Gene_0251.faa.muscle.aa.ali	tr1	-17778.772333	-17782.114533	-17780.832927
Gene_0252.faa.prank.best.fas.aa.ali	tr3	-19808.240499	-19807.676539	-19807.208467
Gene_0260.faa.mafft.aa.ali	tr2	-16680.081918	-16672.201598	-16678.812699
Gene_0281.faa.mafft.aa.ali	tr2	-11226.272506	-11226.161985	-11226.468438
Gene_0303.faa.muscle.aa.ali	tr3	-12196.448414	-12196.339226	-12195.887043
Gene_0320.faa.muscle.aa.ali	tr2	-11315.968327	-11314.080698	-11316.051349
Gene_0334.faa.prank.best.fas.aa.ali	tr2	-33144.022234	-33138.039403	-33145.237295
Gene_0350.faa.muscle.aa.ali	tr1	-9534.54359000002	-9535.28129399999	-9534.749581
Gene_0360.faa.mafft.aa.ali	tr1	-26180.492042	-26181.495103	-26181.438316
Gene_0376.faa.muscle.aa.ali	tr3	-6691.273444	-6691.365865	-6691.260884
Gene_0420.faa.prank.best.fas.aa.ali	tr1	-24900.810963	-24902.455233	-24903.251207
Gene_0422.faa.mafft.aa.ali	tr2	-19195.679477	-19187.413371	-19195.97316
Gene_0428.faa.muscle.aa.ali	tr2	-31363.21348	-31351.277734	-31362.082151
Gene_0435.faa.mafft.aa.ali	tr2	-10831.622168	-10825.724654	-10831.399827
Gene_0441.faa.muscle.aa.ali	tr3	-23471.565418	-23471.878767	-23471.163808
Gene_0478.faa.prank.best.fas.aa.ali	tr2	-14872.283584	-14867.315575	-14871.825583
Gene_0481.faa.prank.best.fas.aa.ali	tr3	-8150.268058	-8149.78118	-8149.35481
Gene_0507.faa.prank.best.fas.aa.ali	tr2	-17132.956362	-17130.672535	-17134.880994
Gene_0557.faa.prank.best.fas.aa.ali	tr1	-20927.53791	-20927.733971	-20933.038611
Gene_0563.faa.muscle.aa.ali	tr2	-18268.390683	-18267.385841	-18267.993429
Gene_0580.faa.muscle.aa.ali	tr1	-15988.001526	-15988.788295	-15988.07635
Gene_0587.faa.mafft.aa.ali	tr2	-15774.700979	-15771.287088	-15776.797472
Gene_0596.faa.prank.best.fas.aa.ali	tr2	-40827.934469	-40825.596486	-40828.9218760001
Gene_0701.faa.muscle.aa.ali	tr1	-16932.924603	-16933.296528	-16933.473764
Gene_0708.faa.prank.best.fas.aa.ali	tr1	-23002.368618	-23010.021361	-23005.059248
Gene_0774.faa.mafft.aa.ali	tr2	-5557.656562	-5556.496118	-5557.28103699999
Gene_0798.faa.muscle.aa.ali	tr3	-16655.587686	-16657.269698	-16655.284598
Gene_0809.faa.prank.best.fas.aa.ali	tr2	-14850.516173	-14848.801988	-14850.71644
Gene_0814.faa.muscle.aa.ali	tr2	-33596.073633	-33591.928172	-33598.323748
Gene_0906.faa.prank.best.fas.aa.ali	tr2	-19658.830739	-19650.103686	-19657.044617
Gene_0961.faa.mafft.aa.ali	tr3	-13341.006521	-13341.26404	-13340.751585
Gene_0989.faa.prank.best.fas.aa.ali	tr2	-20980.459037	-20968.050219	-20979.286184
Gene_0997.faa.mafft.aa.ali	tr3	-18706.316846	-18705.79132	-18704.830823
Gene_1018.faa.muscle.aa.ali	tr2	-23389.011954	-23386.043766	-23390.343227
Gene_1019.faa.muscle.aa.ali	tr1	-19134.752509	-19135.352469	-19138.125907
