	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Gene_0007	Gene_0016	Gene_0017	Gene_0020	Gene_0035	Gene_0037	Gene_0041	Gene_0044	Gene_0045	Gene_0053	Gene_0058	Gene_0059	Gene_0062	Gene_0063	Gene_0064	Gene_0066	Gene_0068	Gene_0070	Gene_0073	Gene_0076	Gene_0084	Gene_0086	Gene_0088	Gene_0090	Gene_0098	Gene_0105	Gene_0120	Gene_0123	Gene_0128	Gene_0129	Gene_0131	Gene_0135	Gene_0140	Gene_0141	Gene_0143	Gene_0144	Gene_0146	Gene_0152	Gene_0156	Gene_0158	Gene_0169	Gene_0171	Gene_0177	Gene_0180	Gene_0181	Gene_0208	Gene_0251	Gene_0253	Gene_0257	Gene_0268	Gene_0272	Gene_0277	Gene_0278	Gene_0281	Gene_0289	Gene_0305	Gene_0311	Gene_0314	Gene_0315	Gene_0319	Gene_0327	Gene_0328	Gene_0340	Gene_0346	Gene_0348	Gene_0372	Gene_0379	Gene_0380	Gene_0384	Gene_0390	Gene_0394	Gene_0395	Gene_0401	Gene_0407	Gene_0411	Gene_0412	Gene_0414	Gene_0415	Gene_0443	Gene_0446	Gene_0450	Gene_0455	Gene_0470	Gene_0487	Gene_0511	Gene_0513	Gene_0519	Gene_0524	Gene_0529	Gene_0536	Gene_0541	Gene_0542	Gene_0557	Gene_0563	Gene_0565	Gene_0568	Gene_0576	Gene_0601	Gene_0608	Gene_0614	Gene_0622	Gene_0623	Gene_0624	Gene_0625	Gene_0626	Gene_0629	Gene_0639	Gene_0641	Gene_0644	Gene_0645	Gene_0651	Gene_0652	Gene_0654	Gene_0657	Gene_0658	Gene_0664	Gene_0667	Gene_0668	Gene_0674	Gene_0678	Gene_0681	Gene_0687	Gene_0690	Gene_0691	Gene_0695	Gene_0696	Gene_0703	Gene_0709	Gene_0727	Gene_0741	Gene_0745	Gene_0766	Gene_0773	Gene_0786	Gene_0787	Gene_0793	Gene_0802	Gene_0806	Gene_0807	Gene_0808	Gene_0813	Gene_0819	Gene_0822	Gene_0834	Gene_0835	Gene_0843	Gene_0857	Gene_0873	Gene_0874	Gene_0894	Gene_0895	Gene_0896	Gene_0904	Gene_0909	Gene_0910	Gene_0912	Gene_0917	Gene_0920	Gene_0921	Gene_0925	Gene_0927	Gene_0930	Gene_0933	Gene_0941	Gene_0942	Gene_0945	Gene_0947	Gene_0950	Gene_0951	Gene_0958	Gene_0963	Gene_0964	Gene_0966	Gene_0969	Gene_0974	Gene_0975	Gene_0983	Gene_0989
Hydra_oligactis	0.1219	0.0000		0.0000	0.5259		0.3064	0.0284	0.0247	0.0140		0.0000	0.7558		0.0000		0.0052				0.0052	0.0058	0.0000	0.3856				0.0656			0.0000		0.4466			0.0000	0.3440		0.0208			0.0078	0.0069		0.0038				0.0000			0.7200	0.0000			0.4854				0.1167	0.0000			0.0000		0.7818					0.2137	0.4891	0.5600		0.2516	0.0000		0.2567							0.6013	0.0079				0.0080			0.0000			0.6848	0.7706			0.0211	0.0134			0.0081	0.8221		0.2454	0.0169				0.0051		0.1754	0.0294	0.0066			0.1709	0.5272	0.1585				0.0028			0.0000	0.2576			0.5763		0.0023	0.2238	0.0323			0.0179	0.0000	0.5309			0.0250																0.5217			0.0023	0.3905							0.6753	0.5345		0.6354		0.0000			0.8556
Tubulanus_polymorphus	0.1107	0.0000	0.0000	0.0026	0.0000	0.0014	0.1233			0.0000	0.0000	0.0000	0.6073	0.0000	0.0000	0.0120	0.0052	0.2405	0.0203	0.2475	0.0052	0.0000	0.0000	0.0065	0.0000	0.0000	0.0104	0.0000	0.0000		0.0000	0.0000	0.0000	0.0000		0.0000	0.0080	0.2362	0.0208	0.0045	0.0128	0.0078	0.0000	0.6947	0.0000	0.0430	0.0000	0.6310	0.4470	0.0000	0.2781	0.0057		0.0053	0.0143	0.4806	0.0000	0.0000	0.0000	0.0083	0.0000		0.0000	0.1055	0.0000	0.0162	0.0000	0.1547	0.0636	0.0069	0.0000	0.5483	0.1900	0.6007	0.1572	0.0321	0.0074	0.0160	0.0135	0.0000	0.0035	0.0265	0.0025	0.0057	0.0066	0.0079	0.0030	0.0288	0.6440	0.0080	0.0000	0.0197	0.0000	0.0031	0.2228	0.5886	0.0727	0.0019	0.0078	0.0632	0.0033	0.0061	0.0000	0.0081		0.0000	0.0000	0.1921		0.0033	0.0086	0.0051	0.3370	0.0088	0.0098	0.5132	0.0393	0.2387	0.1329	0.0000	0.0122	0.0000		0.0141	0.0055	0.0204	0.0068	0.0814	0.0044	0.0043	0.0037	0.5351	0.1019	0.0000	0.2378	0.0323	0.0440	0.0154	0.0179	0.0000	0.4625	0.0241	0.0053	0.0063		0.1330	0.0000		0.0000	0.7957	0.0000	0.3333	0.6777	0.0226	0.0029	0.0241		0.0090	0.0000	0.0186	0.0059	0.1221	0.4032	0.0190	0.0000			0.0000	0.0000	0.5194		0.0030	0.0000	0.0000	0.0054	0.5249	0.0105	0.4506	0.0053
Euplokamis_dunlapae	0.1770	0.0000	0.0000	0.4109	0.0054			0.1477	0.0247	0.4093	0.0267		0.8086		0.0000	0.0181	0.0262		0.0338	0.5418		0.3801	0.7969	0.0065	0.0000	0.0569	0.0000			0.0000	0.0000	0.8988	0.3834	0.3139		0.6875	0.0080		0.0000			0.2656	0.3655	0.5888	0.6923		0.6838		0.0303	0.2194	0.2367	0.7371	0.0353	0.5119			0.0167	0.5574	0.0000	0.1125	0.3435			0.0042	0.2078			0.7410	0.0780		0.2443		0.6050		0.2704	0.0214	0.4485			0.0000	0.5140	0.0354		0.2500		0.1581	0.0030			0.6574	0.0642		0.0000		0.6975	0.6555			0.0234	0.4947	0.6421	0.1779	0.0000	0.0163		0.0060		0.0508		0.6040		0.6447	0.0109	0.0088	0.0098	0.0066	0.0337		0.1456			0.3681					0.7831	0.0000	0.3450	0.0000		0.7240	0.0212						0.0000	0.0000				0.0063			0.0078			0.8900	0.7886			0.7951	0.6348		0.0147	0.5471	0.3462		0.0059		0.0182	0.0190	0.3211		0.0000	0.0000	0.5414	0.5485	0.1808		0.0000			0.0939	0.0316		
Petrosia_ficiformis	0.1894	0.0000	0.0000		0.4510	0.8599		0.1818	0.0123		0.0000				0.3106	0.0663	0.0471			0.0268	0.6042		0.0000	0.0065	0.0000	0.0000		0.0000	0.1538	0.0000		0.0635	0.0000	0.4672		0.0000	0.2000	0.3228	0.0208		0.0192	0.0938	0.3655	0.7290		0.0000	0.1410	0.3966			0.4320		0.0353			0.6626	0.0000	0.0000			0.1069	0.0045	0.0000	0.3502	0.0000	0.0000	0.6832	0.3561	0.1734		0.8168	0.0467			0.4717	0.0160	0.4853		0.0000			0.7389	0.5542		0.6711	0.4585		0.0605	0.9102	0.0080	0.5336	0.0000		0.5031		0.0307	0.1986	0.5944			0.2843	0.3374	0.0000		0.6644		0.2917	0.0282				0.4721	0.0054		0.0098	0.0066				0.2845	0.0183					0.0091	0.3763	0.5988	0.0044	0.3750	0.0037	0.0000	0.0038		0.0070	0.0323			0.3036	0.3500			0.0000	0.3438	0.0051	0.0000	0.0000	0.6078		0.4460	0.5539	0.8058	0.5396	0.3681	0.2841					0.0559	0.0059	0.3664	0.1253	0.1429	0.0000	0.0033					0.0295	0.6967	0.0000	0.0000		0.1878	0.1158	0.6482	0.0036
Ircinia_fasciculata	0.1994	0.0000					0.9133	0.4205	0.0247	0.2837			0.0528	0.0000	0.0379	0.4217	0.0052	0.7595	0.0203		0.5260	0.4503	0.7969	0.0065			0.4427	0.0738								0.0500				0.7399			0.0000		0.0038		0.1538		0.0303	0.5032	0.6568	0.2914	0.1176	0.5989		0.7961	0.1222	0.0219		0.6583	0.0000	0.1855				0.8283	0.0000	0.7986				0.7290		0.5836		0.0000	0.3382	0.3476		0.0000	0.6713	0.5442		0.0057	0.7143	0.2292	0.4597	0.5648		0.0040		0.0000				0.9317		0.8111	0.1250		0.0134	0.5153	0.6141	0.3171	0.7770	0.0482	0.5370	0.2203		0.7063	0.0086	0.0051			0.0098	0.0066			0.1329					0.0070				0.4767	0.2227				0.8558			0.1935	0.0440		0.0179	0.0700			0.5585	0.0375	0.5127		0.2791	0.7244			0.3066				0.3884	0.0723	0.0147	0.4798	0.0000	0.3168		0.0916			0.7702	0.7375	0.6906			0.8398	0.0258		0.1230	0.4309					
Corticium_candelabrum	0.2543		0.7197	0.4160			0.7861	0.0057	0.0123	0.2651		0.1358	0.3003		0.0000	0.0361	0.0995			0.2107	0.5417	0.1813	0.3828	0.0980	0.0000				0.2372	0.4444		0.4107			0.0244	0.0125	0.5440	0.0000	0.0312	0.0045	0.0064		0.0483		0.7385	0.0000	0.3718		0.4167		0.3964	0.0286		0.5330	0.3619		0.5389	0.6011	0.7652	0.5458			0.1882	0.5949	0.6396		0.1815		0.6763	0.3931	0.1336		0.6000	0.3276		0.1711	0.4779	0.3636	0.1858	0.6235				0.0057	0.2591		0.8209	0.3285	0.9180	0.5737	0.0454	0.0028		0.4067	0.4203	0.6346	0.5287	0.5907		0.6632	0.0033	0.2393	0.2065		0.7973	0.0783				0.1320	0.0259			0.0526	0.0098			0.0946		0.0000				0.0141	0.0028	0.3741	0.4339	0.1453	0.4672		0.7509	0.7458		0.5682	0.0070	0.0323	0.2308			0.0000		0.6379	0.5745	0.0063	0.1168	0.6266	0.2946	0.4028			0.6723	0.7188	0.3665		0.1072		0.0147				0.3964		0.5649	0.0000	0.0026					0.1845			0.0000	0.3923		0.1878		0.7194	0.2656
Sphaeroforma_arctica	0.1116	0.0000	0.0013	0.0000		0.0055	0.7919		0.0247		0.0267	0.4568	0.0528		0.0000			0.7131	0.0203		0.0052	0.3977	0.0000		0.2031	0.5838	0.0000	0.2623			0.0097	0.9048		0.2117		0.0125	0.4240	0.0000	0.0208		0.0192		0.1724	0.0000		0.0000	0.0598		0.2273	0.1258	0.0118		0.0353	0.0132		0.2257	0.0056	0.1530	0.0000		0.3130	0.3303		0.0042	0.0000	0.2525	0.4455		0.0058	0.0069				0.0990	0.0377	0.0160	0.0147		0.0034	0.0000	0.0035	0.4115	0.4358		0.0266	0.0079	0.0239	0.1614	0.0062	0.0040		0.0169	0.0000	0.0092		0.5328	0.0000		0.0078			0.3558	0.0000				0.3981	0.0847	0.0921	0.1452	0.0086		0.0489	0.0088	0.0000	0.1250		0.3559	0.3861	0.0084	0.2988	0.2052		0.0070			0.0068	0.0000	0.6288	0.2586	0.1636				0.3357	0.0323	0.0330	0.2051		0.0000		0.2586		0.0187	0.1523	0.0687	0.0078	0.0177	0.0000	0.6424	0.0127		0.6206						0.0615	0.5217	0.1657	0.3969	0.0934	0.0190	0.6423		0.0000		0.0376	0.0388	0.0221			0.0000	0.7405	0.0000	0.0000	0.0356	0.0143
Kirkpatrickia_variolosa	0.0831	0.0000	0.0000	0.0000	0.0191	0.0027	0.6840	0.0057	0.0123	0.0791	0.0000		0.0000	0.0000	0.0000	0.0000	0.0576	0.7637	0.1486	0.0702	0.0104	0.1053	0.0000	0.0065	0.0000	0.0000		0.0000	0.0128	0.0000	0.0000	0.0000	0.0356		0.0244	0.0063	0.0080		0.0208	0.0135	0.2436	0.0078	0.0207	0.0000	0.0000		0.0000	0.2862	0.0530	0.0032	0.1479	0.0971			0.0190	0.0243	0.0000	0.0656		0.0208	0.0840			0.0000	0.0260	0.0000	0.4554	0.2662	0.0000		0.1221	0.0000	0.6500	0.0034	0.1572	0.0000			0.0203	0.0000	0.0699		0.0025	0.1364	0.5880	0.0079	0.1343	0.0317	0.0062	0.0080	0.0110	0.0000	0.1038	0.1529		0.0153	0.0000		0.0078	0.0632	0.0936	0.0061	0.0543	0.0081	0.0023	0.0000	0.6065		0.0000	0.0033	0.0086	0.0558		0.0088	0.2941	0.0066	0.0674		0.1329	0.0000	0.0183		0.6185	0.0141	0.0331		0.0068	0.0000	0.0044	0.1078	0.0372	0.3220	0.0000	0.0000	0.0280	0.0323	0.0440		0.0179	0.0000	0.0358	0.0000	0.0000	0.2875	0.0051	0.0043	0.0000	0.0212	0.5766		0.0000	0.3333	0.5562					0.0135		0.0124	0.0059		0.0342	0.0000	0.0313	0.1362	0.0360	0.0000		0.0583	0.0664	0.6366	0.1230	0.0000	0.4486	0.2818		0.0000	0.4046
Vallicula_sp	0.1856	0.0847	0.0329		0.7098		0.8382			0.2419			0.8548		0.0000	0.0964	0.2304	0.0127		0.2207		0.0526			0.0000			0.1148			0.0000	0.8194		0.0146		0.0000						0.3594	0.0276	0.4206		0.1192	0.0128	0.8086		0.3097	0.3609	0.5886		0.4512	0.1000	0.4005	0.1111	0.6011		0.1125				0.0506	0.3539			0.8525	0.7399						0.2704	0.1925	0.0515	0.0535		0.4136		0.3894		0.1250		0.1700	0.0179	0.2478	0.8762	0.0797	0.2629		0.0047			0.7922			0.1250	0.0421	0.0468			0.1870	0.0743		0.2083	0.0565	0.0000	0.0099		0.1371		0.0088	0.0098	0.0066		0.0405	0.2911		0.3049				0.4613	0.5510	0.0847			0.0647		0.0508	0.7981	0.0523	0.0699	0.0161			0.0179	0.0100	0.0000	0.3103		0.6062			0.0000		0.7273	0.8035	0.0655			0.0938				0.0404		0.6149	0.3077		0.2073		0.3499		0.1295	0.0000		0.0243	0.0369	0.6847	0.0000			0.0608	0.3684	0.1028	0.0731
Salpingoeca_rosetta	0.0622	0.0297	0.0053	0.0026		0.0014	0.1985	0.0341	0.0000	0.0000	0.0267		0.0726	0.0146	0.0000	0.0120	0.0000	0.0211	0.0203	0.0067	0.0052	0.0000	0.0586	0.0163	0.0312	0.3713	0.0000	0.0000		0.0000	0.0097	0.0079		0.1095	0.0122	0.0125	0.0080	0.0000		0.4574	0.0192	0.0156		0.4984	0.0000	0.0033	0.0171		0.1136		0.0710	0.5886	0.0471	0.1636	0.0143	0.0024	0.0000		0.0039	0.2625	0.0076		0.0000	0.0000	0.4545	0.0485	0.0066	0.4065	0.2775	0.0276		0.0218		0.4027	0.0126	0.0481	0.0074	0.0909	0.0034	0.0000	0.0210			0.1080	0.3654		0.0239	0.2075	0.0077	0.0319	0.0313	0.1236	0.0000	0.0291	0.0399	0.0112	0.0014	0.0241	0.0078	0.1684	0.0368	0.0123	0.1250	0.0325	0.0023	0.0000	0.0000	0.1186	0.0132	0.0297	0.0086		0.0272	0.0439	0.0392	0.0066	0.0337		0.0759	0.1381	0.0183	0.3225	0.0154	0.0141	0.0083	0.0363	0.0068	0.0291	0.0000	0.0043	0.0818	0.0484	0.0038	0.0114	0.0070	0.0323		0.0615	0.0000	0.0000	0.0098	0.0034	0.0000	0.1313	0.3858	0.3004	0.0078	0.0000	0.2545	0.0393	0.1121	0.0145	0.0166	0.0191	0.4261	0.0000	0.0147		0.0462	0.0621			0.0547	0.0190	0.0157	0.2824	0.0000	0.0110		0.0097	0.0000	0.0961	0.0082	0.0000	0.0054	0.1823	0.0000	0.2016	0.0071
