	Metazoa_Choano_RCFV_strict.phy	Gene_0010	Gene_0026	Gene_0027	Gene_0030	Gene_0033	Gene_0034	Gene_0035	Gene_0066	Gene_0069	Gene_0076	Gene_0077	Gene_0088	Gene_0089	Gene_0101	Gene_0102	Gene_0113	Gene_0114	Gene_0121	Gene_0134	Gene_0145	Gene_0153	Gene_0164	Gene_0169	Gene_0174	Gene_0185	Gene_0191	Gene_0194	Gene_0200	Gene_0201	Gene_0202	Gene_0226	Gene_0236	Gene_0245	Gene_0251	Gene_0252	Gene_0260	Gene_0281	Gene_0295	Gene_0303	Gene_0317	Gene_0320	Gene_0328	Gene_0330	Gene_0334	Gene_0335	Gene_0337	Gene_0348	Gene_0349	Gene_0350	Gene_0351	Gene_0360	Gene_0376	Gene_0399	Gene_0406	Gene_0414	Gene_0420	Gene_0422	Gene_0424	Gene_0428	Gene_0435	Gene_0438	Gene_0441	Gene_0443	Gene_0445	Gene_0471	Gene_0478	Gene_0481	Gene_0483	Gene_0507	Gene_0509	Gene_0511	Gene_0518	Gene_0521	Gene_0531	Gene_0542	Gene_0544	Gene_0545	Gene_0557	Gene_0563	Gene_0575	Gene_0580	Gene_0581	Gene_0587	Gene_0596	Gene_0610	Gene_0658	Gene_0701	Gene_0703	Gene_0708	Gene_0714	Gene_0718	Gene_0723	Gene_0729	Gene_0731	Gene_0740	Gene_0771	Gene_0774	Gene_0784	Gene_0798	Gene_0809	Gene_0814	Gene_0831	Gene_0842	Gene_0843	Gene_0846	Gene_0857	Gene_0858	Gene_0873	Gene_0884	Gene_0893	Gene_0902	Gene_0906	Gene_0915	Gene_0934	Gene_0961	Gene_0980	Gene_0985	Gene_0986	Gene_0989	Gene_0992	Gene_0995	Gene_0997	Gene_1015	Gene_1018	Gene_1019	Gene_1023	Gene_1034
Spongilla_lacustris	0.4718	0.0000	0.3082	0.0231	0.7287	1.0000	0.7841	1.0000	0.1257	0.0000	0.4568	1.0000	1.0000	0.6474	0.0516	1.0000	0.0034	0.0356	1.0000	0.0000	0.3410	0.3262	1.0000	0.0684	1.0000	0.0000	0.0062	1.0000	0.0000	0.0671	1.0000	1.0000	0.0399	0.2306	0.1957	0.6791	0.8294	0.0109	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3170	0.0035	0.8194	0.1434	0.0029	0.2613	0.5605	0.1542	0.6313	0.0000	0.0109	0.0054	0.0955	0.0802	0.4542	1.0000	1.0000	0.5664	1.0000	1.0000	0.0117	0.0000	0.0000	1.0000	0.0053	1.0000	1.0000	1.0000	0.0732	1.0000	0.4717	0.0000	0.0136	0.5600	1.0000	0.9339	0.0051	0.3771	0.0000	0.2441	1.0000	0.0061	0.2405	0.3222	1.0000	1.0000	0.1647	0.0000	0.3737	1.0000	0.0000	0.0000	0.0000	0.0949	0.0430	0.0000	0.0937	1.0000	0.0340	1.0000	0.0079	0.3427	0.4717	0.0000	0.4714	0.6389	0.0050	0.0000	1.0000	1.0000	0.0044	0.0274	0.0078	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.3415	1.0000	1.0000	0.0440	0.4252
Acanthoeca_sp	0.1114	0.0000	0.0040	0.0021	1.0000	0.0033	0.0086	0.0000	0.0105	0.0088	1.0000	0.0000	0.0154	0.0122	0.0243	0.0203	0.0101	0.0089	0.0022	0.0085	0.0300	0.0258	1.0000	0.0474	0.0033	0.0000	0.0370	1.0000	0.0000	0.2619	0.3209	0.0000	0.0063	0.0021	0.0101	0.0145	0.0236	0.0800	0.0000	0.0175	0.0000	0.0037	0.0167	0.0263	0.0307	0.0000	0.8175	0.0566	0.0117	0.0000	0.0000	0.0017	0.0960	0.0048	0.0109	0.0108	0.0034	0.0036	0.0208	0.0129	0.0069	1.0000	0.4945	0.0049	0.0117	0.1429	1.0000	0.0253	0.0053	0.0000	0.0302	0.0078	0.0136	0.0029	0.0165	0.0000	0.0000	0.0571	0.1957	0.0050	0.0785	0.0000	0.0000	0.0036	0.0253	0.1098	0.0000	0.0052	0.0170	1.0000	0.3473	0.0000	0.0211	0.0000	0.0000	0.0000	0.0042	0.0205	0.0000	0.0051	0.0025	0.0218	0.0000	0.0109	0.0000	0.0056	0.0063	0.0024	1.0000	0.0179	0.0025	0.0000	0.0027	0.0174	0.0044	0.0061	0.4401	0.0000	0.0056	0.0016	0.0052	0.0100	0.0018	0.0049	0.1367	0.0281	0.0073	0.0019
Mycale_phylophylla	0.3272	0.0000	0.3459	0.0021	1.0000	1.0000	1.0000	1.0000	0.0262	1.0000	0.0000	0.0000	0.0092	0.0061	0.4659	0.2414	0.6520	1.0000	1.0000	0.0000	0.5691	0.0215	0.0606	0.0053	0.1515	0.0000	0.0000	0.4557	0.0000	1.0000	0.4144	0.0000	0.0063	0.0021	1.0000	0.0010	0.0000	0.0873	0.0000	0.0000	0.0000	0.0000	1.0000	0.0048	0.0014	0.0035	1.0000	0.0000	0.0029	0.0000	0.0029	1.0000	0.0000	0.0048	0.0273	0.5161	0.0034	0.0036	0.0083	1.0000	0.0069	0.0108	0.2868	0.0049	0.0117	0.0000	0.0241	0.0072	0.0053	0.4259	0.1782	0.0117	0.0000	0.0029	0.5731	0.0000	1.0000	0.8400	0.8311	0.2793	0.0025	0.0000	0.0000	0.7577	0.0598	0.0061	0.0000	0.0026	0.0000	0.0015	1.0000	0.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.6505	0.0025	0.0017	0.0377	0.0000	0.0079	1.0000	0.2799	0.5122	1.0000	0.7976	0.0050	0.0000	0.0000	0.0000	0.0044	0.6140	0.2865	0.0000	0.0056	0.5023	0.0000	0.4950	0.5018	0.0082	0.5156	0.1764	0.0831	0.3825
Physalia_physalia	0.4340	0.0000	0.0099	0.3480	0.4295	1.0000	1.0000	1.0000	0.0157	1.0000	0.0000	0.3322	1.0000	0.0061	1.0000	0.4239	0.2466	0.5978	0.5011	0.0085	1.0000	0.0043	0.3030	0.2684	1.0000	0.1019	0.0185	1.0000	0.2444	0.5996	0.4144	0.2244	0.2878	0.0021	1.0000	0.4576	0.4961	0.0836	0.0000	0.4713	0.0000	0.0000	1.0000	0.3708	1.0000	0.0035	0.8631	1.0000	0.2187	0.0833	0.0000	1.0000	0.3535	0.0048	0.1749	0.0753	1.0000	1.0000	0.0042	0.5123	0.0069	0.1518	0.5832	0.0049	0.0117	0.5306	0.1898	0.0072	0.0053	0.0000	0.2689	0.0117	0.0000	0.2362	0.2193	0.0000	0.0814	1.0000	0.3338	1.0000	0.0025	0.5847	0.2406	0.4087	0.3046	0.0061	0.0000	0.3428	0.0625	0.8768	0.0030	0.0000	0.0079	0.5000	0.3239	0.0000	0.0000	0.3462	0.0000	0.0051	0.0025	0.0017	0.0038	0.0000	0.0079	0.4185	0.0063	0.6098	0.0052	1.0000	0.0050	0.0630	1.0000	0.0035	0.0044	0.6109	0.0495	0.0000	0.0000	0.5866	0.0000	0.0000	0.8266	0.6207	0.2543	1.0000	0.0367	0.8291
Homo_sapiens	0.0039	0.0000	0.0676	0.0021	0.0000	0.0017	0.0017	0.0000	0.0000	0.0265	0.0000	0.0000	0.0031	0.0061	0.0000	0.0061	0.0000	0.0022	0.0022	0.0000	0.0000	0.0086	0.0152	0.0105	0.0000	0.0000	0.0123	0.0035	0.0000	0.0087	0.0160	0.0000	0.0063	0.0042	0.0000	0.0010	0.0000	0.0109	0.0000	0.0000	0.0000	0.0000	0.0067	0.0072	0.0014	0.0035	0.0095	0.0000	0.0029	0.0000	0.0029	0.0017	0.0000	0.0048	0.0219	0.0108	0.0000	0.0018	0.0000	0.0000	0.0069	0.0054	0.0016	0.0000	0.0117	0.0000	0.0027	0.0108	0.0053	0.0000	0.0000	0.0117	0.0000	0.0029	0.0236	0.0000	0.0000	0.0000	0.0000	0.0000	0.0025	0.0000	0.0000	0.0000	0.0011	0.0061	0.0000	0.0052	0.0000	0.0000	0.0030	0.0000	0.0026	0.0000	0.0000	0.0000	0.0295	0.0256	0.0323	0.0000	0.0025	0.0067	0.0000	0.0000	0.0079	0.0028	0.0126	0.0000	0.0026	0.0000	0.0075	0.0029	0.0000	0.0035	0.0044	0.0061	0.0026	0.0000	0.0056	0.0016	0.0000	0.0000	0.0018	0.0016	0.0035	0.0019	0.0073	0.0019
Amphimedon_queenslandica	0.1263	0.0000	0.0159	0.0021	0.4078	0.0314	0.0017	0.0249	0.0105	0.0000	0.0165	0.0000	0.0000	0.1125	0.0000	0.2982	0.0270	0.4533	1.0000	0.0085	0.0000	0.0386	0.0404	0.0105	0.0000	0.0000	0.0123	0.0142	0.0000	0.0130	0.1337	0.0000	0.0294	0.0021	0.0043	0.0010	0.1864	0.3927	0.1071	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0035	0.0285	1.0000	0.0029	0.0000	0.0265	0.0017	0.0000	0.0000	0.0219	0.0054	0.0084	0.0036	0.0000	0.1041	0.0486	1.0000	0.0111	0.0000	0.0058	0.0531	0.0241	0.0072	0.2011	0.0000	0.0091	0.0117	0.0000	0.0962	0.0637	0.0000	0.0136	1.0000	0.1568	0.0380	0.0177	0.0000	0.0000	1.0000	0.1598	0.0061	0.0000	0.0876	0.5852	0.0000	0.0419	0.0000	0.0053	0.0061	0.0000	1.0000	0.4063	0.0000	0.0323	0.3571	0.0025	0.0017	0.0415	0.0000	0.0079	0.0281	0.0660	0.0000	0.3411	0.3849	0.0050	0.0000	0.0000	0.0000	0.0044	0.0608	0.0443	0.0000	0.2697	0.0203	0.0052	0.0150	0.7591	0.0345	0.0035	1.0000	0.0098	0.0583
Hydra_oligactis	0.6251	0.0000	1.0000	0.0021	1.0000	1.0000	0.8169	1.0000	0.0419	1.0000	0.0000	0.0000	1.0000	0.0061	1.0000	1.0000	0.0068	1.0000	1.0000	0.0085	0.4217	0.0043	0.0101	0.0053	0.0130	0.2962	0.0185	1.0000	0.0000	1.0000	0.5882	0.5945	0.0063	0.0105	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000	0.4072	0.0000	1.0000	1.0000	0.3841	0.0035	1.0000	0.7377	0.0029	0.0000	0.4159	0.5823	0.1667	0.1619	0.0273	0.3226	1.0000	1.0000	0.0042	1.0000	1.0000	0.4336	0.6878	1.0000	0.0117	1.0000	0.0027	0.0072	0.4286	1.0000	0.2356	0.0117	0.0000	1.0000	0.1108	0.0000	1.0000	1.0000	1.0000	1.0000	0.0025	1.0000	0.0596	1.0000	1.0000	0.4451	0.0000	0.3479	0.0000	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000	0.7098	0.0000	0.0026	0.0000	1.0000	0.0025	0.0034	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.7381	0.0150	0.0000	1.0000	0.0035	0.0044	0.5198	1.0000	0.0000	0.0056	1.0000	1.0000	1.0000	1.0000	1.0000	0.7837	1.0000	0.0024	1.0000
Rossella_fibulata	0.2050	0.0000	0.0099	0.0021	0.3054	1.0000	0.0017	1.0000	0.0209	1.0000	0.0000	0.0000	0.0000	0.0243	0.6070	0.0101	0.0034	1.0000	0.6909	0.0256	0.0230	0.0000	0.0505	0.0263	1.0000	0.0142	0.0370	0.3635	1.0000	0.0043	0.2674	0.0000	0.0063	0.0021	0.0000	0.4576	0.0184	0.7200	0.0000	0.0075	1.0000	0.0000	0.0033	0.2177	0.1020	0.0070	1.0000	0.0019	0.0087	0.0023	0.0000	1.0000	0.0000	0.0190	0.0219	0.0054	0.0101	0.0053	0.0042	0.0058	1.0000	0.0163	0.2536	0.0000	0.0117	0.0245	0.0027	0.0036	0.0053	1.0000	0.0000	0.0117	0.0000	1.0000	1.0000	1.0000	1.0000	0.0000	0.0040	0.0000	0.0329	1.0000	0.0066	0.0000	0.1184	0.0305	0.0000	0.0077	0.0000	0.0015	0.0060	1.0000	0.0053	0.0061	0.0246	0.0157	0.0000	0.0282	0.0323	0.0000	0.0025	0.0168	0.0415	0.0000	0.0000	0.0253	0.5252	0.0049	0.0078	0.2083	0.0075	0.0000	0.0000	0.0070	0.0044	0.0517	0.0312	0.0000	0.0000	0.0827	0.0000	0.0000	0.0055	0.0016	0.0035	0.0019	0.0098	1.0000
Kirkpatrickia_variolosa	0.2667	0.0000	1.0000	0.0021	1.0000	0.5215	1.0000	1.0000	0.0314	0.3186	0.0000	0.3119	0.0031	0.0152	0.0000	0.0061	0.0034	1.0000	1.0000	0.0000	0.0000	0.2361	1.0000	0.0632	0.0586	0.0000	0.0000	0.0071	0.0000	0.0000	0.0615	0.0000	0.0063	0.0021	0.7667	0.0010	0.0000	0.0255	0.0000	0.0000	0.0000	0.0075	1.0000	0.0024	0.0014	0.0035	1.0000	0.0000	0.0029	0.0000	0.0000	1.0000	0.0000	0.1000	0.0219	0.0108	0.0034	0.1070	0.0083	0.7988	1.0000	0.4553	0.6910	0.0049	0.0292	0.0000	0.0535	0.0614	0.0053	0.0000	1.0000	0.0117	0.0163	0.0029	0.6297	0.0783	1.0000	1.0000	0.1944	1.0000	0.0025	0.0017	0.0000	1.0000	0.0000	0.0732	0.0000	0.0309	0.0000	0.0015	0.0090	0.0000	0.4395	0.0121	1.0000	0.0000	0.0000	0.0385	0.0323	1.0000	0.0608	1.0000	0.0340	0.0164	0.0000	0.4888	0.0157	0.0000	0.5677	0.5099	0.0100	0.0000	0.0000	0.0592	0.0044	0.0061	0.2708	0.0000	0.0000	0.3978	0.0000	0.4300	0.0000	0.0082	0.0035	0.0038	0.0098	0.0019
Agalma_elegans	0.2837	1.0000	1.0000	0.0021	0.2589	0.0050	0.0035	1.0000	0.0157	1.0000	0.0000	0.0000	0.2554	0.0061	0.6464	0.0101	0.0068	0.6467	0.0000	0.0085	0.6106	0.0043	0.0152	0.0053	0.1808	0.0000	0.0247	0.0071	0.0000	0.1926	0.2941	0.0000	0.0063	0.2704	0.8087	0.4824	0.3858	0.0036	0.2071	0.1372	0.3353	0.0858	0.5418	0.0000	0.2877	0.0035	0.1578	0.0000	0.0029	0.0833	0.3156	0.3328	0.0000	0.0048	0.0273	0.4785	0.0000	0.0089	0.0042	0.8643	0.0069	1.0000	0.3312	0.0147	0.0117	0.0000	0.4251	0.0072	0.2275	0.1407	0.0000	0.0117	0.2575	0.3061	0.3184	0.1521	1.0000	1.0000	0.6649	0.5967	0.4304	0.0698	0.1236	0.6763	0.0023	0.0061	0.0000	0.5954	0.0000	0.0909	0.0000	0.0000	0.1211	0.6606	0.0000	0.0000	0.3684	0.0385	1.0000	0.2449	1.0000	0.2588	1.0000	0.0000	0.0000	0.0028	0.2767	0.6146	0.0339	0.0813	0.5810	0.4871	0.1834	0.0035	0.0044	0.0091	0.2552	0.0000	0.1067	0.0718	0.0000	0.0050	0.1898	0.4401	0.0640	0.6717	0.2812	1.0000
