gene_id	tree_supported	tr1_log-likelihood	tr2_log-likelihood	tr3_log-likelihood
V2META10053-2-1-42-Calc_Hmm10-BMGE05	tr2	-19097.61021	-19097.34306	-19097.623476
V2META10062-1-1-42-Calc_Hmm10-BMGE05	tr1	-12527.632102	-12528.997368	-12529.248722
V2META10062-2-1-42-Calc_Hmm10-BMGE05	tr2	-12951.634971	-12941.467125	-12951.017338
V2META10079-1-2-2-2-2-2-42-Calc_Hmm10-BMGE05	tr1	-21888.288413	-21890.957884	-21890.992636
V2META10102-1-2-2-2-42-Calc_Hmm10-BMGE05	tr1	-10240.697521	-10241.490809	-10242.570558
V2META10102-2-2-2-42-Calc_Hmm10-BMGE05	tr2	-7895.25292100001	-7890.172791	-7894.176996
V2META10136-1-1-42-Calc_Hmm10-BMGE05	tr2	-13905.127645	-13903.83671	-13904.886929
V2META10144-2-1-42-Calc_Hmm10-BMGE05	tr2	-23352.837388	-23351.840675	-23352.133152
V2META10144-2-2-1-42-Calc_Hmm10-BMGE05	tr2	-20118.814511	-20114.093011	-20119.949576
V2META10144-2-2-2-2-42-Calc_Hmm10-BMGE05	tr3	-23988.577991	-23987.233406	-23986.827123
V2META10155-1-42-Calc_Hmm10-BMGE05	tr2	-15195.575321	-15189.025962	-15193.812257
V2META10174-2-42-Calc_Hmm10-BMGE05	tr1	-33646.518172	-33653.475034	-33654.433857
V2META10187-1-42-Calc_Hmm10-BMGE05	tr2	-31337.196945	-31333.719315	-31334.931439
V2META10192-1-1-42-Calc_Hmm10-BMGE05	tr2	-12860.207243	-12854.931999	-12859.990067
V2META10192-2-2-1-42-Calc_Hmm10-BMGE05	tr2	-12909.887289	-12909.487274	-12910.471488
V2META10197-2-1-2-42-Calc_Hmm10-BMGE05	tr2	-19519.992698	-19517.153858	-19518.209792
V2META10203-1-1-42-Calc_Hmm10-BMGE05	tr2	-8092.030998	-8089.73481800001	-8091.933652
V2META10203-2-2-1-42-Calc_Hmm10-BMGE05	tr1	-10998.716279	-11001.090354	-10999.432553
V2META10224-1-2-2-42-Calc_Hmm10-BMGE05	tr2	-3294.64023	-3294.424136	-3295.32037
V2META10237-2-42-Calc_Hmm10-BMGE05	tr2	-24153.581693	-24141.078906	-24153.699692
V2META10253-42-Calc_Hmm10-BMGE05	tr2	-4065.073731	-4063.851588	-4064.758287
V2META10259-2-2-2-42-Calc_Hmm10-BMGE05	tr3	-6012.69509	-6013.486251	-6011.207484
V2META10274-1-42-Calc_Hmm10-BMGE05	tr3	-28835.389601	-28828.770787	-28828.52423
V2META10274-2-1-2-42-Calc_Hmm10-BMGE05	tr2	-48919.1347850001	-48907.6034190002	-48923.0786540001
V2META10306-2-1-42-Calc_Hmm10-BMGE05	tr3	-21385.888531	-21387.488161	-21384.409959
V2META10325-2-1-1-42-Calc_Hmm10-BMGE05	tr3	-11040.527645	-11042.686401	-11037.325901
V2META10342-1-2-2-2-42-Calc_Hmm10-BMGE05	tr2	-16567.877476	-16566.054126	-16566.136192
V2META10342-2-42-Calc_Hmm10-BMGE05	tr2	-14417.797151	-14408.151265	-14416.224928
V2META10343-1-42-Calc_Hmm10-BMGE05	tr3	-8859.31877399999	-8860.548088	-8859.282419
V2META10362-1-1-42-Calc_Hmm10-BMGE05	tr2	-17128.420661	-17124.819844	-17128.70363
V2META10380-2-42-Calc_Hmm10-BMGE05	tr2	-14344.296945	-14342.592445	-14343.993201
V2META10423-1-1-42-Calc_Hmm10-BMGE05	tr2	-11961.307195	-11960.061609	-11963.769501
V2META10427-2-1-42-Calc_Hmm10-BMGE05	tr2	-16988.145126	-16983.056239	-16992.445981
V2META10445-1-42-Calc_Hmm10-BMGE05	tr2	-14695.556329	-14686.886923	-14691.899188
V2META10445-2-42-Calc_Hmm10-BMGE05	tr2	-29658.365604	-29656.819302	-29659.779809
V2META10457-1-42-Calc_Hmm10-BMGE05	tr3	-3930.500515	-3931.667611	-3928.790656
V2META10459-1-42-Calc_Hmm10-BMGE05	tr2	-14183.776092	-14175.185487	-14181.525177
V2META10522-2-2-2-42-Calc_Hmm10-BMGE05	tr3	-9396.51798399999	-9400.653807	-9394.392771
V2META10532-2-42-Calc_Hmm10-BMGE05	tr1	-7264.922564	-7264.977153	-7266.732246
V2META10564-1-42-Calc_Hmm10-BMGE05	tr3	-12316.993684	-12316.739153	-12314.625519
V2META10658-2-42-Calc_Hmm10-BMGE05	tr2	-12319.617098	-12314.629012	-12319.064273
V2META10664-1-1-42-Calc_Hmm10-BMGE05	tr2	-5513.61553	-5511.381883	-5512.955999
V2META10664-1-2-2-42-Calc_Hmm10-BMGE05	tr2	-8171.904701	-8171.389928	-8172.433502
V2META10671-1-42-Calc_Hmm10-BMGE05	tr2	-8269.292812	-8263.674485	-8268.410588
V2META10671-2-42-Calc_Hmm10-BMGE05	tr2	-8087.305109	-8085.418037	-8088.845757
V2META10681-1-1-42-Calc_Hmm10-BMGE05	tr2	-8942.938628	-8940.782029	-8941.633015
V2META10711-2-42-Calc_Hmm10-BMGE05	tr3	-21570.230183	-21570.024233	-21569.872624
V2META10745-1-42-Calc_Hmm10-BMGE05	tr3	-17904.034642	-17901.785253	-17899.218378
V2META10771-1-42-Calc_Hmm10-BMGE05	tr3	-16795.699148	-16796.650292	-16794.976792
V2META10811-1-42-Calc_Hmm10-BMGE05	tr2	-28337.549671	-28335.795655	-28340.298412
V2META10814-1-42-Calc_Hmm10-BMGE05	tr2	-23012.807892	-23010.569125	-23014.999989
V2META10818-2-2-42-Calc_Hmm10-BMGE05	tr2	-12392.465944	-12390.863177	-12394.521443
V2META10833-42-Calc_Hmm10-BMGE05	tr3	-11788.163341	-11786.962517	-11786.250124
V2META10837-1-42-Calc_Hmm10-BMGE05	tr3	-12396.244777	-12397.542738	-12394.522664
V2META10855-1-42-Calc_Hmm10-BMGE05	tr2	-21311.646938	-21304.953695	-21311.796145
V2META10855-2-42-Calc_Hmm10-BMGE05	tr2	-21363.297448	-21349.410208	-21363.133578
V2META10864-1-42-Calc_Hmm10-BMGE05	tr2	-17765.041148	-17759.265617	-17765.487909
V2META10864-2-42-Calc_Hmm10-BMGE05	tr2	-6977.443128	-6972.002252	-6977.335955
V2META10865-1-42-Calc_Hmm10-BMGE05	tr2	-8723.84283	-8720.734585	-8723.69172
V2META10865-2-42-Calc_Hmm10-BMGE05	tr3	-7046.592963	-7048.361062	-7046.316615
V2META10868-1-42-Calc_Hmm10-BMGE05	tr2	-9904.657933	-9899.739452	-9904.28490300001
V2META10876-1-42-Calc_Hmm10-BMGE05	tr1	-12303.622033	-12304.865857	-12304.338266
V2META10876-2-42-Calc_Hmm10-BMGE05	tr2	-13846.049405	-13841.706984	-13845.440246
V2META10898-1-42-Calc_Hmm10-BMGE05	tr2	-27693.671921	-27680.281106	-27695.295043
V2META10915-1-42-Calc_Hmm10-BMGE05	tr1	-16498.766895	-16505.077796	-16501.652303
V2META10917-2-42-Calc_Hmm10-BMGE05	tr2	-12803.527126	-12802.186461	-12804.359487
V2META10918-2-42-Calc_Hmm10-BMGE05	tr3	-6762.464949	-6762.009885	-6761.755823
V2META10943-42-Calc_Hmm10-BMGE05	tr2	-17985.661015	-17980.145774	-17984.370452
V2META10950-2-42-Calc_Hmm10-BMGE05	tr2	-16608.996134	-16602.854729	-16607.980375
V2META10959-2-42-Calc_Hmm10-BMGE05	tr2	-9875.891189	-9872.42374699999	-9873.791276
V2META10960-1-42-Calc_Hmm10-BMGE05	tr2	-11932.258537	-11929.730347	-11931.938245
V2META10960-2-42-Calc_Hmm10-BMGE05	tr2	-15071.219908	-15065.964155	-15073.385875
V2META10979-1-42-Calc_Hmm10-BMGE05	tr2	-17421.006819	-17419.804288	-17420.551166
V2META10979-2-42-Calc_Hmm10-BMGE05	tr2	-25611.731859	-25611.020428	-25613.006961
V2META10985-1-42-Calc_Hmm10-BMGE05	tr1	-18255.678709	-18259.92045	-18256.242403
V2META10986-2-42-Calc_Hmm10-BMGE05	tr2	-10686.021541	-10682.083649	-10686.656351
V2META10995-1-42-Calc_Hmm10-BMGE05	tr2	-5079.351504	-5076.703043	-5079.26893
V2META11011-1-42-Calc_Hmm10-BMGE05	tr2	-17880.868773	-17878.522636	-17879.965615
V2META11011-2-42-Calc_Hmm10-BMGE05	tr2	-18261.337616	-18257.203332	-18259.798262
V2META11012-2-42-Calc_Hmm10-BMGE05	tr2	-15508.295208	-15505.631526	-15509.330754
V2META11019-2-42-Calc_Hmm10-BMGE05	tr1	-8118.928349	-8120.100174	-8119.497728
V2META11022-1-42-Calc_Hmm10-BMGE05	tr2	-13511.615276	-13506.046365	-13511.54226
V2META11029-2-42-Calc_Hmm10-BMGE05	tr2	-13317.02638	-13310.813897	-13316.266803
V2META11031-2-2-42-Calc_Hmm10-BMGE05	tr2	-17945.675131	-17945.26763	-17945.365132
V2META11035-1-42-Calc_Hmm10-BMGE05	tr2	-30010.925869	-30008.014953	-30014.032877
V2META11039-1-2-42-Calc_Hmm10-BMGE05	tr2	-14207.08167	-14204.099436	-14206.448782
V2META11061-1-42-Calc_Hmm10-BMGE05	tr2	-24002.162002	-23993.85844	-24002.666098
V2META11065-1-42-Calc_Hmm10-BMGE05	tr2	-7187.493627	-7183.721412	-7187.055298
V2META11065-2-42-Calc_Hmm10-BMGE05	tr2	-13386.717292	-13382.473507	-13383.933784
V2META11066-1-42-Calc_Hmm10-BMGE05	tr2	-5516.49896	-5516.393968	-5516.901927
V2META11069-1-2-42-Calc_Hmm10-BMGE05	tr2	-3605.308559	-3604.893891	-3605.751284
V2META11079-1-42-Calc_Hmm10-BMGE05	tr2	-6010.533371	-6010.142132	-6010.46917
V2META11079-2-42-Calc_Hmm10-BMGE05	tr3	-12574.569411	-12573.828906	-12570.860737
V2META11095-2-42-Calc_Hmm10-BMGE05	tr3	-11072.1612	-11072.357966	-11071.933917
V2META11101-1-42-Calc_Hmm10-BMGE05	tr2	-13354.821983	-13348.059476	-13354.46013
V2META11133-1-42-Calc_Hmm10-BMGE05	tr2	-4701.729007	-4700.587835	-4701.928521
V2META11133-2-42-Calc_Hmm10-BMGE05	tr1	-8745.09182100001	-8747.192263	-8747.516298
V2META11137-1-42-Calc_Hmm10-BMGE05	tr3	-24037.523204	-24039.651236	-24037.124619
V2META11140-2-42-Calc_Hmm10-BMGE05	tr2	-10299.513006	-10298.048791	-10300.193827
V2META11141-2-42-Calc_Hmm10-BMGE05	tr2	-13913.274378	-13907.660467	-13915.452543
V2META11142-42-Calc_Hmm10-BMGE05	tr3	-7324.785317	-7325.768155	-7324.623145
V2META11153-1-42-Calc_Hmm10-BMGE05	tr2	-20683.642544	-20680.628223	-20686.515459
V2META11153-2-42-Calc_Hmm10-BMGE05	tr1	-7966.627575	-7969.567104	-7966.64682
V2META11175-42-Calc_Hmm10-BMGE05	tr1	-15078.685939	-15079.337162	-15081.616096
V2META11191-1-42-Calc_Hmm10-BMGE05	tr3	-6280.981505	-6281.246463	-6276.735607
V2META11192-2-42-Calc_Hmm10-BMGE05	tr2	-13867.111678	-13858.023339	-13866.795947
V2META11196-1-42-Calc_Hmm10-BMGE05	tr3	-5447.818632	-5447.83809	-5441.403749
V2META11199-2-42-Calc_Hmm10-BMGE05	tr3	-13429.508694	-13430.118756	-13427.284459
V2META11201-42-Calc_Hmm10-BMGE05	tr1	-49944.766247	-49945.470842	-49947.872525
V2META11211-42-Calc_Hmm10-BMGE05	tr3	-11748.574083	-11749.409741	-11747.71763
V2META11216-1-42-Calc_Hmm10-BMGE05	tr2	-16436.420436	-16428.668848	-16436.538189
V2META11219-1-42-Calc_Hmm10-BMGE05	tr2	-28406.104033	-28404.592044	-28407.895701
V2META11232-2-42-Calc_Hmm10-BMGE05	tr2	-16139.247533	-16133.562295	-16139.932815
V2META11239-1-42-Calc_Hmm10-BMGE05	tr1	-10982.272852	-10983.460227	-10982.529606
V2META11240-1-42-Calc_Hmm10-BMGE05	tr1	-14942.486807	-14944.102054	-14946.214797
V2META11247-2-42-Calc_Hmm10-BMGE05	tr2	-12401.878117	-12397.608895	-12401.524982
V2META11271-1-42-Calc_Hmm10-BMGE05	tr1	-6566.278606	-6566.644283	-6566.550127
V2META11271-2-42-Calc_Hmm10-BMGE05	tr2	-5612.010609	-5610.55005	-5612.452681
V2META11289-1-42-Calc_Hmm10-BMGE05	tr3	-10600.269564	-10600.83718	-10600.197835
V2META11295-1-42-Calc_Hmm10-BMGE05	tr2	-7510.724619	-7508.505656	-7509.429418
V2META11299-2-42-Calc_Hmm10-BMGE05	tr3	-30363.8850689999	-30361.3904369999	-30361.2762969999
V2META11302-42-Calc_Hmm10-BMGE05	tr1	-9414.189124	-9417.687913	-9416.72960099999
V2META11305-1-42-Calc_Hmm10-BMGE05	tr2	-4137.467274	-4133.654327	-4136.604666
V2META11305-2-42-Calc_Hmm10-BMGE05	tr2	-9015.54760400001	-9013.99983500001	-9014.37270500001
V2META11310-1-42-Calc_Hmm10-BMGE05	tr2	-4395.019408	-4392.216282	-4395.227582
V2META11358-2-42-Calc_Hmm10-BMGE05	tr2	-18857.345553	-18856.502398	-18857.121055
V2META11374-1-42-Calc_Hmm10-BMGE05	tr2	-13010.914293	-12996.461185	-13011.99725
V2META11376-2-42-Calc_Hmm10-BMGE05	tr2	-9283.460688	-9279.70781200001	-9284.674926
V2META11377-2-42-Calc_Hmm10-BMGE05	tr3	-6001.199257	-6001.5326	-5998.540225
V2META11380-42-Calc_Hmm10-BMGE05	tr2	-27827.837824	-27824.646493	-27826.868486
V2META11383-2-42-Calc_Hmm10-BMGE05	tr1	-10599.568393	-10607.577355	-10607.974937
V2META11387-1-42-Calc_Hmm10-BMGE05	tr2	-11185.779815	-11185.492397	-11187.195872
V2META11387-2-42-Calc_Hmm10-BMGE05	tr3	-9128.499366	-9129.735074	-9127.552376
V2META11388-2-42-Calc_Hmm10-BMGE05	tr2	-5462.720038	-5457.315844	-5461.512572
V2META11390-42-Calc_Hmm10-BMGE05	tr2	-20230.734289	-20225.323459	-20231.905816
V2META11392-2-42-Calc_Hmm10-BMGE05	tr3	-7067.770918	-7066.876076	-7065.706136
V2META11411-42-Calc_Hmm10-BMGE05	tr1	-5939.329103	-5940.345495	-5940.808529
V2META11413-42-Calc_Hmm10-BMGE05	tr3	-13047.036821	-13047.254225	-13046.453424
V2META11444-1-42-Calc_Hmm10-BMGE05	tr2	-20595.963649	-20593.947989	-20598.306694
V2META11459-1-42-Calc_Hmm10-BMGE05	tr3	-8630.290243	-8630.390102	-8630.169799
V2META11461-42-Calc_Hmm10-BMGE05	tr2	-11940.188569	-11934.953862	-11940.121131
V2META11462-1-42-Calc_Hmm10-BMGE05	tr2	-6325.000953	-6323.349801	-6325.765484
V2META11491-1-42-Calc_Hmm10-BMGE05	tr2	-6051.332441	-6050.27238	-6050.35798
V2META11492-2-42-Calc_Hmm10-BMGE05	tr3	-10868.453574	-10867.619748	-10867.227224
V2META11493-2-42-Calc_Hmm10-BMGE05	tr3	-5632.28809	-5632.889061	-5632.277935
V2META11510-1-42-Calc_Hmm10-BMGE05	tr3	-8314.014737	-8315.426	-8313.592233
