gene_id	tree_supported	tr1_log-likelihood	tr2_log-likelihood	tr3_log-likelihood
Gene_0010	tr1	-6388.27805399999	-6388.734173	-6388.44774
Gene_0026	tr2	-16970.96954	-16960.310808	-16969.219361
Gene_0027	tr1	-11819.143394	-11819.694848	-11819.183296
Gene_0030	tr1	-20906.80804	-20906.948123	-20907.315352
Gene_0033	tr2	-20472.689931	-20470.028065	-20471.736144
Gene_0034	tr2	-19610.023382	-19602.773882	-19612.824737
Gene_0035	tr2	-17413.37618	-17412.664192	-17413.832177
Gene_0066	tr1	-6712.910466	-6712.95797	-6713.173146
Gene_0069	tr2	-1574.185446	-1573.650868	-1574.165047
Gene_0076	tr2	-11689.938139	-11688.005166	-11689.861852
Gene_0077	tr2	-8160.38069	-8160.19221499999	-8160.66698
Gene_0088	tr2	-7412.14230999999	-7411.73456	-7411.820155
Gene_0089	tr2	-13374.073498	-13369.959707	-13373.55218
Gene_0101	tr1	-22507.229717	-22516.076121	-22508.071007
Gene_0102	tr2	-22301.425171	-22288.725702	-22300.311535
Gene_0113	tr3	-10973.352845	-10973.007617	-10972.987466
Gene_0114	tr2	-18626.224457	-18620.555243	-18628.980623
Gene_0121	tr2	-19511.718941	-19508.850726	-19514.47226
Gene_0134	tr2	-4634.62546	-4634.321245	-4636.071962
Gene_0145	tr2	-18565.071721	-18556.959868	-18566.672687
Gene_0153	tr2	-10008.421528	-10007.761355	-10007.963836
Gene_0164	tr1	-9584.027513	-9584.265147	-9584.24616099999
Gene_0169	tr2	-7205.98117	-7205.799387	-7205.90857600001
Gene_0174	tr3	-23527.948329	-23528.650201	-23526.053592
Gene_0185	tr3	-17789.401587	-17789.365176	-17789.059995
Gene_0191	tr2	-6274.275096	-6271.846185	-6274.28015
Gene_0194	tr2	-22917.417765	-22914.558888	-22916.908155
Gene_0200	tr2	-2787.213134	-2786.332296	-2787.379752
Gene_0201	tr1	-22234.116079	-22243.316135	-22241.478211
Gene_0202	tr2	-12388.395927	-12387.551365	-12387.976395
Gene_0226	tr1	-7934.342758	-7938.198979	-7934.962873
Gene_0236	tr2	-17115.398336	-17115.188222	-17115.517353
Gene_0245	tr2	-17151.279195	-17142.643546	-17150.788366
Gene_0251	tr1	-17874.861673	-17879.649639	-17876.802267
Gene_0252	tr2	-19657.804175	-19656.752359	-19656.982913
Gene_0260	tr2	-16794.165546	-16783.900908	-16792.723368
Gene_0281	tr2	-11288.334976	-11288.154386	-11288.5689
Gene_0295	tr2	-3542.095841	-3540.354407	-3542.148815
Gene_0303	tr3	-12263.366379	-12263.340873	-12262.728357
Gene_0317	tr2	-5239.011647	-5237.786787	-5238.947114
Gene_0320	tr2	-11221.202815	-11218.828279	-11221.340185
Gene_0328	tr2	-13309.616844	-13307.094968	-13309.306326
Gene_0330	tr2	-14792.720989	-14792.531665	-14792.620778
Gene_0334	tr2	-33472.539827	-33467.427555	-33473.389503
Gene_0335	tr2	-10266.172898	-10261.819606	-10266.165731
Gene_0337	tr2	-19498.923168	-19493.219872	-19499.927056
Gene_0348	tr2	-22362.428164	-22359.72856	-22362.369991
Gene_0349	tr2	-12892.482609	-12883.495676	-12892.485832
Gene_0350	tr1	-9605.11854100001	-9605.60758199999	-9605.29923799999
Gene_0351	tr3	-7074.280717	-7074.553039	-7073.951412
Gene_0360	tr1	-26045.452124	-26047.365137	-26046.310299
Gene_0376	tr2	-6733.679956	-6733.59146	-6733.653767
Gene_0399	tr1	-6936.903494	-6937.34843599999	-6937.65527099999
Gene_0406	tr1	-4407.200433	-4407.507127	-4407.399802
Gene_0414	tr2	-5932.66004	-5932.22875	-5932.60341
Gene_0420	tr1	-25211.323708	-25214.873535	-25214.178871
Gene_0422	tr2	-19286.46577	-19277.117215	-19287.147531
Gene_0424	tr2	-8851.120807	-8846.609351	-8851.23824100001
Gene_0428	tr2	-31433.84794	-31418.618546	-31432.35517
Gene_0435	tr2	-10771.802154	-10765.157788	-10771.707946
Gene_0438	tr2	-12442.418605	-12441.50324	-12444.598116
Gene_0441	tr3	-23487.663218	-23488.022871	-23486.970594
Gene_0443	tr3	-8435.270325	-8435.294789	-8435.065731
Gene_0445	tr1	-5838.641706	-5839.607325	-5840.066254
Gene_0471	tr2	-10566.181808	-10565.264042	-10567.21766
Gene_0478	tr2	-14957.723216	-14951.609669	-14957.134717
Gene_0481	tr3	-8248.890623	-8248.460872	-8247.936869
Gene_0483	tr1	-5005.487823	-5005.863643	-5005.728295
Gene_0507	tr2	-17377.454087	-17372.032369	-17379.1202
Gene_0509	tr2	-13737.509978	-13729.502486	-13737.44192
Gene_0511	tr3	-5181.35914	-5181.356668	-5181.26084
Gene_0518	tr1	-14602.362013	-14602.789934	-14602.723857
Gene_0521	tr2	-15866.576827	-15859.052893	-15866.742069
Gene_0531	tr3	-17855.206874	-17855.114143	-17854.853852
Gene_0542	tr3	-3941.98473	-3942.007581	-3941.619945
Gene_0544	tr2	-11405.103072	-11401.303936	-11406.076498
Gene_0545	tr2	-22033.323086	-22022.735833	-22031.963234
Gene_0557	tr2	-21132.757129	-21132.376609	-21138.703247
Gene_0563	tr3	-18360.341202	-18360.08928	-18359.066852
Gene_0575	tr2	-11496.905753	-11490.765358	-11497.114149
Gene_0580	tr1	-16093.209648	-16097.022223	-16093.531443
Gene_0581	tr2	-14248.051754	-14242.308489	-14247.441116
Gene_0587	tr2	-15864.582047	-15860.852085	-15866.418447
Gene_0596	tr2	-41144.3518600001	-41138.944666	-41145.342049
Gene_0610	tr1	-7451.321235	-7451.693163	-7451.814744
Gene_0658	tr1	-7289.676763	-7290.251761	-7290.21936
Gene_0701	tr1	-16977.127911	-16977.176914	-16977.556058
Gene_0703	tr1	-6089.64661	-6089.677603	-6089.679317
Gene_0708	tr1	-23256.527335	-23266.857281	-23258.675466
Gene_0714	tr2	-14954.24768	-14953.455364	-14954.155304
Gene_0718	tr2	-4306.724479	-4303.070464	-4306.747044
Gene_0723	tr2	-17415.072398	-17414.106508	-17414.805178
Gene_0729	tr1	-11714.225494	-11714.7077	-11714.401812
Gene_0731	tr1	-11506.354844	-11506.58599	-11506.789159
Gene_0740	tr2	-10048.706873	-10042.947929	-10048.907624
Gene_0771	tr2	-15269.966987	-15246.916074	-15268.832137
Gene_0774	tr3	-5548.764914	-5548.38334	-5548.36518799999
Gene_0784	tr2	-3250.156607	-3249.026865	-3250.22229
Gene_0798	tr1	-16798.635523	-16804.162992	-16798.690013
Gene_0809	tr2	-14986.717888	-14984.95527	-14986.985184
Gene_0814	tr2	-33740.977769	-33736.403816	-33743.530352
Gene_0831	tr3	-12638.55878	-12638.44737	-12638.440731
Gene_0842	tr3	-5649.239308	-5649.30452	-5648.906693
Gene_0843	tr2	-3944.620874	-3943.233788	-3944.382027
Gene_0846	tr2	-17038.995028	-17036.021395	-17038.494604
Gene_0857	tr3	-12603.410757	-12603.642561	-12603.080194
Gene_0858	tr2	-7907.084828	-7898.560297	-7906.846405
Gene_0873	tr2	-16270.289769	-16268.5213	-16270.068711
Gene_0884	tr2	-19375.845646	-19373.036139	-19374.847409
Gene_0893	tr1	-12635.337039	-12635.529394	-12635.683069
Gene_0902	tr2	-10510.487309	-10509.540754	-10511.542821
Gene_0906	tr2	-19782.067283	-19772.541019	-19779.636857
Gene_0915	tr2	-12723.687645	-12723.258271	-12723.50643
Gene_0934	tr3	-6992.547787	-6993.30247	-6992.478048
Gene_0961	tr3	-13388.158673	-13388.601572	-13387.92217
Gene_0980	tr1	-17369.256012	-17369.432801	-17369.379635
Gene_0985	tr2	-3237.704974	-3234.034356	-3237.910155
Gene_0986	tr2	-5538.612927	-5536.500019	-5538.402366
Gene_0989	tr2	-21224.1205	-21209.585319	-21222.314507
Gene_0992	tr2	-14237.543553	-14237.306309	-14237.753105
Gene_0995	tr1	-6719.767833	-6719.902726	-6719.846347
Gene_0997	tr3	-18812.264781	-18810.97907	-18809.771214
Gene_1015	tr3	-27702.646373	-27706.525595	-27702.583963
Gene_1018	tr2	-23244.867321	-23240.535826	-23246.398184
Gene_1019	tr1	-19214.330814	-19215.6991	-19217.728621
Gene_1023	tr2	-14157.065713	-14156.432568	-14156.626071
Gene_1034	tr1	-12561.886624	-12566.078537	-12568.344327
