Basefrequencies
File	Clade	N taxa (informative)	p(A)	p(V)	p(L)	p(I)	p(P)	p(M)	p(F)	p(W)	p(G)	p(S)	p(T)	p(C)	p(N)	p(Q)	p(Y)	p(D)	p(E)	p(K)	p(R)	p(H)	p(Hydrophobic)	p(Hydrophilic)	p(Polar)	p(Nonpolar)	p(Positive)	p(Neutral)	p(Negative)	RCFV Value	csRCFV (A)	csRCFV (V)	csRCFV (L)	csRCFV (I)	csRCFV (P)	csRCFV (M)	csRCFV (F)	csRCFV (W)	csRCFV (G)	csRCFV (S)	csRCFV (T)	csRCFV (C)	csRCFV (N)	csRCFV (Q)	csRCFV (Y)	csRCFV (D)	csRCFV (E)	csRCFV (K)	csRCFV (R)	csRCFV (H)	csRCFV (Hydrophobic)	csRCFV (Hydrophilic)	csRCFV (Polar)	csRCFV (Nonpolar)	csRCFV (Positive)	csRCFV (Neutral)	csRCFV (Negative)	Chi-square value	Degrees of freedom	p-value	p(sites)	p(Gap) [-]	p(Ambiguity) [X]	p(Missing Data) [?]	csRCFV (Gap)	csRCFV (Ambiguity)	p_uninformative sites	p_inv(state)	p_inv(structure)	p_inv(polarity)	p_inv(charge)
Metazoa_Choano_RCFV_strict.phy	0 All_Taxa	76	0.0700	0.0187	0.0534	0.0508	0.0386	0.0348	0.0570	0.0110	0.0623	0.0691	0.0263	0.0538	0.0714	0.0265	0.0606	0.0676	0.1063	0.0410	0.0431	0.0375	0.3549	0.6451	0.5203	0.4797	0.1261	0.7525	0.1214	0.0527	0.0048	0.0018	0.0028	0.0021	0.0031	0.0024	0.0034	0.0009	0.0031	0.0051	0.0013	0.0017	0.0029	0.0012	0.0036	0.0031	0.0040	0.0022	0.0018	0.0015	0.0058	0.0058	0.0068	0.0068	0.0046	0.0078	0.0038	7626.55671	1425	0	0.4719	0.5281	0.0000	0.0000	0.2813	0.0000	0.5281	0.0000	0.0000	0.0000	0.0000
Gene_0010	0 All_Taxa	44	0.0815	0.0164	0.1370	0.0496	0.0344	0.0319	0.1035	0.0046	0.0421	0.0998	0.0181	0.0314	0.0741	0.0432	0.0512	0.0308	0.0529	0.0185	0.0226	0.0562	0.2871	0.7129	0.5018	0.4982	0.2034	0.7343	0.0623	0.0642	0.0059	0.0016	0.0030	0.0041	0.0035	0.0026	0.0035	0.0006	0.0032	0.0046	0.0031	0.0028	0.0053	0.0022	0.0048	0.0020	0.0038	0.0021	0.0031	0.0023	0.0070	0.0070	0.0058	0.0058	0.0047	0.0046	0.0033	227.06798	817	1.00000	0.9576	0.0424	0.0000	0.0000	0.0415	0.0000	0.4456	0.2447	0.3460	0.3713	0.4388
Gene_0026	0 All_Taxa	39	0.0668	0.0119	0.0357	0.0509	0.0373	0.0378	0.0786	0.0042	0.0472	0.0959	0.0294	0.0664	0.0629	0.0255	0.0646	0.0681	0.1009	0.0452	0.0317	0.0389	0.3365	0.6635	0.5650	0.4350	0.1745	0.6910	0.1346	0.0631	0.0046	0.0011	0.0029	0.0033	0.0026	0.0024	0.0055	0.0008	0.0022	0.0068	0.0020	0.0021	0.0038	0.0017	0.0047	0.0056	0.0038	0.0032	0.0018	0.0022	0.0061	0.0061	0.0078	0.0077	0.0061	0.0097	0.0057	403.7791	722	1.00000	0.9107	0.0893	0.0000	0.0000	0.0608	0.0000	0.5327	0.0318	0.0497	0.0676	0.0895
Gene_0027	0 All_Taxa	41	0.0998	0.0197	0.0623	0.0537	0.0408	0.0159	0.0461	0.0068	0.0588	0.0723	0.0243	0.0631	0.0806	0.0139	0.0799	0.0724	0.0933	0.0404	0.0301	0.0257	0.3599	0.6401	0.4972	0.5028	0.1185	0.7460	0.1355	0.0508	0.0039	0.0016	0.0015	0.0036	0.0026	0.0017	0.0029	0.0006	0.0035	0.0036	0.0022	0.0024	0.0037	0.0013	0.0032	0.0035	0.0028	0.0020	0.0022	0.0020	0.0057	0.0057	0.0041	0.0041	0.0025	0.0043	0.0026	265.13842	760	1.00000	0.9220	0.0780	0.0000	0.0000	0.0653	0.0000	0.5026	0.0943	0.1656	0.1782	0.2055
Gene_0030	0 All_Taxa	42	0.0750	0.0157	0.0599	0.0531	0.0384	0.0349	0.0595	0.0259	0.0792	0.0534	0.0288	0.0501	0.0709	0.0256	0.0483	0.0589	0.0998	0.0372	0.0367	0.0486	0.3632	0.6368	0.5060	0.4940	0.1129	0.7781	0.1090	0.0882	0.0060	0.0026	0.0054	0.0043	0.0036	0.0042	0.0044	0.0034	0.0059	0.0061	0.0033	0.0042	0.0063	0.0029	0.0045	0.0047	0.0045	0.0040	0.0034	0.0045	0.0084	0.0084	0.0087	0.0087	0.0063	0.0076	0.0042	557.35726	779	1.00000	0.6080	0.3920	0.0000	0.0000	0.1652	0.0000	0.6640	0.0016	0.0031	0.0031	0.0031
Gene_0033	0 All_Taxa	45	0.0547	0.0204	0.0458	0.0481	0.0377	0.0436	0.0555	0.0091	0.0613	0.0803	0.0247	0.0565	0.0755	0.0210	0.0739	0.0581	0.1288	0.0306	0.0363	0.0381	0.3655	0.6345	0.5132	0.4868	0.1358	0.7496	0.1146	0.0914	0.0057	0.0034	0.0039	0.0040	0.0037	0.0028	0.0044	0.0021	0.0060	0.0070	0.0032	0.0046	0.0065	0.0029	0.0055	0.0055	0.0048	0.0043	0.0052	0.0061	0.0089	0.0089	0.0089	0.0089	0.0053	0.0103	0.0063	694.232709999999	836	0.99988	0.7132	0.2868	0.0000	0.0000	0.1765	0.0000	0.5777	0.0017	0.0132	0.0165	0.0182
Gene_0034	0 All_Taxa	44	0.0671	0.0285	0.0675	0.0551	0.0388	0.0410	0.0614	0.0129	0.0786	0.0446	0.0276	0.0594	0.0601	0.0222	0.0599	0.0580	0.1013	0.0332	0.0424	0.0405	0.3517	0.6483	0.5207	0.4793	0.1060	0.7766	0.1173	0.0817	0.0052	0.0029	0.0044	0.0040	0.0037	0.0029	0.0051	0.0016	0.0057	0.0043	0.0030	0.0043	0.0041	0.0035	0.0062	0.0043	0.0062	0.0039	0.0035	0.0030	0.0076	0.0076	0.0102	0.0102	0.0055	0.0088	0.0059	476.09818	817	1.00000	0.7239	0.2761	0.0000	0.0000	0.1802	0.0000	0.5809	0.0000	0.0000	0.0000	0.0000
Gene_0035	0 All_Taxa	38	0.0702	0.0161	0.0582	0.0427	0.0459	0.0298	0.0639	0.0159	0.0576	0.0581	0.0302	0.0528	0.0771	0.0398	0.0550	0.0703	0.0884	0.0418	0.0417	0.0445	0.3458	0.6542	0.5188	0.4812	0.1221	0.7548	0.1231	0.0761	0.0044	0.0020	0.0040	0.0046	0.0046	0.0024	0.0050	0.0025	0.0043	0.0044	0.0022	0.0039	0.0062	0.0031	0.0051	0.0036	0.0038	0.0032	0.0047	0.0021	0.0075	0.0075	0.0068	0.0068	0.0072	0.0103	0.0054	443.43131	703	1.00000	0.6920	0.3080	0.0000	0.0000	0.1550	0.0000	0.6540	0.0088	0.0102	0.0146	0.0161
Gene_0066	0 All_Taxa	39	0.0665	0.0243	0.0309	0.0553	0.0487	0.0481	0.0831	0.0021	0.0374	0.1102	0.0307	0.0605	0.0406	0.0084	0.0548	0.1176	0.0715	0.0344	0.0344	0.0405	0.3005	0.6995	0.6280	0.3720	0.1933	0.6286	0.1781	0.081	0.0085	0.0015	0.0028	0.0044	0.0035	0.0030	0.0037	0.0013	0.0044	0.0068	0.0033	0.0048	0.0056	0.0028	0.0058	0.0045	0.0048	0.0050	0.0017	0.0027	0.0077	0.0077	0.0106	0.0106	0.0070	0.0088	0.0045	352.62725	722	1.00000	0.9611	0.0389	0.0000	0.0000	0.0207	0.0000	0.5068	0.1466	0.2880	0.2932	0.3455
Gene_0069	0 All_Taxa	39	0.0306	0.1160	0.0989	0.0334	0.0218	0.0631	0.0761	0.0000	0.0465	0.1036	0.0138	0.0716	0.0643	0.0173	0.0576	0.0474	0.0467	0.0247	0.0228	0.0439	0.2153	0.7847	0.6215	0.3785	0.1797	0.7012	0.1190	0.0511	0.0034	0.0023	0.0019	0.0042	0.0026	0.0017	0.0032	0.0000	0.0032	0.0037	0.0029	0.0018	0.0032	0.0017	0.0034	0.0021	0.0021	0.0027	0.0031	0.0021	0.0057	0.0057	0.0046	0.0046	0.0036	0.0040	0.0023	102.86383	722	1.00000	0.9569	0.0431	0.0000	0.0000	0.0265	0.0000	0.5090	0.2478	0.3805	0.3805	0.4336
