	Metazoa_Choano_RCFV_strict.phy	Gene_0010	Gene_0026	Gene_0027	Gene_0030	Gene_0033	Gene_0034	Gene_0035	Gene_0066	Gene_0069	Gene_0076	Gene_0077	Gene_0088	Gene_0089	Gene_0101	Gene_0102	Gene_0113	Gene_0114	Gene_0121	Gene_0134	Gene_0145	Gene_0153	Gene_0164	Gene_0169	Gene_0174	Gene_0185	Gene_0191	Gene_0194	Gene_0200	Gene_0201	Gene_0202	Gene_0226	Gene_0236	Gene_0245	Gene_0251	Gene_0252	Gene_0260	Gene_0281	Gene_0295	Gene_0303	Gene_0317	Gene_0320	Gene_0328	Gene_0330	Gene_0334	Gene_0335	Gene_0337	Gene_0348	Gene_0349	Gene_0350	Gene_0351	Gene_0360	Gene_0376	Gene_0399	Gene_0406	Gene_0414	Gene_0420	Gene_0422	Gene_0424	Gene_0428	Gene_0435	Gene_0438	Gene_0441	Gene_0443	Gene_0445	Gene_0471	Gene_0478	Gene_0481	Gene_0483	Gene_0507	Gene_0509	Gene_0511	Gene_0518	Gene_0521	Gene_0531	Gene_0542	Gene_0544	Gene_0545	Gene_0557	Gene_0563	Gene_0575	Gene_0580	Gene_0581	Gene_0587	Gene_0596	Gene_0610	Gene_0658	Gene_0701	Gene_0703	Gene_0708	Gene_0714	Gene_0718	Gene_0723	Gene_0729	Gene_0731	Gene_0740	Gene_0771	Gene_0774	Gene_0784	Gene_0798	Gene_0809	Gene_0814	Gene_0831	Gene_0842	Gene_0843	Gene_0846	Gene_0857	Gene_0858	Gene_0873	Gene_0884	Gene_0893	Gene_0902	Gene_0906	Gene_0915	Gene_0934	Gene_0961	Gene_0980	Gene_0985	Gene_0986	Gene_0989	Gene_0992	Gene_0995	Gene_0997	Gene_1015	Gene_1018	Gene_1019	Gene_1023	Gene_1034
Spongilla_lacustris	0.6489	0.7004	0.6351	0.6438	0.6629		0.6320		0.6766	0.7699	0.6439			0.6466	0.6704		0.6576	0.6521		0.7179	0.5699	0.7452		0.7006		0.6209	0.6894		0.6889	0.5800			0.5996	0.6594	0.6505	0.6129	0.6462	0.6838	0.6357	0.6409	0.7425	0.6903	0.5987	0.6962	0.6483	0.7183	0.5895	0.6256	0.6287	0.6402	0.6644	0.6639	0.6301	0.5476	0.6630	0.6270	0.6537	0.6434	0.6641			0.6125			0.6686	0.6286	0.6765		0.6436				0.6520		0.6562	0.6498	0.6186	0.6407		0.6250	0.6565	0.6480	0.6600	0.6746		0.6442	0.6500	0.6920			0.6810	0.6753	0.6429		0.6479	0.6902	0.6463	0.6516	0.7528	0.6301	0.6564		0.7148		0.6320	0.6624	0.7024	0.5366	0.4926	0.6593	0.6642	0.6304			0.6447	0.6500	0.7113	0.6978	0.6966		0.6309	0.6250		0.5910			0.6368	0.6318
Acanthoeca_sp	0.6366	0.7173	0.6667	0.6239		0.6374	0.6307	0.6530	0.6772	0.7857		0.6407	0.6219	0.6400	0.6485	0.6439	0.6416	0.6906	0.6394	0.6983	0.5511	0.7048		0.6133	0.6275	0.6137	0.7372		0.6741	0.5806	0.6811	0.6339	0.6068	0.6681	0.6413	0.6387	0.6129	0.6601	0.7143	0.6497	0.7066	0.7079	0.6395	0.6757	0.6369	0.6982	0.6562	0.5960	0.6106	0.6374	0.6578	0.6962	0.6257	0.5789	0.6851	0.6359	0.6639	0.6655	0.6468	0.6019	0.7028		0.6426	0.6404	0.6509	0.5857		0.6815	0.6117	0.5422	0.5483	0.5961	0.6429	0.6140	0.6259	0.6590	0.6068	0.6263	0.6050	0.6130	0.6676	0.6678	0.6291	0.6606	0.6132	0.6096	0.6266	0.6010	0.6763		0.6101	0.6429	0.6317	0.5879	0.6514	0.7176	0.6089	0.6623	0.7634	0.6154	0.6777	0.6168	0.7057	0.4972	0.6746	0.6469	0.6424	0.5403		0.6303	0.6475	0.6447	0.6662	0.6773	0.6096	0.6575	0.6698	0.6835	0.6723	0.6469	0.5974	0.6263	0.5411	0.6205	0.6012	0.6641	0.6355	0.6031
Mycale_phylophylla	0.6532	0.7384	0.6596	0.6681					0.6882		0.6173	0.6780	0.6335	0.6820	0.6562	0.6711	0.6796			0.7436	0.5615	0.7105	0.6720	0.7037	0.6545	0.6635	0.6914	0.6580	0.6741		0.6575	0.6535	0.5772	0.6744		0.6249	0.6299	0.7012	0.6357	0.6334	0.7545	0.6978		0.6923	0.6881	0.7113		0.6453	0.6550	0.6419	0.6657		0.6364	0.5263	0.6742	0.5667	0.6538	0.6583	0.6975		0.7063	0.6192	0.6511	0.6601	0.6686	0.6327	0.6959	0.6909	0.6223	0.6078	0.5515	0.6063	0.6694	0.6316	0.6796	0.6452		0.7024	0.6508	0.6009	0.6827	0.6661	0.6402	0.6567	0.6308	0.5890	0.6519	0.6460	0.6818	0.6300		0.6623				0.7255	0.6674	0.6718		0.6788	0.6827	0.6380	0.7098	0.5246	0.6560		0.6725	0.5900		0.6961	0.6516	0.6476	0.6590	0.7178	0.6667	0.5984	0.7299	0.6835	0.6949	0.6583	0.6257	0.5842	0.5531	0.5993	0.6643	0.6333	0.6533	0.6509
Physalia_physalia	0.6491	0.7131	0.6807	0.6206	0.6549				0.7021		0.6543	0.6447		0.6391		0.6620	0.6547	0.6464	0.6239	0.6810		0.7069	0.6812	0.6978		0.6332	0.7233		0.6667	0.5297	0.6804	0.6345	0.5634	0.6492		0.6450	0.6198	0.6865	0.6214	0.6462	0.6886	0.6940		0.6730		0.6972	0.5833		0.6493	0.6388	0.6637		0.6406	0.5455	0.6689	0.6221			0.6611	0.6235	0.7133	0.6294	0.6616	0.6355	0.6450	0.6522	0.7063	0.6945	0.6649	0.5629	0.5289	0.5866	0.6667	0.6336	0.6586	0.6359	0.6273		0.6237		0.6751	0.6240	0.6453	0.6697	0.6512	0.6012	0.6392	0.6627	0.6727	0.7024	0.6937	0.6883	0.6684	0.5758	0.6198	0.7255	0.6611	0.6706	0.7312	0.6333	0.7005	0.6515	0.6932	0.5738	0.6720	0.6763	0.6804	0.5813	0.4895		0.6566	0.6575		0.6888	0.6447	0.5938	0.7096	0.6978	0.6854	0.6113	0.6623	0.6200	0.5684	0.5844	0.6427		0.6853	0.6477
Homo_sapiens	0.6383	0.7046	0.6695	0.6239	0.6000	0.6182	0.6280	0.6442	0.7016	0.7818	0.6379	0.6542	0.6389	0.6544	0.6768	0.6367	0.6385	0.6748	0.5730	0.7179	0.5369	0.7229	0.6462	0.6968	0.6368	0.6351	0.7000	0.6477	0.6889	0.5480	0.6630	0.6339	0.5941	0.6653	0.6304	0.6259	0.6220	0.6691	0.6786	0.6359	0.7246	0.6754	0.6195	0.6699	0.6727	0.6972	0.6296	0.6264	0.6316	0.6306	0.6420	0.6545	0.6263	0.5837	0.6480	0.6359	0.6549	0.6500	0.6667	0.6292	0.6993	0.6131	0.6460	0.6471	0.6509	0.5592	0.6756	0.6715	0.6277	0.5572	0.4985	0.5866	0.6640	0.6316	0.6353	0.6452	0.6203	0.6190	0.6072	0.6331	0.6827	0.6711	0.6225	0.6655	0.6168	0.5951	0.6646	0.6425	0.6761	0.6261	0.6997	0.6558	0.6570	0.5818	0.6373	0.7098	0.6616	0.6474	0.7444	0.6250	0.6954	0.6497	0.7057	0.5301	0.6320	0.6563	0.6242	0.5439	0.5117	0.6250	0.6583	0.6264	0.6562	0.7203	0.6579	0.6789	0.6867	0.7050	0.6836	0.6375	0.6204	0.6050	0.5832	0.6118	0.6354	0.6711	0.6626	0.6089
Amphimedon_queenslandica	0.6446	0.7384	0.6566	0.6534	0.6361	0.6235	0.6505	0.6517	0.6878	0.7788	0.6527	0.6746	0.6400	0.6747	0.6737	0.6185	0.6597	0.6870		0.7328	0.5714	0.7277	0.6526	0.6702	0.6401	0.6517	0.7063	0.6439	0.6667	0.5570	0.6605	0.6181	0.5887	0.6765	0.6448	0.6104	0.6194	0.6826	0.6480	0.6409	0.7066	0.6418	0.6355	0.6818	0.6634	0.7042	0.6380		0.6228	0.6306	0.6545	0.6389	0.6566	0.5476	0.7039	0.6000	0.6351	0.6565	0.6667	0.6227	0.7153		0.6442	0.6422	0.6471	0.6078	0.6849	0.6873	0.6424	0.5760	0.5122	0.5906	0.6640	0.6677	0.6549	0.6452	0.6392		0.6248	0.6082	0.6753	0.6645	0.6336		0.6484	0.6319	0.6962	0.6299	0.6849	0.6320	0.6969	0.6623	0.6402	0.6159	0.6268		0.6241	0.6538	0.7333	0.6508	0.7132	0.6633	0.7047	0.5301	0.6480	0.6705	0.7037	0.5659	0.4901	0.6290	0.6591	0.6275	0.6467	0.7143	0.6667	0.6893	0.6894	0.6906	0.6846	0.6608	0.6579	0.6345	0.5682	0.6071	0.6354		0.6568	0.6165
Hydra_oligactis	0.6515	0.6962		0.6345			0.6132		0.6995		0.6420	0.6814		0.6269			0.6633			0.6983	0.5817	0.6940	0.6531	0.7037	0.6535	0.6296	0.7107		0.6741		0.6948	0.6602	0.5687	0.6589					0.6429		0.7475	0.7090			0.7029	0.7289		0.6187	0.6228	0.6261	0.6667	0.6556	0.6545	0.5739	0.6742	0.5952			0.6569			0.5789	0.6345		0.6568		0.6622	0.6873	0.6389		0.5059	0.5906	0.6531		0.6472	0.6544					0.6827		0.6268			0.5934	0.6456	0.6324	0.6932					0.6242		0.7027	0.6653	0.6401	0.6774		0.6929	0.6459	0.7019	0.5574						0.6439	0.6456	0.6418		0.6713	0.6316	0.6329		0.6978	0.7119						0.7040		0.6716	
Rossella_fibulata	0.6445	0.7089	0.6767	0.6492	0.6496		0.6436		0.7326		0.6461	0.6780	0.6431	0.6636	0.6873	0.6455	0.6644		0.6143	0.6754	0.5495	0.6996	0.7234	0.6865		0.6659	0.7051	0.6212		0.5435	0.6387	0.6299	0.5920	0.6555	0.6594	0.6317	0.6604	0.7922	0.6500	0.6357		0.6716	0.6040	0.6942	0.6470	0.6855		0.6352	0.6353	0.6388	0.6667		0.6515	0.5194	0.6983	0.6595	0.6870	0.6416	0.6611	0.6129		0.6226	0.6391	0.6078	0.6391	0.6234	0.6676	0.6775	0.6277		0.4713	0.5984	0.6667					0.6533	0.5989	0.6248	0.6832		0.6133	0.6637	0.6154	0.6352	0.6709	0.6338	0.7273	0.6329	0.7139		0.6296	0.6372	0.6173	0.7052	0.6695	0.6728	0.7444	0.6429	0.7081	0.6667	0.6654	0.5082	0.6667	0.6686	0.6954	0.5564	0.5459	0.6065	0.6558	0.6447	0.6766	0.7123	0.6579	0.6859	0.7177	0.7194	0.7022	0.6616	0.6361	0.6300	0.5339	0.6184	0.6354	0.6974	0.6617	
Kirkpatrickia_variolosa	0.6472	0.7173		0.6576		0.6172			0.6973	0.8312	0.6296	0.7094	0.6358	0.6759	0.6662	0.6551	0.6644			0.7436	0.5576	0.7079		0.6854	0.6488	0.6469	0.6667	0.6339	0.6593	0.5887	0.6695	0.6378	0.5835	0.6660	0.6460	0.6176	0.6352	0.6866	0.6286	0.6185	0.7425	0.6917		0.6930	0.6713	0.7007		0.6415	0.6257	0.6329	0.6637		0.6616	0.5556	0.6816	0.6522	0.6555	0.6427	0.6975	0.6628		0.6269	0.6256	0.6601	0.6687	0.6163	0.6836	0.6846	0.6489	0.5685		0.6063	0.6584	0.6579	0.6815	0.6550			0.6173		0.6650	0.6639	0.6247		0.6448	0.6184	0.6519	0.6463	0.6989	0.6358	0.6798	0.6494	0.6620	0.6319		0.7216	0.6674	0.6587	0.7222		0.6550		0.7148	0.5278	0.6508	0.6648	0.6933	0.5610	0.5361	0.6478	0.6625	0.6418	0.6522	0.7148	0.6623	0.6361	0.7250	0.6906	0.6966	0.6218	0.6152	0.6228	0.5876	0.5911	0.6406	0.6629	0.6667	0.6226
Agalma_elegans	0.6465			0.6387	0.6423	0.6335	0.6395		0.7021		0.6337	0.6678	0.6240	0.6330	0.6824	0.6393	0.6565	0.6918	0.6402	0.7241	0.6331	0.7112	0.6718	0.7354	0.6441	0.6398	0.7089	0.6536	0.6815	0.5871	0.6856	0.6142	0.5793	0.6753	0.6515	0.6460	0.6197	0.6752	0.6036	0.6243	0.6757	0.6980	0.6569	0.6914	0.6235	0.7007	0.6388	0.6302	0.6462	0.6339	0.6595	0.6571	0.6566	0.5550	0.6798	0.5670	0.6667	0.6493	0.6695	0.6466	0.6958		0.6422	0.6517	0.6627	0.6408	0.6930	0.6727	0.6575	0.5655	0.5227	0.5866	0.6825	0.6471	0.6505	0.6304			0.6080	0.6066	0.6978	0.6661	0.6272	0.7207	0.6440	0.6012	0.6329	0.6688	0.6932	0.6629	0.6916	0.6688	0.6617	0.6518	0.6092	0.7255	0.6400	0.6587		0.6318		0.6485		0.5683	0.6667	0.6535	0.6783	0.5696	0.5094	0.6501	0.6726	0.6536	0.6539	0.6958	0.6535	0.6748	0.7063	0.6978	0.7044	0.6353	0.6675	0.6181	0.5563	0.5748	0.6710	0.7257	0.6531	
