gene_id	tree_supported	tr1_log-likelihood	tr2_log-likelihood	tr3_log-likelihood
100_mra1	tr2	-8179.730264	-8177.171455	-8179.198045
101_tribe801	tr1	-3310.734348	-3311.438667	-3312.510527
102_psmb	tr2	-11964.142783	-11957.729396	-11964.839635
104_rpl13	tr3	-9392.166775	-9392.69254700001	-9391.213117
105_rpl23a	tr1	-4010.151609	-4012.96227	-4014.256088
106_tribe717	tr2	-5536.638663	-5534.888049	-5536.799993
107_psma	tr2	-12471.020607	-12465.598934	-12470.340585
108_tribe1381	tr2	-13222.313192	-13211.091913	-13221.902117
109_dihydrolatransacylase	tr2	-14813.419655	-14807.907271	-14812.976837
10_tribe1374	tr2	-6936.76661599999	-6934.870065	-6939.69996
110_tribe508	tr2	-12061.324318	-12058.559596	-12061.2771
111_rps13a	tr2	-4811.2869	-4807.403383	-4810.826849
112_nsf2	tr3	-21869.92626	-21869.55621	-21868.911506
113_rps23	tr2	-3448.484691	-3445.247122	-3448.404209
115_arc20	tr1	-5519.611608	-5522.078975	-5520.223562
116_fibri	tr3	-6436.355989	-6435.510132	-6435.371619
117_vatb	tr2	-9696.49942899998	-9694.781617	-9695.58452600001
118_psma	tr3	-11911.391232	-11912.527653	-11908.70457
11_pace5	tr2	-10958.916667	-10956.009619	-10958.253036
121_stcproptase2a	tr2	-9109.14538	-9103.60717900001	-9110.981423
122_rpl7	tr3	-11872.257931	-11871.15498	-11870.540695
123_cpn60	tr1	-24545.550997	-24546.087869	-24548.095121
124_orf2	tr1	-7768.76512	-7769.840449	-7772.418329
125_rps17	tr3	-3162.702734	-3162.660962	-3161.285107
126_nsf1	tr2	-18509.442238	-18506.881765	-18510.803374
127_rpl25	tr2	-5848.042825	-5846.930037	-5847.890711
128_tribe542	tr3	-4050.246293	-4050.937156	-4050.198749
129_hsp90	tr2	-30225.709929	-30220.004939	-30229.831271
12_tribe961	tr2	-4884.972628	-4880.552433	-4884.888004
130_nsf1	tr3	-7904.67714	-7905.167514	-7903.11386300001
131_psmb	tr2	-10459.397826	-10458.598909	-10459.479552
132_ar21	tr2	-8166.271398	-8164.626301	-8166.449773
133_psma	tr3	-9321.702524	-9325.151086	-9320.033815
134_rpl30	tr1	-3184.004224	-3185.269936	-3184.497189
136_psma	tr2	-7036.986543	-7035.409297	-7037.32380700001
137_pyrdehydroe1b	tr2	-16428.553798	-16423.477065	-16429.619567
138_rpl11b	tr3	-6017.984167	-6017.755303	-6017.749666
139_rf1	tr2	-11569.306063	-11567.25014	-11570.206815
13_rpl27	tr2	-5925.878088	-5923.773018	-5924.693114
140_tribe852	tr3	-6642.692808	-6643.64181	-6642.441118
142_rps19	tr2	-8506.245035	-8497.118614	-8506.34849999999
143_pyrdehydroe1b	tr3	-14858.038855	-14858.10681	-14857.223573
144_ef1	tr3	-14512.600993	-14511.014441	-14509.737538
146_sap40	tr1	-8959.599341	-8962.195748	-8960.22210799999
147_psmb	tr1	-8496.06000100001	-8497.865288	-8497.925081
148_psma	tr3	-10346.57674	-10347.562102	-10346.113814
149_tribe340	tr2	-4283.06423	-4282.257075	-4282.913634
14_rpl3	tr2	-17558.914218	-17552.854477	-17558.313777
150_rps2	tr3	-7269.103618	-7270.025248	-7268.146588
151_tribe1244	tr2	-7476.296501	-7474.502718	-7476.629636
152_rpl18	tr1	-9020.799737	-9021.397402	-9021.625816
153_tribe629	tr2	-3072.710392	-3071.819697	-3072.973666
154_wrs	tr3	-17690.155977	-17687.577595	-17686.990222
155_rpl15a	tr2	-8970.839423	-8967.367992	-8971.103374
157_vacaatpasepl21	tr2	-5699.569165	-5697.521812	-5699.470436
158_rps28a	tr3	-1194.352115	-1194.075625	-1193.937631
159_glcn	tr2	-15110.930568	-15102.709807	-15110.437083
15_rpl16b	tr2	-10299.233525	-10298.226924	-10299.210801
160_if1a	tr3	-2842.513546	-2842.820115	-2842.376853
161_rpl6	tr2	-8164.365961	-8156.408679	-8164.418563
163_cct	tr3	-22132.420056	-22133.060111	-22132.400913
164_l12e	tr1	-8045.662996	-8046.003443	-8046.187687
165_rla2	tr3	-3031.075949	-3031.759949	-3030.305594
166_tif2a	tr1	-14859.147737	-14859.218695	-14862.436506
167_rps24	tr2	-5715.495219	-5712.695823	-5715.081001
168_cct	tr3	-22319.05272	-22312.865845	-22312.199687
169_pace2	tr2	-12715.829141	-12709.322968	-12715.731548
16_vata	tr2	-19701.765339	-19692.830716	-19702.920999
170_rpl22	tr2	-5410.671829	-5407.447527	-5410.678742
172_hsp90	tr2	-24107.529464	-24096.191419	-24105.586715
175_rps15	tr2	-4947.066445	-4946.36063999999	-4946.855177
176_vatc	tr1	-17608.770587	-17609.46745	-17611.512768
177_tribe1007	tr2	-7877.267197	-7874.684676	-7877.88178
178_rpl39	tr2	-1862.820194	-1861.960289	-1862.89567
179_rps26	tr2	-3432.193719	-3428.935475	-3431.544312
17_rps18	tr3	-5689.996857	-5689.586906	-5689.491311
180_ornamtrans	tr1	-21389.486359	-21393.297408	-21394.289336
181_psmb	tr1	-11865.654358	-11867.864774	-11869.40746
182_rpl12b	tr2	-7584.871896	-7582.350627	-7584.770238
183_rps4	tr1	-12206.158285	-12208.696977	-12206.311972
184_yif1p	tr3	-9372.014798	-9373.704256	-9371.722533
186_l12e	tr2	-6557.649989	-6551.759696	-6558.067452
187_rpl9	tr2	-11105.492445	-11102.539424	-11105.116896
188_xpb	tr2	-22182.03334	-22177.046292	-22184.063299
189_tribe572	tr3	-9154.532544	-9153.074882	-9152.066947
18_tribe1294	tr2	-9202.197379	-9202.197287	-9204.08007
190_psmb	tr2	-12638.07742	-12633.547142	-12637.340765
191_nsf1	tr2	-7494.994953	-7494.198719	-7495.586969
193_rps7	tr3	-8568.839428	-8568.676363	-8568.341415
194_pace2	tr2	-11073.293233	-11067.317077	-11072.458484
195_cct	tr2	-22469.195293	-22465.44573	-22469.924146
196_rps8	tr2	-7924.774109	-7924.342652	-7926.114755
197_rpl17	tr2	-7494.357552	-7491.254879	-7494.237266
198_rpl32	tr3	-6957.864865	-6956.912635	-6955.975371
199_tribe495	tr2	-14199.203202	-14194.466298	-14199.335084
19_psmb	tr3	-11983.082414	-11984.679451	-11981.950348
1_rps9	tr2	-4543.58609	-4541.95165	-4543.877795
200_rpl21	tr1	-9391.946165	-9392.401666	-9392.432173
21_hsp70	tr2	-21342.298241	-21338.497074	-21342.793495
22_crfg	tr2	-22512.878544	-22495.743126	-22514.049848
24_tribe832	tr1	-14749.034026	-14749.732961	-14749.381456
25_rpl1	tr2	-10819.131667	-10818.822189	-10819.906817
27_tribe320	tr1	-5485.182425	-5485.904276	-5485.385643
28_rps14	tr2	-2653.84881	-2651.222195	-2654.470727
29_rps29	tr2	-2402.590913	-2401.104384	-2402.675037
2_rpl20	tr3	-9410.898427	-9411.583107	-9410.876686
31_atpsynthalpha	tr2	-13430.648125	-13424.064811	-13431.842859
32_tribe765	tr1	-2894.013961	-2895.061709	-2894.93231
34_l12e	tr1	-4263.348196	-4263.483003	-4263.378558
36_tribe1200	tr2	-6109.45627	-6102.923382	-6109.441718
38_if2b	tr3	-6412.043129	-6412.522682	-6411.802088
39_tribe768	tr2	-4346.698929	-4346.196622	-4346.924638
3_rpl5	tr2	-15260.463947	-15256.668071	-15260.919745
40_tribe942	tr1	-12321.061273	-12321.230548	-12323.890129
41_rpl37a	tr2	-4128.756325	-4127.106959	-4127.369773
43_psma	tr1	-10953.815946	-10954.39499	-10957.410947
44_suca	tr2	-13144.733243	-13143.704505	-13144.427223
45_rps25	tr2	-3805.505022	-3802.104767	-3805.647425
46_srs	tr2	-20964.144037	-20949.489782	-20961.604324
47_tribe893	tr1	-3046.193667	-3047.034885	-3046.342026
48_rps16	tr2	-5320.546279	-5318.12257	-5319.767446
49_pace2	tr3	-12277.374522	-12275.883705	-12274.988308
4_l12e	tr1	-10367.72249	-10368.939094	-10368.285324
51_rps5	tr3	-5207.869592	-5208.486432	-5207.100284
52_tribe1121	tr1	-2998.456465	-2999.393026	-2998.513299
53_tribe629	tr2	-2033.753555	-2031.728957	-2032.248207
55_if2g	tr3	-14533.017266	-14533.162273	-14531.889579
56_if6	tr1	-9777.928461	-9780.115203	-9778.13876
57_tribe333	tr3	-4501.340454	-4501.086901	-4500.276552
58_fpps	tr2	-16146.4539	-16141.953621	-16144.500192
5_ef2	tr2	-22066.875783	-22053.264637	-22066.77353
60_if2p	tr3	-26680.647232	-26677.954363	-26673.815158
62_rps27	tr2	-2714.706028	-2712.613302	-2714.563238
65_rpl35	tr2	-7334.621324	-7334.311023	-7335.003806
66_rps22a	tr2	-4433.288669	-4431.702468	-4432.92848
67_rpl14a	tr1	-11255.984853	-11259.474401	-11256.70642
68_rps3	tr1	-5953.444056	-5955.214267	-5955.199687
69_nsf1	tr3	-9055.79924900001	-9055.503525	-9055.31576
6_tribe585	tr3	-11739.754875	-11739.245046	-11738.922077
70_if4a	tr2	-9764.12513499999	-9760.313622	-9763.48587900001
71_rpl43b	tr3	-3244.80096	-3244.914045	-3244.337828
72_rpl31	tr3	-5025.934924	-5026.987558	-5025.563282
