	Metazoa_Choano_RCFV_strict.phy	Gene_0010	Gene_0026	Gene_0027	Gene_0030	Gene_0033	Gene_0034	Gene_0035	Gene_0066	Gene_0069	Gene_0076	Gene_0077	Gene_0088	Gene_0089	Gene_0101	Gene_0102	Gene_0113	Gene_0114	Gene_0121	Gene_0134	Gene_0145	Gene_0153	Gene_0164	Gene_0169	Gene_0174	Gene_0185	Gene_0191	Gene_0194	Gene_0200	Gene_0201	Gene_0202	Gene_0226	Gene_0236	Gene_0245	Gene_0251	Gene_0252	Gene_0260	Gene_0281	Gene_0295	Gene_0303	Gene_0317	Gene_0320	Gene_0328	Gene_0330	Gene_0334	Gene_0335	Gene_0337	Gene_0348	Gene_0349	Gene_0350	Gene_0351	Gene_0360	Gene_0376	Gene_0399	Gene_0406	Gene_0414	Gene_0420	Gene_0422	Gene_0424	Gene_0428	Gene_0435	Gene_0438	Gene_0441	Gene_0443	Gene_0445	Gene_0471	Gene_0478	Gene_0481	Gene_0483	Gene_0507	Gene_0509	Gene_0511	Gene_0518	Gene_0521	Gene_0531	Gene_0542	Gene_0544	Gene_0545	Gene_0557	Gene_0563	Gene_0575	Gene_0580	Gene_0581	Gene_0587	Gene_0596	Gene_0610	Gene_0658	Gene_0701	Gene_0703	Gene_0708	Gene_0714	Gene_0718	Gene_0723	Gene_0729	Gene_0731	Gene_0740	Gene_0771	Gene_0774	Gene_0784	Gene_0798	Gene_0809	Gene_0814	Gene_0831	Gene_0842	Gene_0843	Gene_0846	Gene_0857	Gene_0858	Gene_0873	Gene_0884	Gene_0893	Gene_0902	Gene_0906	Gene_0915	Gene_0934	Gene_0961	Gene_0980	Gene_0985	Gene_0986	Gene_0989	Gene_0992	Gene_0995	Gene_0997	Gene_1015	Gene_1018	Gene_1019	Gene_1023	Gene_1034
Spongilla_lacustris	0.7489	0.7173	0.7529	0.7446	0.7600		0.8080		0.6527	0.7080	0.8409			0.8448	0.7072		0.7932	0.7627		0.6581	0.8217	0.6624		0.6949		0.7227	0.6708		0.7407	0.7958			0.7702	0.7112	0.7441	0.8194	0.7077	0.6434	0.6929	0.7781	0.5868	0.6754	0.7826	0.7225	0.6810	0.7711	0.8947	0.7996	0.7778	0.7470	0.7450	0.7561	0.7260	0.8286	0.7790	0.8108	0.7685	0.7655	0.7252			0.7250			0.7160	0.7837	0.7647		0.7606				0.7047		0.7902	0.7650	0.7835	0.7316		0.8250	0.7557	0.7200	0.7351	0.7560		0.7055	0.7417	0.7567			0.7599	0.7468	0.8109		0.7324	0.6941	0.7600	0.7025	0.7079	0.7551	0.6648		0.7266		0.7360	0.7564	0.7560	0.8683	0.8768	0.8077	0.6992	0.7794			0.7456	0.7406	0.6614	0.6835	0.7416		0.7304	0.7800		0.8329			0.7442	0.7500
Acanthoeca_sp	0.7506	0.7637	0.6886	0.7374		0.7467	0.7683	0.7584	0.6455	0.7054		0.7831	0.7875	0.7477	0.7309	0.7350	0.8020	0.7399	0.7810	0.6724	0.8361	0.6608		0.7459	0.7222	0.7180	0.7051		0.7185	0.8152	0.7441	0.7598	0.7505	0.7500	0.7467	0.7468	0.7177	0.6759	0.7071	0.7766	0.6108	0.6667	0.7891	0.7297	0.6758	0.7965	0.7604	0.8180	0.7670	0.7523	0.7552	0.7413	0.7598	0.8565	0.8011	0.8207	0.7714	0.7478	0.7319	0.7595	0.7098		0.6991	0.7882	0.7515	0.7810		0.7000	0.7340	0.7824	0.9097	0.7882	0.6731	0.7865	0.7386	0.7650	0.7593	0.7293	0.8367	0.7259	0.7390	0.7508	0.7461	0.7350	0.7748	0.7671	0.7278	0.7642	0.6590		0.7431	0.7338	0.7769	0.7333	0.7359	0.6941	0.7463	0.7225	0.7527	0.7564	0.6980	0.7388	0.7057	0.9227	0.7540	0.7684	0.7405	0.8753		0.8020	0.7000	0.7794	0.7643	0.5851	0.7588	0.7064	0.6605	0.7050	0.7232	0.7078	0.7658	0.7626	0.7824	0.7822	0.7776	0.7568	0.7488	0.7860
Mycale_phylophylla	0.7456	0.7300	0.6687	0.7542					0.6452		0.8189	0.7864	0.7764	0.7676	0.7216	0.7834	0.7282			0.6410	0.7807	0.6930	0.7634	0.6878	0.7351	0.7109	0.6728	0.7818	0.7259		0.7306	0.7717	0.7569	0.7248		0.7679	0.7349	0.6653	0.7071	0.7781	0.5808	0.6903		0.7260	0.6280	0.7430		0.7906	0.7719	0.7635	0.7485		0.7121	0.8373	0.7921	0.8889	0.7597	0.7603	0.7605		0.7133	0.7671	0.7244	0.7734	0.7160	0.7551	0.7589	0.6945	0.7287	0.7516	0.9081	0.8031	0.6992	0.7749	0.7790	0.7604		0.6548	0.8413	0.7408	0.7513	0.7458	0.7241	0.7761	0.7812	0.7117	0.7405	0.7649	0.6648	0.8385		0.7403				0.6941	0.7453	0.7051		0.6642	0.6675	0.7256	0.7020	0.9290	0.7520		0.7293	0.8850		0.8333	0.6917	0.7822	0.7663	0.6202	0.7675	0.7874	0.6168	0.7050	0.7514	0.6991	0.7304	0.7822	0.8278	0.8063	0.7143	0.7859	0.7360	0.7296
Physalia_physalia	0.7425	0.7257	0.6767	0.7363	0.7337				0.5957		0.7737	0.7970		0.7706		0.7394	0.7848	0.7238	0.7876	0.6724		0.6466	0.7246	0.6835		0.7441	0.6855		0.7843	0.8486	0.7626	0.7868	0.7788	0.7374		0.7786	0.7083	0.6548	0.7071	0.7594	0.6108	0.6716		0.7300		0.7711	0.8750		0.7724	0.7592	0.7522		0.8203	0.8086	0.8013	0.8023			0.7573	0.7674	0.7343	0.7604	0.7034	0.7685	0.7278	0.7478	0.7954	0.6727	0.7074	0.7899	0.9008	0.7913	0.6883	0.7901	0.7372	0.7834	0.7306		0.8048		0.7157	0.7200	0.7093	0.7462	0.7620	0.7239	0.7342	0.7451	0.6848	0.8214	0.7327	0.7338	0.7772	0.7394	0.7135	0.6824	0.7179	0.7059	0.7204	0.7487	0.6421	0.7138	0.7311	0.9235	0.7280	0.7391	0.6994	0.8812	0.8927		0.7018	0.7737		0.6294	0.7544	0.7578	0.6192	0.6906	0.7416	0.7094	0.7513	0.7800	0.8211	0.7706	0.7517		0.7183	0.6818
Homo_sapiens	0.7536	0.7215	0.6844	0.7563	0.7798	0.7570	0.7785	0.7613	0.6545	0.7000	0.7695	0.7763	0.7870	0.7706	0.7102	0.7469	0.7736	0.7506	0.8186	0.6581	0.8433	0.6494	0.7179	0.6755	0.7394	0.7109	0.7250	0.7829	0.7407	0.8384	0.7092	0.7717	0.7632	0.7158	0.7565	0.7606	0.7244	0.6507	0.6929	0.7805	0.5689	0.6978	0.7811	0.7325	0.6462	0.7711	0.7965	0.7906	0.7924	0.7635	0.7426	0.7674	0.7475	0.8182	0.7877	0.8207	0.7822	0.7446	0.7583	0.7497	0.7413	0.7275	0.7206	0.7647	0.7337	0.7673	0.7775	0.6971	0.7234	0.7880	0.9033	0.7913	0.6965	0.7807	0.7609	0.7696	0.7593	0.7371	0.8164	0.7488	0.7259	0.7359	0.7263	0.7505	0.7986	0.6871	0.6646	0.7617	0.6648	0.8314	0.7357	0.7338	0.7731	0.7303	0.7289	0.6980	0.7527	0.7105	0.7333	0.7755	0.6624	0.7242	0.7019	0.9235	0.7360	0.7915	0.7420	0.8634	0.9008	0.8056	0.6910	0.7701	0.7595	0.6049	0.7412	0.7370	0.6188	0.6978	0.7571	0.7125	0.7487	0.7600	0.7861	0.8109	0.7674	0.7801	0.7266	0.7607
Amphimedon_queenslandica	0.7526	0.7300	0.6848	0.7479	0.8089	0.7445	0.7682	0.7568	0.6614	0.6991	0.7866	0.7729	0.7969	0.7671	0.7162	0.7803	0.8125	0.7317		0.6466	0.8502	0.6562	0.7684	0.6862	0.7264	0.6896	0.6813	0.8183	0.7333	0.7851	0.6790	0.7559	0.7771	0.7290	0.7584	0.7710	0.7323	0.6587	0.7200	0.7631	0.5928	0.6679	0.7826	0.7464	0.6327	0.7570	0.8121		0.7573	0.7658	0.7515	0.7535	0.7273	0.8333	0.7933	0.8270	0.7652	0.7513	0.7500	0.7833	0.7007		0.7196	0.7451	0.7118	0.7586	0.7644	0.6909	0.7219	0.7936	0.8963	0.7953	0.7154	0.7839	0.7305	0.7650	0.7629		0.8124	0.7371	0.7294	0.7359	0.7439		0.7784	0.6994	0.7025	0.7542	0.7260	0.8343	0.7219	0.7338	0.8095	0.6982	0.7289		0.7695	0.7179	0.7222	0.7540	0.6574	0.7121	0.7244	0.9344	0.7360	0.7572	0.7273	0.8683	0.8933	0.8258	0.7043	0.7822	0.7636	0.6098	0.7719	0.7152	0.6567	0.7122	0.7538	0.7277	0.7368	0.7310	0.8636	0.8316	0.7569		0.7333	0.7732
Hydra_oligactis	0.7382	0.7384		0.7437			0.8491		0.6011		0.7819	0.7932		0.7554			0.8027			0.6466	0.8287	0.6681	0.7602	0.6878	0.7393	0.7205	0.6855		0.7407		0.7857	0.7767	0.7738	0.7394					0.7214		0.5455	0.6493			0.6190	0.7465		0.7770	0.7632	0.7748	0.7525	0.7510	0.7394	0.7841	0.7809	0.8413			0.7741			0.7799	0.7005		0.7337		0.7614	0.6764	0.7500		0.8775	0.7953	0.7154		0.7374	0.7834					0.7005		0.7418			0.7363	0.6962	0.7549	0.6534					0.7242		0.6216	0.7326	0.7044	0.7204		0.6599	0.7319	0.7547	0.9344						0.7955	0.6937	0.7794		0.6434	0.7807	0.7975		0.6978	0.7401						0.7680		0.7157	
Rossella_fibulata	0.7602	0.7468	0.6767	0.7584	0.7656		0.7612		0.6150		0.8148	0.7661	0.7846	0.7539	0.7375	0.8156	0.8102		0.8000	0.6579	0.8656	0.6609	0.7234	0.7459		0.7163	0.7051	0.8579		0.8261	0.7445	0.7756	0.7653	0.7395	0.7580	0.7863	0.7086	0.5455	0.6929	0.7940		0.7127	0.7953	0.7554	0.7201	0.7668		0.7921	0.7794	0.7675	0.7434		0.7374	0.8252	0.7821	0.8000	0.7665	0.7330	0.7573	0.7718		0.7521	0.7495	0.7990	0.7278	0.7406	0.7748	0.7138	0.7394		0.9003	0.7953	0.7236					0.7581	0.8304	0.7488	0.7225		0.7467	0.7378	0.7614	0.7358	0.7025	0.7766	0.6534	0.8238	0.7319		0.7937	0.7348	0.7256	0.6773	0.7326	0.7098	0.7333	0.7551	0.6650	0.7214	0.7638	0.9399	0.7222	0.7954	0.6556	0.8701	0.9029	0.7995	0.6960	0.7851	0.7745	0.6211	0.7719	0.7468	0.6640	0.6978	0.7640	0.7058	0.7513	0.7950	0.7945	0.8026	0.7743	0.7669	0.7358	
Kirkpatrickia_variolosa	0.7536	0.7342		0.7437		0.7552			0.6378	0.7013	0.7778	0.7980	0.7778	0.7500	0.7178	0.7980	0.7831			0.6410	0.8479	0.6798		0.6966	0.7439	0.7085	0.6975	0.7839	0.7259	0.8009	0.6980	0.7913	0.7696	0.7311	0.7329	0.7658	0.7402	0.6567	0.7071	0.7706	0.5868	0.6992		0.7218	0.6392	0.7570		0.7887	0.7690	0.7680	0.7522		0.7424	0.8254	0.7933	0.8370	0.7647	0.7585	0.7437	0.8081		0.7761	0.7282	0.7685	0.7289	0.7633	0.7712	0.7077	0.7340	0.7899		0.7992	0.6832	0.7661	0.7643	0.7650			0.8220		0.7462	0.7338	0.7395		0.7851	0.7434	0.7089	0.7793	0.6989	0.8370	0.7372	0.7403	0.8028	0.7178		0.6745	0.7495	0.7067	0.7333		0.6981		0.7188	0.9278	0.7698	0.7363	0.6997	0.8683	0.9096	0.8259	0.7154	0.7822	0.7595	0.6185	0.7807	0.7248	0.6143	0.6978	0.7640	0.6995	0.7408	0.7807	0.7974	0.8030	0.7639	0.7721	0.7407	0.7743
Agalma_elegans	0.7520			0.7311	0.7741	0.7529	0.7764		0.6117		0.7778	0.7932	0.7975	0.7554	0.7167	0.7398	0.8061	0.7484	0.7947	0.6638	0.7692	0.6509	0.7128	0.6984	0.7177	0.6919	0.7025	0.7750	0.7407	0.8204	0.7424	0.7835	0.7717	0.7241	0.7197	0.7800	0.7051	0.6606	0.6667	0.7659	0.6577	0.6939	0.7664	0.7201	0.7333	0.7570	0.7833	0.7774	0.7632	0.7592	0.7500	0.7558	0.7626	0.8134	0.7809	0.8351	0.7504	0.7464	0.7699	0.7759	0.7378		0.7204	0.7811	0.7456	0.7551	0.7442	0.7055	0.7192	0.7860	0.8792	0.7913	0.6752	0.7731	0.7266	0.7935			0.8160	0.7746	0.6978	0.7464	0.7431	0.7207	0.7811	0.7239	0.7089	0.7197	0.6591	0.8194	0.7365	0.7338	0.7844	0.7143	0.7218	0.6863	0.7533	0.6987		0.7500		0.7256		0.9235	0.7302	0.7690	0.7478	0.8797	0.8841	0.8035	0.7024	0.7877	0.7637	0.6154	0.7675	0.7423	0.5909	0.6906	0.7421	0.6975	0.7487	0.7889	0.7995	0.7889	0.7542	0.7200	0.7313	
