gene_id	tree_supported	tr1_log-likelihood	tr2_log-likelihood	tr3_log-likelihood
V2META10033-1-42-Calc_Hmm10-BMGE05.ali.dealigned.prank.best.fas.aa.ali	tr2	-17776.529717	-17765.02065	-17775.399629
V2META10033-2-1-42-Calc_Hmm10-BMGE05.ali.dealigned.prank.best.fas.aa.ali	tr2	-28427.417608	-28421.275231	-28429.344153
V2META10054-1-1-42-Calc_Hmm10-BMGE05.ali.dealigned.muscle.aa.ali	tr2	-29510.743129	-29507.845641	-29518.426457
V2META10054-1-2-2-42-Calc_Hmm10-BMGE05.ali.dealigned.prank.best.fas.aa.ali	tr2	-17737.459948	-17731.720626	-17735.540893
V2META10062-2-2-2-2-1-42-Calc_Hmm10-BMGE05.ali.dealigned.muscle.aa.ali	tr1	-11001.41075	-11002.598144	-11003.001907
V2META10079-1-1-1-42-Calc_Hmm10-BMGE05.ali.dealigned.mafft.aa.ali	tr1	-20308.260021	-20311.625865	-20312.157006
V2META10079-2-42-Calc_Hmm10-BMGE05.ali.dealigned.muscle.aa.ali	tr3	-18926.178675	-18925.384999	-18924.224021
V2META10141-1-42-Calc_Hmm10-BMGE05.ali.dealigned.prank.best.fas.aa.ali	tr2	-16335.597869	-16331.161184	-16335.852616
V2META10161-1-2-42-Calc_Hmm10-BMGE05.ali.dealigned.mafft.aa.ali	tr2	-16966.704378	-16961.72025	-16967.772976
V2META10184-1-2-2-42-Calc_Hmm10-BMGE05.ali.dealigned.muscle.aa.ali	tr2	-21773.573621	-21767.125143	-21773.814391
V2META10192-2-1-42-Calc_Hmm10-BMGE05.ali.dealigned.mafft.aa.ali	tr2	-27992.580837	-27991.992168	-27996.036367
V2META10197-2-2-2-2-42-Calc_Hmm10-BMGE05.ali.dealigned.mafft.aa.ali	tr2	-20729.233957	-20717.922075	-20727.925248
V2META10242-1-42-Calc_Hmm10-BMGE05.ali.dealigned.mafft.aa.ali	tr2	-13230.783999	-13226.719992	-13230.456281
V2META10252-2-1-42-Calc_Hmm10-BMGE05.ali.dealigned.mafft.aa.ali	tr2	-46736.933864	-46734.9696769999	-46738.1558349999
V2META10259-2-1-42-Calc_Hmm10-BMGE05.ali.dealigned.prank.best.fas.aa.ali	tr2	-17802.851437	-17792.475439	-17800.844824
V2META10262-1-42-Calc_Hmm10-BMGE05.ali.dealigned.prank.best.fas.aa.ali	tr3	-16452.643246	-16452.061064	-16451.932258
V2META10276-1-2-2-42-Calc_Hmm10-BMGE05.ali.dealigned.muscle.aa.ali	tr2	-14044.783484	-14038.083288	-14043.741412
V2META10298-1-42-Calc_Hmm10-BMGE05.ali.dealigned.mafft.aa.ali	tr1	-6144.930453	-6145.794471	-6145.999979
V2META10324-1-42-Calc_Hmm10-BMGE05.ali.dealigned.muscle.aa.ali	tr2	-22901.330979	-22897.530225	-22905.448461
V2META10325-1-42-Calc_Hmm10-BMGE05.ali.dealigned.muscle.aa.ali	tr3	-25530.035277	-25533.131646	-25529.048845
V2META10325-2-1-2-42-Calc_Hmm10-BMGE05.ali.dealigned.mafft.aa.ali	tr1	-31475.706078	-31476.030159	-31476.1911
V2META10325-2-2-2-2-42-Calc_Hmm10-BMGE05.ali.dealigned.prank.best.fas.aa.ali	tr2	-30268.992351	-30266.401624	-30270.29945
V2META10342-1-1-42-Calc_Hmm10-BMGE05.ali.dealigned.prank.best.fas.aa.ali	tr1	-17969.089312	-17971.440409	-17974.527371
V2META10347-1-42-Calc_Hmm10-BMGE05.ali.dealigned.mafft.aa.ali	tr2	-13240.086389	-13237.989741	-13242.771418
V2META10380-1-1-2-42-Calc_Hmm10-BMGE05.ali.dealigned.mafft.aa.ali	tr2	-31476.918751	-31467.184534	-31473.663917
V2META10402-2-2-42-Calc_Hmm10-BMGE05.ali.dealigned.mafft.aa.ali	tr2	-27919.583504	-27916.49788	-27923.989892
V2META10425-1-1-42-Calc_Hmm10-BMGE05.ali.dealigned.prank.best.fas.aa.ali	tr2	-10486.280014	-10485.462331	-10489.171292
V2META10457-2-1-42-Calc_Hmm10-BMGE05.ali.dealigned.muscle.aa.ali	tr2	-8923.038423	-8921.422656	-8921.730199
V2META10478-1-1-42-Calc_Hmm10-BMGE05.ali.dealigned.muscle.aa.ali	tr2	-15305.082555	-15300.575332	-15304.429152
V2META10478-2-2-2-42-Calc_Hmm10-BMGE05.ali.dealigned.muscle.aa.ali	tr1	-17206.580369	-17211.988547	-17213.903167
V2META10485-1-42-Calc_Hmm10-BMGE05.ali.dealigned.mafft.aa.ali	tr2	-13060.952151	-13054.567092	-13060.318989
V2META10522-2-1-42-Calc_Hmm10-BMGE05.ali.dealigned.muscle.aa.ali	tr2	-9363.565452	-9362.779974	-9363.319714
